t,T+R,N_0,N_1
357,1.36156,2.81874e-15,8.35627e-16
358,1.35599,3.70466e-15,1.10699e-15
359,1.3394,4.85096e-15,1.46095e-15
360,1.31125,6.32917e-15,1.92107e-15
361,1.27187,8.2293e-15,2.51717e-15
362,1.22251,1.06643e-14,3.28699e-15
363,1.1653,1.37757e-14,4.27814e-15
364,1.10309,1.77406e-14,5.55056e-15
365,1.03925,2.278e-14,7.17958e-15
366,0.977341,2.91693e-14,9.25965e-15
367,0.920836,3.72512e-14,1.1909e-14
368,0.872806,4.74512e-14,1.52755e-14
369,0.835649,6.02971e-14,1.95433e-14
370,0.810903,7.64416e-14,2.49418e-14
371,0.799147,9.66907e-14,3.17559e-14
372,0.800005,1.22037e-13,4.0339e-14
373,0.812245,1.53702e-13,5.11279e-14
374,0.833962,1.93183e-13,6.46618e-14
375,0.862814,2.42308e-13,8.16047e-14
376,0.896271,3.03314e-13,1.02772e-13
377,0.931857,3.78915e-13,1.29163e-13
378,0.967344,4.72411e-13,1.61998e-13
379,1.00088,5.87792e-13,2.02765e-13
380,1.03105,7.29874e-13,2.53273e-13
381,1.05685,9.04456e-13,3.15715e-13
382,1.07763,1.1185e-12,3.92743e-13
383,1.09301,1.38036e-12,4.87559e-13
384,1.10278,1.69999e-12,6.04014e-13
385,1.10683,2.08931e-12,7.46735e-13
386,1.10514,2.56247e-12,9.21266e-13
387,1.09778,3.1363e-12,1.13424e-12
388,1.08504,3.83077e-12,1.39356e-12
389,1.06742,4.66951e-12,1.70867e-12
390,1.04582,5.68045e-12,2.09076e-12
391,1.02149,6.89653e-12,2.55313e-12
392,0.996098,8.35657e-12,3.11155e-12
393,0.971573,1.01062e-11,3.78463e-12
394,0.949982,1.21989e-11,4.59437e-12
395,0.933293,1.46974e-11,5.56666e-12
396,0.923119,1.76749e-11,6.73194e-12
397,0.92049,2.12168e-11,8.12592e-12
398,0.925665,2.54224e-11,9.7904e-12
399,0.93805,3.0407e-11,1.17742e-11
400,0.956226,3.63043e-11,1.41343e-11
401,0.978097,4.32685e-11,1.69369e-11
402,1.00114,5.14778e-11,2.02589e-11
