t,Norm_0,AvgX_0
689,1,31.4306
690,1,31.4803
691,1,31.53
692,1,31.5797
693,1,31.6293
694,1,31.679
695,1,31.7285
696,1,31.7781
697,1,31.8277
698,1,31.8772
699,1,31.9267
700,1,31.9762
701,1,32.0257
702,1,32.0752
703,1,32.1246
704,1,32.1741
705,1,32.2235
706,1,32.2729
707,1,32.3222
708,1,32.3716
709,1,32.421
710,1,32.4703
711,1,32.5196
712,1,32.5689
713,1,32.6182
714,1,32.6675
715,1,32.7168
716,1,32.766
717,1,32.8153
718,1,32.8645
719,1,32.9137
720,1,32.963
721,1,33.0122
722,1,33.0613
723,1,33.1105
724,1,33.1597
725,1,33.2089
726,1,33.258
727,1,33.3071
728,1,33.3563
729,1,33.4054
730,1,33.4545
731,1,33.5036
732,1,33.5527
733,1,33.6018
734,1,33.6509
735,1,33.7
736,1,33.749
737,1,33.7981
738,1,33.8472
739,1,33.8962
740,1,33.9452
741,1,33.9943
742,1,34.0433
743,1,34.0923
744,1,34.1413
745,1,34.1904
746,1,34.2394
747,1,34.2884
748,1,34.3373
749,1,34.3863
750,1,34.4353
751,1,34.4843
752,1,34.5333
753,1,34.5822
754,1,34.6312
755,1,34.6802
756,1,34.7291
757,1,34.7781
758,1,34.827
759,1,34.8759
760,1,34.9249
761,1,34.9738
762,1,35.0227
763,1,35.0717
764,1,35.1206
765,1,35.1695
766,1,35.2184
767,1,35.2673
768,1,35.3162
769,1,35.3652
770,1,35.4141
771,1,35.463
772,1,35.5118
773,1,35.5607
774,1,35.6096
775,1,35.6585
776,1,35.7074
777,1,35.7563
778,1,35.8052
779,1,35.854
780,1,35.9029
781,1,35.9518
782,1,36.0007
783,1,36.0495
784,1,36.0984
785,1,36.1472
786,1,36.1961
787,1,36.245
788,1,36.2938
789,1,36.3427
790,1,36.3915
791,1,36.4404
792,1,36.4892
793,1,36.5381
794,1,36.5869
795,1,36.6358
796,1,36.6846
797,1,36.7334
798,1,36.7823
799,1,36.8311
800,1,36.88
801,1,36.9288
802,1,36.9776
803,1,37.0265
804,1,37.0753
805,1,37.1241
806,1,37.1729
807,1,37.2218
808,1,37.2706
809,1,37.3194
810,1,37.3682
811,1,37.417
812,1,37.4659
813,1,37.5147
814,1,37.5635
815,1,37.6123
816,1,37.6611
817,1,37.7099
818,1,37.7588
819,1,37.8076
820,1,37.8564
821,1,37.9052
822,1,37.954
823,1,38.0028
824,1,38.0516
825,1,38.1004
826,1,38.1492
827,1,38.198
828,1,38.2468
829,1,38.2956
830,1,38.3444
831,1,38.3932
832,1,38.442
833,1,38.4908
834,1,38.5396
835,1,38.5884
836,1,38.6372
837,1,38.686
838,1,38.7348
839,1,38.7836
840,1,38.8324
841,1,38.8812
842,1,38.93
843,1,38.9788
844,1,39.0276
845,1,39.0764
846,1,39.1252
847,1,39.174
848,1,39.2228
849,1,39.2716
850,1,39.3204
851,1,39.3691
852,1,39.4179
853,1,39.4667
854,1,39.5155
855,1,39.5643
856,1,39.6131
857,1,39.6619
858,1,39.7107
859,1,39.7594
860,1,39.8082
861,1,39.857
862,1,39.9058
863,1,39.9546
864,1,40.0034
865,1,40.0522
866,1,40.1009
867,1,40.1497
868,1,40.1985
869,1,40.2473
870,1,40.2961
871,1,40.3448
872,1,40.3936
873,1,40.4424
874,1,40.4912
875,1,40.54
876,1,40.5888
877,1,40.6375
878,1,40.6863
879,1,40.7351
880,1,40.7839
881,1,40.8327
882,1,40.8814
883,1,40.9302
884,1,40.979
885,1,41.0278
886,1,41.0765
887,1,41.1253
888,1,41.1741
889,1,41.2229
890,1,41.2717
891,1,41.3204
892,1,41.3692
893,1,41.418
894,1,41.4668
895,1,41.5155
896,1,41.5643
897,1,41.6131
898,1,41.6619
899,1,41.7106
900,1,41.7594
901,1,41.8082
902,1,41.857
903,1,41.9057
904,1,41.9545
905,1,42.0033
906,1,42.0521
907,1,42.1008
908,1,42.1496
909,1,42.1984
910,1,42.2472
911,1,42.2959
912,1,42.3447
913,1,42.3935
914,1,42.4423
915,1,42.491
916,1,42.5398
917,1,42.5886
918,1,42.6373
919,1,42.6861
920,1,42.7349
921,1,42.7837
922,1,42.8324
923,1,42.8812
924,1,42.93
925,1,42.9788
926,1,43.0275
927,1,43.0763
928,1,43.1251
929,1,43.1738
930,1,43.2226
931,1,43.2714
932,1,43.3202
933,1,43.3689
934,1,43.4177
935,1,43.4665
936,1,43.5152
937,1,43.564
938,1,43.6128
939,1,43.6616
940,1,43.7103
941,1,43.7591
942,1,43.8079
943,1,43.8566
944,1,43.9054
945,1,43.9542
946,1,44.003
947,1,44.0517
948,1,44.1005
949,1,44.1493
950,1,44.198
951,1,44.2468
952,1,44.2956
953,1,44.3443
954,1,44.3931
955,1,44.4419
956,1,44.4907
957,1,44.5394
958,1,44.5882
959,1,44.637
960,1,44.6857
961,1,44.7345
962,1,44.7833
963,1,44.832
964,1,44.8808
965,1,44.9296
966,1,44.9783
967,1,45.0271
968,1,45.0759
969,1,45.1247
970,1,45.1734
971,1,45.2222
972,1,45.271
973,1,45.3197
974,1,45.3685
975,1,45.4173
976,1,45.466
977,1,45.5148
978,1,45.5636
979,1,45.6123
980,1,45.6611
981,1,45.7099
982,1,45.7587
983,1,45.8074
984,1,45.8562
985,1,45.905
986,1,45.9537
987,1,46.0025
988,1,46.0513
989,1,46.1
990,1,46.1488
991,1,46.1976
992,1,46.2463
993,1,46.2951
994,1,46.3439
995,1,46.3926
996,1,46.4414
997,1,46.4902
998,1,46.539
999,1,46.5877
1000,1,46.6365
1001,1,46.6853
1002,1,46.734
1003,1,46.7828
1004,1,46.8316
1005,1,46.8803
1006,1,46.9291
1007,1,46.9779
1008,1,47.0266
1009,1,47.0754
1010,1,47.1242
1011,1,47.1729
1012,1,47.2217
1013,1,47.2705
1014,1,47.3192
1015,1,47.368
1016,1,47.4168
1017,1,47.4655
1018,1,47.5143
1019,1,47.5631
1020,1,47.6118
1021,1,47.6606
1022,1,47.7094
1023,1,47.7582
1024,1,47.8069
1025,1,47.8557
1026,1,47.9045
1027,1,47.9532
1028,1,48.002
1029,1,48.0508
1030,1,48.0995
1031,1,48.1483
1032,1,48.1971
1033,1,48.2458
1034,1,48.2946
1035,1,48.3434
1036,1,48.3921
1037,1,48.4409
1038,1,48.4897
1039,1,48.5384
1040,1,48.5872
1041,1,48.636
1042,1,48.6847
1043,1,48.7335
1044,1,48.7823
1045,1,48.831
1046,1,48.8798
1047,1,48.9286
1048,1,48.9773
1049,1,49.0261
1050,1,49.0749
1051,1,49.1236
1052,1,49.1724
1053,1,49.2212
1054,1,49.2699
1055,1,49.3187
1056,1,49.3675
1057,1,49.4163
1058,1,49.465
1059,1,49.5138
1060,1,49.5626
1061,1,49.6113
1062,1,49.6601
1063,1,49.7089
1064,1,49.7576
1065,1,49.8064
1066,1,49.8552
1067,1,49.9039
1068,1,49.9527
1069,1,50.0015
1070,1,50.0502
1071,1,50.099
1072,1,50.1478
1073,1,50.1965
1074,1,50.2453
1075,1,50.2941
1076,1,50.3428
1077,1,50.3916
1078,1,50.4404
1079,1,50.4891
1080,1,50.5379
1081,1,50.5867
1082,1,50.6354
1083,1,50.6842
1084,1,50.733
1085,1,50.7817
1086,1,50.8305
1087,1,50.8793
1088,1,50.928
1089,1,50.9768
1090,1,51.0256
1091,1,51.0743
1092,1,51.1231
1093,1,51.1719
1094,1,51.2206
1095,1,51.2694
1096,1,51.3182
1097,1,51.3669
1098,1,51.4157
1099,1,51.4645
1100,1,51.5132
1101,1,51.562
1102,1,51.6108
1103,1,51.6595
1104,1,51.7083
1105,1,51.7571
1106,1,51.8058
1107,1,51.8546
1108,1,51.9034
1109,1,51.9521
1110,1,52.0009
1111,1,52.0497
1112,1,52.0985
1113,1,52.1472
1114,1,52.196
1115,1,52.2448
1116,1,52.2935
1117,1,52.3423
1118,1,52.3911
1119,1,52.4398
1120,1,52.4886
1121,1,52.5374
1122,1,52.5861
1123,1,52.6349
1124,1,52.6837
1125,1,52.7324
1126,1,52.7812
1127,1,52.83
1128,1,52.8787
1129,1,52.9275
1130,1,52.9763
1131,1,53.025
1132,1,53.0738
1133,1,53.1226
1134,1,53.1713
1135,1,53.2201
1136,1,53.2689
1137,1,53.3176
1138,1,53.3664
1139,1,53.4152
1140,1,53.4639
