t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
95,1,-155.93,5.54783e-18,-6.30257e-16,2.37935e-22,-2.53532e-20,3.92316e-25,-4.05132e-23
96,1,-155.467,1.55746e-17,-1.76386e-15,8.82119e-22,-9.37841e-20,1.67581e-24,-1.7289e-22
97,1,-155.003,4.25448e-17,-4.80363e-15,3.14802e-21,-3.33938e-19,6.86577e-24,-7.07166e-22
98,1,-154.54,1.13168e-16,-1.27393e-14,1.08262e-20,-1.14589e-18,2.69802e-23,-2.77398e-21
99,1,-154.076,2.93328e-16,-3.29222e-14,3.592e-20,-3.79363e-18,1.01799e-22,-1.04477e-20
100,1,-153.613,7.4136e-16,-8.29658e-14,1.15107e-19,-1.21307e-17,3.69252e-22,-3.7829e-20
101,1,-153.15,1.82826e-15,-2.04015e-13,3.56646e-19,-3.75066e-17,1.28925e-21,-1.31848e-19
102,1,-152.686,4.40213e-15,-4.89847e-13,1.06955e-18,-1.12246e-16,4.33833e-21,-4.42904e-19
103,1,-152.223,1.03556e-14,-1.14912e-12,3.10766e-18,-3.25475e-16,1.40866e-20,-1.43567e-18
104,1,-151.759,2.38147e-14,-2.63539e-12,8.75706e-18,-9.15314e-16,4.41874e-20,-4.49589e-18
105,1,-151.296,5.35711e-14,-5.91233e-12,2.39545e-17,-2.49885e-15,1.34055e-19,-1.36171e-17
106,1,-150.833,1.17947e-13,-1.29825e-11,6.36673e-17,-6.62867e-15,3.93763e-19,-3.99325e-17
107,1,-150.369,2.54307e-13,-2.79187e-11,1.64563e-16,-1.71005e-14,1.12101e-18,-1.13502e-16
108,1,-149.906,5.37265e-13,-5.88309e-11,4.14002e-16,-4.29402e-14,3.09628e-18,-3.13001e-16
109,1,-149.442,1.11279e-12,-1.21541e-10,1.01459e-15,-1.05038e-13,8.30527e-18,-8.38266e-16
110,1,-148.979,2.26076e-12,-2.46309e-10,2.42405e-15,-2.50497e-13,2.16549e-17,-2.18231e-15
111,1,-148.516,4.50755e-12,-4.89885e-10,5.65055e-15,-5.8287e-13,5.4934e-17,-5.52765e-15
112,1,-148.052,8.82439e-12,-9.56714e-10,1.28607e-14,-1.32427e-12,1.35702e-16,-1.36344e-14
113,1,-147.589,1.69707e-11,-1.8355e-09,2.86007e-14,-2.93987e-12,3.26707e-16,-3.27766e-14
114,1,-147.125,3.20765e-11,-3.46113e-09,6.21913e-14,-6.38164e-12,7.672e-16,-7.68562e-14
115,1,-146.662,5.96142e-11,-6.41755e-09,1.32318e-13,-1.35545e-11,1.75864e-15,-1.75922e-13
116,1,-146.199,1.08988e-10,-1.17058e-08,2.7563e-13,-2.8188e-11,3.93815e-15,-3.93384e-13
117,1,-145.735,1.96095e-10,-2.10139e-08,5.62509e-13,-5.74312e-11,8.62127e-15,-8.59969e-13
118,1,-145.272,3.47372e-10,-3.7142e-08,1.12536e-12,-1.1471e-10,1.84637e-14,-1.83918e-12
119,1,-144.808,6.06097e-10,-6.4663e-08,2.20837e-12,-2.24741e-10,3.87105e-14,-3.85068e-12
120,1,-144.345,1.04204e-09,-1.10931e-07,4.25323e-12,-4.32154e-10,7.95038e-14,-7.89778e-12
121,1,-143.882,1.76598e-09,-1.87597e-07,8.04401e-12,-8.16037e-10,1.60055e-13,-1.58782e-11
122,1,-143.418,2.95133e-09,-3.12852e-07,1.49474e-11,-1.51401e-09,3.16039e-13,-3.13107e-11
123,1,-142.955,4.86559e-09,-5.14696e-07,2.73039e-11,-2.76135e-09,6.12428e-13,-6.05947e-11
124,1,-142.491,7.91585e-09,-8.35639e-07,4.90531e-11,-4.95342e-09,1.16536e-12,-1.15153e-10
