t,T+R,N_0
516,0.999203,7.79296e-07
517,0.999896,7.59263e-07
518,1.00058,7.37552e-07
519,1.00108,7.14286e-07
520,1.00128,6.89603e-07
521,1.00116,6.63653e-07
522,1.00076,6.36595e-07
523,1.00021,6.08597e-07
524,0.999633,5.79834e-07
525,0.999189,5.50485e-07
526,0.998972,5.20735e-07
527,0.999019,4.90768e-07
528,0.9993,4.60767e-07
529,0.999731,4.30915e-07
530,1.0002,4.01387e-07
531,1.00059,3.72353e-07
532,1.00081,3.43975e-07
533,1.00082,3.16404e-07
534,1.00064,2.89778e-07
535,1.00032,2.64224e-07
536,0.999935,2.39853e-07
537,0.999592,2.16759e-07
538,0.999367,1.9502e-07
539,0.999307,1.74698e-07
540,0.999418,1.55836e-07
541,0.999666,1.3846e-07
542,0.999982,1.2258e-07
543,1.00029,1.08186e-07
544,1.0005,9.52559e-08
545,1.00058,8.37498e-08
546,1.00052,7.36149e-08
547,1.00032,6.47862e-08
548,1.00006,5.71873e-08
549,0.999801,5.07329e-08
550,0.999606,4.53303e-08
551,0.999521,4.08814e-08
552,0.999561,3.72843e-08
553,0.999707,3.44356e-08
554,0.999915,3.2232e-08
555,1.00013,3.05721e-08
556,1.0003,2.93579e-08
557,1.00038,2.84965e-08
558,1.00037,2.79011e-08
559,1.00026,2.74925e-08
560,1.0001,2.71996e-08
561,0.99993,2.696e-08
562,0.999786,2.67208e-08
563,0.999702,2.64385e-08
564,0.999695,2.60791e-08
565,0.999762,2.56175e-08
566,0.999883,2.50377e-08
567,1.00003,2.43316e-08
568,1.00015,2.34985e-08
569,1.00024,2.25441e-08
570,1.00026,2.14797e-08
571,1.00021,2.0321e-08
572,1.00012,1.9087e-08
573,1,1.7799e-08
574,0.999889,1.64796e-08
575,0.999811,1.51515e-08
576,0.999785,1.38369e-08
577,0.999815,1.25567e-08
578,0.999888,1.13296e-08
579,0.999984,1.01718e-08
580,1.00008,9.09663e-09
581,1.00015,8.11411e-09
582,1.00017,7.23103e-09
583,1.00016,6.45089e-09
584,1.0001,5.77402e-09
585,1.00003,5.19786e-09
586,0.999951,4.71727e-09
587,0.999892,4.32491e-09
588,0.999863,4.01176e-09
589,0.999869,3.76753e-09
590,0.999906,3.58116e-09
591,0.999963,3.44132e-09
592,1.00003,3.33678e-09
593,1.00008,3.25691e-09
594,1.00011,3.19192e-09
595,1.00011,3.13318e-09
596,1.00009,3.07343e-09
597,1.00004,3.00688e-09
598,0.999987,2.92926e-09
599,0.99994,2.83784e-09
600,0.999911,2.73131e-09
601,0.999906,2.60969e-09
602,0.999924,2.47412e-09
603,0.99996,2.3267e-09
604,1,2.17022e-09
605,1.00004,2.00799e-09
606,1.00007,1.84353e-09
607,1.00008,1.68041e-09
608,1.00006,1.52205e-09
609,1.00004,1.3715e-09
610,1,1.23135e-09
