t,T+R,N_0,N_1
335,1.24489,3.37294e-18,8.52871e-19
336,1.26777,5.05656e-18,1.28392e-18
337,1.28363,7.55221e-18,1.92688e-18
338,1.2947,1.12393e-17,2.88297e-18
339,1.30336,1.66695e-17,4.3004e-18
340,1.31179,2.46428e-17,6.39545e-18
341,1.3217,3.63163e-17,9.48279e-18
342,1.33421,5.33587e-17,1.4019e-17
343,1.34972,7.81692e-17,2.06643e-17
344,1.36788,1.14188e-16,3.0371e-17
345,1.38768,1.66334e-16,4.45084e-17
346,1.40755,2.41619e-16,6.504e-17
347,1.42552,3.50011e-16,9.47728e-17
348,1.43943,5.05636e-16,1.37709e-16
349,1.44709,7.28464e-16,1.99537e-16
350,1.44649,1.04664e-15,2.88322e-16
351,1.43594,1.49972e-15,4.15467e-16
352,1.41418,2.14314e-15,5.97045e-16
353,1.38051,3.05442e-15,8.55655e-16
354,1.33479,4.34159e-15,1.22298e-15
355,1.27746,6.15485e-15,1.74334e-15
356,1.2095,8.70246e-15,2.47852e-15
357,1.13233,1.22724e-14,3.51446e-15
358,1.0478,1.7262e-14,4.97039e-15
359,0.957996,2.42177e-14,7.01126e-15
360,0.865168,3.38893e-14,9.86471e-15
361,0.771617,4.7303e-14,1.3844e-14
362,0.679581,6.58597e-14,1.93794e-14
363,0.591139,9.14669e-14,2.70598e-14
364,0.508135,1.26715e-13,3.76897e-14
365,0.432113,1.75115e-13,5.23654e-14
366,0.364278,2.4141e-13,7.25764e-14
367,0.305474,3.31996e-13,1.00342e-13
368,0.256178,4.55472e-13,1.38394e-13
369,0.216511,6.23377e-13,1.90417e-13
370,0.186268,8.51152e-13,2.61367e-13
371,0.164952,1.15941e-12,3.57901e-13
372,0.15182,1.57561e-12,4.88933e-13
373,0.145935,2.13624e-12,6.66371e-13
374,0.146216,2.88964e-12,9.06087e-13
375,0.151495,3.89977e-12,1.22918e-12
376,0.160565,5.25101e-12,1.66366e-12
377,0.172227,7.05441e-12,2.24657e-12
378,0.185332,9.45581e-12,3.02681e-12
379,0.198817,1.26463e-11,4.06885e-12
380,0.211733,1.68756e-11,5.45735e-12
381,0.223264,2.24695e-11,7.30336e-12
382,0.232744,2.98517e-11,9.75213e-12
383,0.239663,3.95727e-11,1.29933e-11
384,0.24367,5.23451e-11,1.72736e-11
385,0.244567,6.909e-11,2.2914e-11
386,0.2423,9.09952e-11,3.03303e-11
387,0.236951,1.19589e-10,4.00604e-11
388,0.228716,1.56833e-10,5.27983e-11
389,0.217892,2.0524e-10,6.9438e-11
390,0.204854,2.68021e-10,9.11278e-11
391,0.190041,3.49271e-10,1.1934e-10
392,0.173931,4.542e-10,1.55957e-10
393,0.157025,5.89423e-10,2.03382e-10
394,0.139829,7.63319e-10,2.64676e-10
395,0.122837,9.86476e-10,3.43726e-10
396,0.106516,1.27225e-09,4.45463e-10
397,0.0912959,1.63745e-09,5.76121e-10
398,0.0775575,2.10317e-09,7.43573e-10
399,0.0656254,2.69585e-09,9.57732e-10
400,0.0557621,3.44854e-09,1.23105e-09
401,0.0481644,4.40246e-09,1.57916e-09
402,0.0429627,5.60889e-09,2.0216e-09
403,0.0402208,7.13154e-09,2.58276e-09
404,0.0399388,9.04933e-09,3.29304e-09
405,0.0420567,1.14598e-08,4.19021e-09
406,0.0464596,1.44834e-08,5.32111e-09
407,0.0529844,1.82681e-08,6.74369e-09
408,0.0614264,2.29959e-08,8.5295e-09
409,0.0715478,2.88895e-08,1.07667e-08
410,0.0830853,3.62213e-08,1.35636e-08
411,0.0957588,4.53236e-08,1.7053e-08
412,0.10928,5.66006e-08,2.13975e-08
413,0.12336,7.0543e-08,2.67954e-08
414,0.137717,8.7745e-08,3.34884e-08
415,0.152085,1.08925e-07,4.17702e-08
416,0.166219,1.34949e-07,5.19966e-08
417,0.179899,1.66857e-07,6.45981e-08
418,0.19294,2.059e-07,8.00943e-08
419,0.20519,2.53572e-07,9.91105e-08
420,0.216536,3.11658e-07,1.22398e-07
421,0.226904,3.82284e-07,1.50855e-07
422,0.236263,4.67977e-07,1.85559e-07
423,0.244621,5.71729e-07,2.2779e-07
424,0.252023,6.97078e-07,2.79074e-07
425,0.258552,8.48197e-07,3.41218e-07
426,0.264324,1.02999e-06,4.16363e-07
427,0.269484,1.24821e-06,5.07033e-07
428,0.274199,1.50959e-06,6.16203e-07
429,0.278658,1.82197e-06,7.47361e-07
430,0.283059,2.19448e-06,9.04597e-07
431,0.287611,2.63772e-06,1.09268e-06
432,0.292521,3.16393e-06,1.31717e-06
433,0.29799,3.78725e-06,1.58453e-06
434,0.304212,4.5239e-06,1.90222e-06
435,0.311359,5.3925e-06,2.27888e-06
436,0.319586,6.41434e-06,2.72444e-06
437,0.329019,7.61364e-06,3.25032e-06
438,0.339757,9.01791e-06,3.86955e-06
439,0.351866,1.06583e-05,4.59703e-06
440,0.365379,1.25699e-05,5.44967e-06
441,0.380295,1.47921e-05,6.44667e-06
442,0.396579,1.73692e-05,7.60967e-06
443,0.414166,2.03503e-05,8.96306e-06
444,0.43296,2.37902e-05,1.05342e-05
445,0.45284,2.77494e-05,1.23536e-05
446,0.473662,3.22947e-05,1.44552e-05
447,0.495267,3.74991e-05,1.68768e-05
448,0.517485,4.34427e-05,1.966e-05
449,0.540138,5.02122e-05,2.28505e-05
450,0.56305,5.79014e-05,2.64983e-05
451,0.586051,6.66112e-05,3.0658e-05
452,0.608981,7.64496e-05,3.53886e-05
453,0.631698,8.75312e-05,4.07539e-05
454,0.654077,9.99769e-05,4.68221e-05
455,0.676021,0.000113913,5.3666e-05
456,0.697453,0.000129473,6.13629e-05
457,0.718328,0.000146791,6.99937e-05
458,0.738624,0.000166006,7.96431e-05
459,0.758345,0.000187258,9.03989e-05
460,0.777519,0.000210688,0.000102351
461,0.796194,0.000236431,0.000115591
462,0.814431,0.00026462,0.00013021
463,0.832304,0.00029538,0.0001463
464,0.84989,0.000328824,0.000163948
465,0.867268,0.000365055,0.00018324
466,0.884507,0.000404154,0.000204254
467,0.901669,0.000446184,0.000227061
468,0.918796,0.000491182,0.000251722
469,0.935912,0.000539159,0.000278286
470,0.953017,0.000590089,0.000306786
471,0.970087,0.000643912,0.000337239
472,0.987071,0.000700527,0.000369641
473,1.00389,0.000759789,0.000403965
474,1.02046,0.000821503,0.000440159
475,1.03665,0.000885428,0.000478144
476,1.05234,0.000951266,0.00051781
477,1.06738,0.00101867,0.000559014
478,1.08162,0.00108724,0.000601581
479,1.09492,0.00115651,0.000645299
480,1.10714,0.00122598,0.00068992
481,1.11817,0.00129509,0.000735163
482,1.12788,0.00136324,0.000780707
483,1.13621,0.00142979,0.000826201
484,1.14309,0.00149408,0.000871261
485,1.14849,0.00155541,0.000915473
486,1.15241,0.00161308,0.000958401
487,1.15488,0.0016664,0.000999589
488,1.15596,0.00171467,0.00103857
489,1.15571,0.00175724,0.00107486
490,1.15424,0.00179349,0.001108
491,1.15165,0.00182286,0.00113751
492,1.14806,0.00184487,0.00116296
493,1.1436,0.00185912,0.00118392
494,1.13838,0.00186531,0.00120004
495,1.13253,0.00186327,0.00121097
496,1.12615,0.00185294,0.00121646
497,1.11933,0.00183439,0.0012163
498,1.11217,0.00180787,0.00121037
499,1.10473,0.00177372,0.00119864
500,1.09706,0.00173247,0.00118115
501,1.0892,0.00168476,0.00115805
502,1.08119,0.00163139,0.00112958
503,1.07305,0.00157326,0.00109607
504,1.0648,0.00151137,0.00105795
505,1.05647,0.00144684,0.00101573
506,1.04808,0.0013808,0.000970013
507,1.03966,0.00131446,0.000921449
508,1.03125,0.001249,0.000870761
509,1.0229,0.0011856,0.000818709
510,1.01466,0.00112537,0.000766078
511,1.00661,0.00106933,0.000713658
512,0.998808,0.0010184,0.000662228
513,0.991347,0.000973321,0.000612535
514,0.984303,0.000934689,0.000565275
515,0.977754,0.000902898,0.000521071
516,0.971775,0.000878138,0.000480463
517,0.966429,0.000860383,0.000443887
518,0.961768,0.000849391,0.000411663
519,0.957829,0.000844708,0.000383992
520,0.954633,0.000845681,0.000360943
521,0.952183,0.000851478,0.000342459
522,0.950465,0.000861111,0.000328355
523,0.949451,0.000873475,0.000318328
524,0.949096,0.00088738,0.000311968
525,0.949346,0.000901592,0.000308773
526,0.950139,0.000914879,0.000308172
527,0.951408,0.000926053,0.000309538
528,0.953084,0.000934013,0.000312222
529,0.955102,0.000937786,0.000315568
530,0.957398,0.00093656,0.000318944
531,0.959919,0.000929715,0.000321765
532,0.962615,0.000916843,0.00032351
533,0.965448,0.000897765,0.000323746
534,0.968385,0.000872531,0.000322142
535,0.9714,0.000841416,0.000318477
536,0.974472,0.000804906,0.000312646
537,0.977586,0.000763675,0.000304665
538,0.980724,0.000718553,0.000294658
539,0.983871,0.000670488,0.000282853
540,0.987008,0.000620507,0.000269567
541,0.990115,0.000569666,0.000255182
542,0.993167,0.000519011,0.000240129
543,0.996136,0.000469531,0.00022486
544,0.998992,0.000422119,0.000209829
545,1.0017,0.000377536,0.00019546
546,1.00423,0.000336389,0.000182133
547,1.00656,0.000299108,0.00017016
548,1.00865,0.00026594,0.000159773
549,1.01048,0.000236949,0.000151108
550,1.01204,0.000212026,0.000144207
551,1.01332,0.000190908,0.000139015
552,1.01431,0.000173203,0.000135383
553,1.01503,0.000158422,0.000133086
554,1.0155,0.000146017,0.000131832
555,1.01571,0.000135416,0.000131285
556,1.01571,0.000126056,0.000131083
557,1.01552,0.000117423,0.000130864
558,1.01515,0.000109075,0.000130286
559,1.01464,0.000100669,0.000129044
560,1.01401,9.19719e-05,0.000126896
561,1.01328,8.28672e-05,0.000123668
562,1.01247,7.33557e-05,0.000119264
563,1.01158,6.35441e-05,0.000113676
564,1.01062,5.36285e-05,0.000106973
565,1.00962,4.38726e-05,9.93005e-05
566,1.00856,3.45814e-05,9.08667e-05
567,1.00746,2.6074e-05,8.1927e-05
568,1.00633,1.86557e-05,7.27666e-05
569,1.00517,1.25933e-05,6.36814e-05
570,1.00399,8.09362e-06,5.49589e-05
571,1.0028,5.28784e-06,4.686e-05
572,1.00162,4.22215e-06,3.96036e-05
573,1.00046,4.85522e-06,3.33555e-05
574,0.999347,7.06248e-06,2.82196e-05
575,0.998285,1.06466e-05,2.42359e-05
576,0.997294,1.53531e-05,2.13815e-05
577,0.996385,2.08898e-05,1.9577e-05
578,0.995569,2.69481e-05,1.86958e-05
579,0.994852,3.32248e-05,1.85769e-05
580,0.994236,3.94421e-05,1.90395e-05
581,0.993722,4.53649e-05,1.98974e-05
