E,T,R0,R,N_R0,E/V0
4693.3,3.08463,0.0363958,0.0363958,0.0116615,46.933
4693.49,3.15193,0.052317,0.052317,0.0163274,46.9349
4693.69,3.07235,0.0785861,0.0785861,0.0249405,46.9369
4693.89,3.06341,0.097871,0.097871,0.0309593,46.9389
4694.08,3.26013,0.12931,0.12931,0.038151,46.9408
4694.28,3.28718,0.147891,0.147891,0.0430533,46.9428
4694.48,3.24501,0.164332,0.164332,0.0482006,46.9448
4694.67,3.23032,0.18897,0.18897,0.0552658,46.9467
4694.87,3.34807,0.215826,0.215826,0.0605591,46.9487
4695.07,3.45454,0.225393,0.225393,0.0612493,46.9507
4695.26,3.41068,0.235758,0.235758,0.0646543,46.9526
4695.46,3.50305,0.289341,0.289341,0.076295,46.9546
4695.66,3.39085,0.336488,0.336488,0.0902757,46.9566
4695.85,3.4829,0.343829,0.343829,0.0898494,46.9585
4696.05,3.57437,0.356413,0.356413,0.0906723,46.9605
4696.25,3.47462,0.336843,0.336843,0.0883764,46.9625
4696.44,3.6238,0.386049,0.386049,0.0962752,46.9644
4696.64,3.59204,0.398555,0.398555,0.0998736,46.9664
4696.84,3.56219,0.407707,0.407707,0.1027,46.9684
4697.04,3.44421,0.405581,0.405581,0.105352,46.9704
4697.23,3.58554,0.400269,0.400269,0.100424,46.9723
4697.43,3.44619,0.355309,0.355309,0.0934654,46.9743
4697.63,3.61265,0.387561,0.387561,0.0968851,46.9763
4697.82,3.65141,0.487068,0.487068,0.117693,46.9782
4698.02,3.60894,0.461988,0.461988,0.113485,46.9802
4698.22,3.70771,0.418588,0.418588,0.101444,46.9822
4698.41,3.66552,0.340544,0.340544,0.0850073,46.9841
4698.61,3.62476,0.330105,0.330105,0.0834681,46.9861
4698.81,3.55545,0.28762,0.28762,0.0748413,46.9881
4699,3.81381,0.34577,0.34577,0.0831261,46.99
4699.2,3.56649,0.30566,0.30566,0.0789381,46.992
4699.4,3.45388,0.324157,0.324157,0.0858003,46.994
4699.59,3.78393,0.268941,0.268941,0.0663582,46.9959
4699.79,3.53966,0.237493,0.237493,0.0628762,46.9979
4699.99,3.35159,0.231239,0.231239,0.0645409,46.9999
4700.19,3.41314,0.165767,0.165767,0.0463178,47.0019
4700.38,3.48939,0.170572,0.170572,0.0466049,47.0038
4700.58,3.43729,0.154693,0.154693,0.0430661,47.0058
4700.78,3.57292,0.144059,0.144059,0.0387571,47.0078
4700.97,3.55773,0.114413,0.114413,0.0311571,47.0097
4701.17,3.36763,0.0705244,0.0705244,0.0205123,47.0117
4701.37,3.34846,0.052089,0.052089,0.0153178,47.0137
4701.56,3.2403,0.0624387,0.0624387,0.0189051,47.0156
4701.76,3.47059,0.041022,0.041022,0.0116818,47.0176
4701.96,3.51287,0.0425594,0.0425594,0.0119702,47.0196
4702.15,3.31479,0.0250012,0.0250012,0.00748587,47.0215
