t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
105,0.075277,3.65456,0.475906,23.1044,0.213095,10.3454,0.0520184,2.5254,0.183704,8.91849
106,0.0767582,3.76164,0.487508,23.891,0.207304,10.1592,0.0521647,2.5564,0.176264,8.63807
107,0.0786969,3.8927,0.498545,24.6602,0.201459,9.96509,0.0523715,2.59053,0.168928,8.35592
108,0.0811027,4.04885,0.508957,25.4084,0.19558,9.76382,0.0526289,2.62737,0.161732,8.07408
109,0.0839842,4.23116,0.51869,26.1318,0.189683,9.55628,0.0529279,2.66653,0.154715,7.79462
110,0.0873489,4.44066,0.527693,26.827,0.183785,9.34331,0.0532599,2.70764,0.147913,7.51961
111,0.0912027,4.67832,0.535919,27.4904,0.177904,9.12572,0.0536169,2.75032,0.141358,7.25107
112,0.0955506,4.94507,0.543323,28.1188,0.172053,8.9043,0.0539915,2.79425,0.135083,6.99098
113,0.100396,5.24175,0.549865,28.7089,0.166246,8.67986,0.0543769,2.83906,0.129116,6.74127
114,0.10574,5.56916,0.555509,29.2576,0.160499,8.45317,0.0547665,2.88445,0.123486,6.50378
115,0.111585,5.92798,0.560222,29.7621,0.154823,8.22505,0.0551541,2.93008,0.118216,6.28026
116,0.117927,6.31885,0.563978,30.2194,0.149234,7.99632,0.0555335,2.97563,0.113327,6.07237
117,0.124766,6.74228,0.566753,30.6271,0.143744,7.76784,0.0558989,3.02075,0.10884,5.88164
118,0.132095,7.1987,0.568526,30.9827,0.138367,7.5405,0.0562441,3.0651,0.104768,5.70948
119,0.139909,7.68846,0.569284,31.284,0.133118,7.31525,0.056563,3.10832,0.101125,5.55717
120,0.148201,8.21178,0.569017,31.5292,0.128011,7.09308,0.0568495,3.15002,0.0979215,5.42582
121,0.15696,8.76877,0.567719,31.7164,0.123061,6.875,0.0570975,3.18983,0.0951625,5.31638
