t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5
152,0.692254,48.4263,0.173498,12.137,0.0593948,4.15494,0.0479051,3.35118,0.0103025,0.720708,0.0166454,1.16442
153,0.706198,49.7211,0.166366,11.7133,0.0587731,4.13802,0.0448087,3.15483,0.00972218,0.684507,0.0141322,0.995001
154,0.719975,51.0165,0.159228,11.2827,0.0580294,4.11189,0.0417049,2.95516,0.00916474,0.649403,0.0118986,0.843121
155,0.733569,52.3113,0.152099,10.8463,0.0571522,4.07556,0.0386114,2.75341,0.00862439,0.615012,0.00994348,0.709076
156,0.746965,53.6041,0.144996,10.4053,0.0561339,4.02831,0.0355467,2.55091,0.00809544,0.580949,0.00826265,0.592948
157,0.760147,54.8933,0.137931,9.96056,0.0549703,3.96962,0.0325295,2.34909,0.00757268,0.546853,0.00684905,0.494597
158,0.773099,56.1776,0.130917,9.51315,0.0536602,3.89924,0.029579,2.14937,0.00705172,0.512416,0.0056926,0.413656
159,0.785806,57.4556,0.123965,9.06388,0.0522059,3.81713,0.0267139,1.95323,0.00652934,0.477404,0.00478035,0.349524
160,0.798252,58.7257,0.117083,8.61358,0.0506126,3.72346,0.0239521,1.76211,0.0060037,0.44168,0.00409657,0.301376
161,0.810421,59.9864,0.110283,8.16302,0.0488881,3.61864,0.0213108,1.5774,0.00547447,0.405214,0.00362301,0.268171
162,0.822298,61.2362,0.103572,7.71296,0.0470428,3.50326,0.0188056,1.40044,0.00494291,0.368097,0.00333919,0.248668
163,0.833867,62.4736,0.0969584,7.26415,0.0450892,3.3781,0.0164506,1.23248,0.00441183,0.330536,0.00322274,0.241448
164,0.845113,63.6969,0.0904511,6.81737,0.043042,3.24411,0.0142581,1.07464,0.00388544,0.292849,0.0032499,0.244947
165,0.856021,64.9045,0.0840586,6.37342,0.0409172,3.10239,0.0122384,0.927929,0.00336911,0.25545,0.00339598,0.257487
166,0.866573,66.0947,0.0777899,5.93314,0.0387322,2.95415,0.0103996,0.793191,0.00286909,0.218829,0.00363589,0.277314
167,0.876755,67.2658,0.0716547,5.49744,0.0365054,2.80074,0.00874764,0.67113,0.00239216,0.18353,0.00394473,0.302645
168,0.886551,68.4162,0.0656635,5.06732,0.034256,2.64358,0.0072862,0.562285,0.00194522,0.150115,0.00429831,0.331706
169,0.895944,69.5439,0.0598277,4.64388,0.0320034,2.48413,0.00601673,0.467023,0.00153491,0.119141,0.00467372,0.362778
170,0.904917,70.6472,0.0541601,4.22829,0.029767,2.32392,0.00493845,0.385547,0.00116721,0.0911246,0.00504981,0.394241
171,0.913456,71.7243,0.0486743,3.82189,0.027566,2.16447,0.00404851,0.317888,0.000847119,0.0665155,0.00540768,0.424609
172,0.921544,72.7733,0.0433856,3.42611,0.025419,2.00731,0.00334201,0.263915,0.000578331,0.0456701,0.00573099,0.45257
173,0.929164,73.7922,0.0383104,3.04253,0.0233437,1.85391,0.0028122,0.223339,0.000363045,0.0288322,0.00600632,0.477009
174,0.936301,74.7792,0.0334666,2.67287,0.0213567,1.70569,0.0024506,0.195721,0.000201822,0.0161188,0.0062233,0.497034
175,0.942938,75.7324,0.0288736,2.31899,0.0194731,1.56399,0.00224717,0.180482,9.35464e-05,0.00751321,0.00637472,0.511988
176,0.949059,76.6496,0.024552,1.98291,0.0177063,1.43003,0.00219049,0.176912,3.54777e-05,0.00286531,0.00645655,0.521456
177,0.954649,77.5291,0.0205237,1.66677,0.0160681,1.30493,0.00226801,0.18419,2.33875e-05,0.00189935,0.00646777,0.525261
178,0.959692,78.3687,0.0168118,1.37285,0.0145679,1.18962,0.00246619,0.201389,5.17748e-05,0.00422794,0.00641022,0.52346
179,0.964173,79.1666,0.0134405,1.10357,0.0132131,1.08491,0.00277079,0.227505,0.000114142,0.00937204,0.00628828,0.516319
180,0.968078,79.9206,0.0104347,0.861447,0.0120087,0.991389,0.0031671,0.261463,0.000203319,0.0167852,0.00610854,0.504296
181,0.971391,80.629,0.00782018,0.649103,0.0109571,0.90948,0.00364016,0.302147,0.000311805,0.0258809,0.00587941,0.488013
182,0.974101,81.2897,0.00562298,0.469244,0.0100585,0.839391,0.00417506,0.348413,0.000432122,0.0360611,0.0056107,0.468219
183,0.976193,81.9009,0.00386936,0.324632,0.00931042,0.781129,0.00475719,0.39912,0.000557153,0.0467442,0.00531316,0.445765
184,0.977655,82.4607,0.0025854,0.218067,0.00870812,0.734489,0.0053725,0.453146,0.000680435,0.0573915,0.00499806,0.421563
185,0.978478,82.9673,0.00179676,0.152351,0.00824448,0.699068,0.00600779,0.509414,0.00079642,0.0675302,0.00467682,0.396558
186,0.978649,83.4191,0.00152826,0.130267,0.0079103,0.674266,0.00665094,0.566919,0.00090066,0.0767714,0.00436057,0.37169
187,0.978161,83.8142,0.00180354,0.154537,0.00769448,0.659305,0.00729115,0.624746,0.000989936,0.0848231,0.0040599,0.347874
188,0.977005,84.1512,0.0026447,0.227793,0.0075843,0.65325,0.00791915,0.682091,0.0010623,0.0914979,0.00378456,0.325971
189,0.975175,84.4287,0.00407184,0.352532,0.00756579,0.655031,0.00852739,0.738285,0.00111707,0.0967139,0.00354325,0.306768
190,0.972665,84.6451,0.00610273,0.531083,0.00762412,0.663481,0.00911015,0.792801,0.00115474,0.10049,0.00334353,0.290967
191,0.969472,84.7994,0.00875232,0.765563,0.00774399,0.677365,0.00966361,0.845273,0.00117685,0.102939,0.00319166,0.279174
192,0.965593,84.8904,0.0120324,1.05784,0.00791017,0.695425,0.0101859,0.895499,0.00118579,0.104249,0.00309269,0.271895
193,0.961029,84.9172,0.0159513,1.40947,0.00810797,0.716427,0.0106772,0.943443,0.00118461,0.104673,0.00305039,0.269535
194,0.95578,84.8789,0.0205132,1.8217,0.00832377,0.739201,0.0111392,0.989231,0.00117679,0.104506,0.00306739,0.272402
195,0.949849,84.775,0.0257183,2.29538,0.00854554,0.762698,0.0115757,1.03315,0.00116603,0.104069,0.00314526,0.280718
196,0.943242,84.6049,0.0315619,2.83097,0.00876333,0.786034,0.0119917,1.07561,0.00115601,0.103689,0.00328468,0.294622
197,0.935966,84.3684,0.0380348,3.42847,0.00896978,0.808541,0.0123937,1.11717,0.00115022,0.103681,0.00348554,0.314188
198,0.928029,84.0655,0.0451224,4.08741,0.00916058,0.829811,0.0127888,1.15847,0.00115182,0.104337,0.00374712,0.339432
199,0.919443,83.6961,0.0528053,4.80682,0.00933479,0.849738,0.0131853,1.20025,0.00116351,0.105913,0.00406822,0.370327
200,0.91022,83.2608,0.0610583,5.5852,0.00949519,0.868556,0.0135916,1.24327,0.00118746,0.108621,0.00444736,0.406814
201,0.900376,82.7599,0.0698513,6.42053,0.00964849,0.886861,0.0140164,1.28835,0.0012253,0.112626,0.00488282,0.448814
202,0.889927,82.1943,0.0791488,7.31024,0.00980545,0.905639,0.0144681,1.33628,0.00127812,0.118048,0.0053728,0.496236
203,0.878892,81.5649,0.08891,8.25122,0.00998089,0.926269,0.0149547,1.38786,0.00134649,0.12496,0.00591551,0.548985
204,0.867294,80.873,0.0990892,9.23982,0.0101936,0.950525,0.0154837,1.44382,0.0014306,0.1334,0.00650923,0.606969
