t,Norm_0,AvgX_0,Norm_1,AvgX_1
536,0.0988271,22.1199,0.901173,201.704
537,0.107136,24.0148,0.892864,200.137
538,0.116183,26.0807,0.883817,198.398
539,0.125952,28.3147,0.874048,196.491
540,0.136425,30.7136,0.863575,194.418
541,0.147585,33.2741,0.852415,192.183
542,0.159412,35.9923,0.840588,189.79
543,0.171884,38.8643,0.828116,187.243
544,0.184982,41.8857,0.815018,184.546
545,0.198681,45.0518,0.801319,181.703
546,0.212957,48.3579,0.787043,178.72
547,0.227786,51.7989,0.772214,175.602
548,0.243142,55.3692,0.756858,172.354
549,0.258998,59.0634,0.741002,168.982
550,0.275327,62.8754,0.724673,165.491
551,0.292099,66.7993,0.707901,161.888
552,0.309286,70.8288,0.690714,158.179
553,0.326857,74.9572,0.673143,154.37
554,0.344781,79.178,0.655219,150.469
555,0.363029,83.4842,0.636971,146.482
556,0.381567,87.8687,0.618433,142.415
557,0.400363,92.3245,0.599637,138.277
558,0.419385,96.844,0.580615,134.075
559,0.438598,101.42,0.561402,129.816
560,0.457971,106.044,0.542029,125.508
561,0.477468,110.71,0.522532,121.159
562,0.497056,115.408,0.502944,116.776
563,0.5167,120.132,0.4833,112.367
564,0.536367,124.873,0.463633,107.94
565,0.556021,129.623,0.443979,103.503
566,0.575629,134.375,0.424371,99.0653
567,0.595156,139.12,0.404844,94.6335
568,0.614569,143.849,0.385431,90.2162
569,0.633832,148.556,0.366168,85.8215
570,0.652913,153.232,0.347087,81.4573
571,0.671779,157.868,0.328221,77.1318
572,0.690396,162.457,0.309604,72.8529
573,0.708732,166.991,0.291268,68.6286
574,0.726754,171.463,0.273246,64.4667
575,0.744432,175.863,0.255568,60.3749
576,0.761734,180.186,0.238266,56.3609
577,0.778631,184.422,0.221369,52.4322
578,0.795092,188.565,0.204908,48.5962
579,0.81109,192.608,0.18891,44.8603
580,0.826595,196.543,0.173405,41.2314
581,0.841581,200.364,0.158419,37.7165
582,0.856022,204.063,0.143978,34.3223
583,0.869892,207.635,0.130108,31.0555
584,0.883168,211.073,0.116832,27.9222
585,0.895826,214.37,0.104174,24.9286
586,0.907844,217.521,0.0921558,22.0807
587,0.919201,220.521,0.0807988,19.384
588,0.929877,223.363,0.0701226,16.8439
589,0.939854,226.043,0.0601458,14.4656
