t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6
84,0.117908,4.58699,0.179109,6.96791,0.0679219,2.64237,0.202674,7.88467,0.170518,6.63367,0.0518593,2.01749,0.210009,8.17002
85,0.112064,4.41122,0.182353,7.178,0.0656539,2.58435,0.206167,8.11541,0.171128,6.73615,0.0524588,2.06495,0.210176,8.27322
86,0.106316,4.23386,0.18612,7.41195,0.0637189,2.5375,0.209259,8.33341,0.171517,6.8304,0.0529781,2.10977,0.210091,8.36654
87,0.100661,4.05495,0.190423,7.67088,0.0621265,2.50267,0.211922,8.53696,0.171682,6.91594,0.0534097,2.15153,0.209777,8.45052
88,0.0950974,3.87459,0.195268,7.95589,0.0608811,2.4805,0.214134,8.72453,0.171619,6.99236,0.0537472,2.18984,0.209253,8.52568
89,0.089626,3.69288,0.200664,8.26801,0.0599812,2.47142,0.215877,8.89481,0.171328,7.05926,0.0539851,2.22436,0.208539,8.59249
90,0.084247,3.50998,0.206615,8.60819,0.0594198,2.47561,0.217141,9.04674,0.170807,7.11632,0.0541194,2.25478,0.207651,8.65138
91,0.0789621,3.3261,0.213123,8.9773,0.0591845,2.49301,0.217923,9.17951,0.170057,7.16326,0.0541478,2.28085,0.206603,8.70266
92,0.0737739,3.14146,0.220188,9.37611,0.0592577,2.52333,0.218226,9.29257,0.169081,7.19986,0.0540694,2.3024,0.205403,8.74654
93,0.068686,2.95637,0.227808,9.80528,0.059617,2.56602,0.218059,9.38566,0.167883,7.22599,0.0538853,2.31932,0.204061,8.78312
94,0.0637032,2.77116,0.235979,10.2653,0.0602355,2.62031,0.217437,9.45878,0.166469,7.2416,0.0535985,2.3316,0.202577,8.81235
95,0.0588313,2.58625,0.244691,10.7567,0.0610826,2.68522,0.216381,9.51223,0.164846,7.2467,0.0532135,2.33929,0.200954,8.83404
96,0.054077,2.40208,0.253934,11.2796,0.0621246,2.75955,0.214917,9.54654,0.163023,7.24142,0.0527367,2.34255,0.199188,8.84788
97,0.0494483,2.21918,0.263693,11.8342,0.0633251,2.84195,0.213074,9.56252,0.16101,7.22592,0.0521758,2.34159,0.197274,8.85342
98,0.0449539,2.03811,0.273951,12.4203,0.0646462,2.93092,0.210888,9.56119,0.158818,7.20046,0.0515398,2.3367,0.195204,8.85011
99,0.0406039,1.85953,0.284686,13.0377,0.0660488,3.02482,0.208394,9.54378,0.15646,7.16537,0.0508385,2.32824,0.192968,8.83732
100,0.0364091,1.68412,0.295874,13.6858,0.0674937,3.12196,0.205634,9.51172,0.153949,7.12101,0.0500824,2.31659,0.190557,8.81432
101,0.0323812,1.51266,0.307487,14.364,0.0689425,3.2206,0.202648,9.46657,0.151299,7.06781,0.0492822,2.30218,0.18796,8.7804
102,0.0285329,1.34598,0.319494,15.0714,0.0703579,3.31899,0.199479,9.41003,0.148522,7.00621,0.0484486,2.28546,0.185166,8.7348
103,0.0248776,1.18496,0.331858,15.8069,0.0717048,3.4154,0.19617,9.34385,0.145632,6.93667,0.0475915,2.26685,0.182166,8.67683
104,0.0214296,1.03055,0.344541,16.5689,0.0729508,3.50819,0.192762,9.26989,0.142643,6.85968,0.0467203,2.24677,0.178953,8.60585
105,0.0182037,0.883756,0.357501,17.356,0.0740666,3.5958,0.189296,9.18996,0.139567,6.7757,0.0458433,2.22561,0.175523,8.5213
106,0.0152153,0.745648,0.370694,18.1664,0.075027,3.6768,0.185811,9.10591,0.136415,6.68519,0.0449672,2.20368,0.171871,8.4228
107,0.0124805,0.61734,0.38407,18.9978,0.0758108,3.74994,0.182343,9.01949,0.133198,6.58857,0.0440975,2.18126,0.168001,8.31007
108,0.0100154,0.499995,0.397579,19.8481,0.0764012,3.81414,0.178925,8.93239,0.129926,6.48625,0.043238,2.15855,0.163915,8.18305
109,0.00783686,0.394824,0.411167,20.7147,0.0767861,3.86851,0.175587,8.84616,0.126609,6.37861,0.0423907,2.13566,0.159623,8.04186
