t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6,Norm_7,AvgX_7
77,0.170478,6.08257,0.120714,4.30703,0.171206,6.10852,0.0669361,2.38824,0.13875,4.95051,0.12939,4.61657,0.0383177,1.36716,0.164209,5.85888
78,0.165025,5.96405,0.114596,4.14152,0.17508,6.32745,0.0641594,2.31874,0.142577,5.15277,0.131639,4.75746,0.0392876,1.41986,0.167635,6.05837
79,0.159814,5.84933,0.108409,3.96787,0.179379,6.56545,0.0614867,2.25047,0.146258,5.35317,0.133685,4.89301,0.0402038,1.4715,0.170764,6.25011
80,0.154842,5.73869,0.102165,3.78639,0.184108,6.82332,0.0589439,2.18455,0.149769,5.55068,0.13552,5.02258,0.0410599,1.52174,0.173592,6.43356
81,0.150109,5.63239,0.0958773,3.59751,0.189267,7.10167,0.0565533,2.12199,0.153092,5.74431,0.137135,5.14558,0.0418502,1.57031,0.176117,6.60828
82,0.145612,5.5307,0.0895613,3.40176,0.194853,7.40099,0.0543335,2.06372,0.156208,5.93315,0.138523,5.26144,0.0425699,1.61691,0.17834,6.77381
83,0.141349,5.43387,0.0832351,3.1998,0.200858,7.72154,0.052299,2.01052,0.159104,6.11641,0.139679,5.36967,0.0432151,1.66131,0.18026,6.92971
84,0.13732,5.34216,0.0769191,2.99239,0.207269,8.06342,0.0504602,1.96306,0.161771,6.2934,0.140601,5.46981,0.0437833,1.70331,0.181877,7.07556
85,0.133521,5.25583,0.0706361,2.78047,0.214069,8.42648,0.0488234,1.92185,0.164202,6.46352,0.141286,5.56149,0.0442732,1.74274,0.183189,7.21094
86,0.129952,5.17512,0.0644114,2.56508,0.221236,8.81036,0.0473908,1.88726,0.166393,6.62633,0.141735,5.64438,0.0446846,1.77949,0.184198,7.33539
87,0.12661,5.10028,0.0582727,2.34742,0.22874,9.21444,0.0461611,1.85953,0.168345,6.7815,0.141951,5.71827,0.0450187,1.81351,0.184902,7.4485
88,0.123494,5.03155,0.05225,2.12884,0.23655,9.63785,0.0451293,1.83872,0.17006,6.92883,0.141937,5.78301,0.0452779,1.84477,0.185302,7.54982
89,0.120601,4.96917,0.0463754,1.91082,0.244628,10.0794,0.0442879,1.8248,0.171545,7.06822,0.141701,5.83854,0.0454654,1.87332,0.185396,7.63892
90,0.117931,4.91338,0.0406831,1.69498,0.25293,10.5378,0.0436264,1.81761,0.172807,7.19968,0.14125,5.88488,0.0455854,1.89923,0.185186,7.71541
91,0.115482,4.86441,0.035209,1.4831,0.261411,11.0113,0.0431328,1.81687,0.173857,7.32332,0.140593,5.92214,0.0456426,1.92259,0.184672,7.7789
92,0.113252,4.82251,0.0299902,1.27705,0.270019,11.498,0.0427933,1.82223,0.174705,7.43933,0.139741,5.95049,0.0456419,1.94353,0.183858,7.82909
93,0.111239,4.7879,0.0250653,1.07885,0.278699,11.9957,0.0425932,1.83329,0.175363,7.54794,0.138707,5.97017,0.0455882,1.9622,0.182746,7.86572
94,0.109442,4.76083,0.0204732,0.890609,0.287391,12.5019,0.0425175,1.84956,0.175844,7.64943,0.137502,5.9815,0.0454864,1.97871,0.181344,7.88866
95,0.107859,4.74154,0.0162536,0.714516,0.296036,13.0139,0.0425511,1.87056,0.176161,7.74411,0.136141,5.98482,0.0453407,1.9932,0.179658,7.89785
96,0.106491,4.73028,0.0124458,0.552838,0.304568,13.5288,0.0426792,1.89579,0.176324,7.83226,0.134637,5.98054,0.0451547,2.00576,0.1777,7.89337
97,0.105335,4.7273,0.00908871,0.40789,0.312924,14.0437,0.0428878,1.92475,0.176345,7.91417,0.133005,5.9691,0.0449314,2.01646,0.175482,7.87543
98,0.104391,4.73287,0.0062202,0.28201,0.321038,14.5551,0.0431637,1.95695,0.176234,7.99008,0.131259,5.95098,0.0446726,2.02536,0.173022,7.84442
99,0.103659,4.74726,0.00387669,0.17754,0.328842,15.0599,0.0434952,1.99194,0.175999,8.06016,0.129412,5.92667,0.0443795,2.03243,0.170336,7.80083
100,0.103139,4.77075,0.00209263,0.0967959,0.336273,15.5545,0.0438712,2.02929,0.175645,8.12454,0.12748,5.89667,0.0440523,2.03766,0.167446,7.74533
101,0.10283,4.80365,0.000900051,0.0420452,0.343267,16.0355,0.0442823,2.06861,0.175176,8.18324,0.125476,5.86153,0.0436905,2.04097,0.164377,7.67874
102,0.102734,4.84628,0.000328065,0.0154758,0.349763,16.4993,0.0447199,2.10957,0.174596,8.23621,0.123414,5.82179,0.043293,2.04226,0.161152,7.60199
103,0.102852,4.89897,0.000402453,0.0191694,0.355702,16.9426,0.0451768,2.15183,0.173904,8.28328,0.121307,5.778,0.0428584,2.04141,0.157798,7.51615
104,0.103184,4.96209,0.00114523,0.0550739,0.361031,17.3619,0.0456462,2.19512,0.173097,8.32421,0.119167,5.73073,0.042385,2.03829,0.154344,7.42239
105,0.103732,5.03601,0.00257426,0.124976,0.365701,17.7541,0.0461225,2.23916,0.172172,8.35864,0.117009,5.68055,0.0418711,2.03277,0.150818,7.32193
106,0.104499,5.12114,0.00470292,0.230473,0.369667,18.1161,0.0466001,2.2837,0.171124,8.38615,0.114843,5.62805,0.0413155,2.02472,0.147248,7.21607
107,0.105488,5.21791,0.00753977,0.372951,0.372892,18.4449,0.047074,2.32849,0.169944,8.40621,0.112683,5.57382,0.0407173,2.01406,0.143661,7.10612
108,0.106701,5.32678,0.0110884,0.553558,0.375343,18.7381,0.0475392,2.37327,0.168627,8.41827,0.11054,5.51845,0.0400761,2.0007,0.140085,6.99339
109,0.108142,5.44824,0.015347,0.773186,0.376996,18.9932,0.0479904,2.41777,0.167162,8.4217,0.108425,5.46252,0.0393925,1.98461,0.136545,6.87917
110,0.109815,5.58281,0.0203085,1.03245,0.377831,19.2083,0.0484224,2.4617,0.165542,8.41586,0.10635,5.40662,0.0386677,1.9658,0.133063,6.76468
111,0.111725,5.73102,0.0259604,1.33166,0.377839,19.3816,0.0488294,2.50475,0.163758,8.40011,0.104322,5.35131,0.0379039,1.94431,0.129662,6.6511
112,0.113876,5.89345,0.0322847,1.67084,0.377015,19.5118,0.0492056,2.54656,0.161803,8.37384,0.102353,5.29714,0.037104,1.92026,0.126359,6.53949
113,0.116273,6.07071,0.0392578,2.04968,0.375363,19.598,0.0495446,2.58677,0.15967,8.33648,0.10045,5.24459,0.0362717,1.89378,0.12317,6.43082
114,0.118922,6.26343,0.0468511,2.46756,0.372892,19.6396,0.0498399,2.62498,0.157354,8.28754,0.0986199,5.19413,0.0354112,1.86505,0.120109,6.32594
115,0.12183,6.47227,0.0550305,2.92352,0.36962,19.6362,0.0500847,2.66077,0.154853,8.22662,0.0968677,5.14614,0.0345275,1.83429,0.117186,6.22558
116,0.125001,6.6979,0.0637571,3.41627,0.365571,19.5882,0.0502725,2.69373,0.152166,8.15346,0.0951973,5.10091,0.0336257,1.80175,0.114409,6.13033
117,0.128444,6.94103,0.0729874,3.9442,0.360772,19.496,0.0503967,2.72341,0.149296,8.06791,0.0936105,5.05867,0.0327111,1.76769,0.111782,6.04065
118,0.132163,7.20239,0.0826733,4.5054,0.35526,19.3604,0.0504513,2.74941,0.146248,7.97002,0.0921073,5.01952,0.0317893,1.7324,0.109307,5.95687
119,0.136165,7.48272,0.0927629,5.09762,0.349075,19.1828,0.0504307,2.77133,0.14303,7.85996,0.0906854,4.98345,0.0308655,1.69616,0.106985,5.87919
120,0.140458,7.78278,0.103201,5.71833,0.34226,18.9646,0.0503303,2.7888,0.139652,7.73811,0.0893402,4.95033,0.0299448,1.65924,0.104813,5.80769
121,0.145048,8.10332,0.113928,6.36474,0.334865,18.7077,0.0501464,2.8015,0.136129,7.60503,0.0880654,4.9199,0.0290322,1.62192,0.102786,5.7423
122,0.149941,8.44512,0.124883,7.03376,0.326941,18.4142,0.0498763,2.80918,0.132476,7.46144,0.0868524,4.89177,0.0281319,1.58447,0.100898,5.68286
123,0.155144,8.80895,0.136003,7.72211,0.318542,18.0865,0.0495188,2.81163,0.128714,7.30825,0.0856907,4.86544,0.0272479,1.54711,0.0991401,5.62908
