x,AbsPsi
-903,2.92774e-13
-902.9,2.93577e-13
-902.8,2.93641e-13
-902.7,2.95181e-13
-902.6,2.95227e-13
-902.5,2.96694e-13
-902.4,2.95448e-13
-902.3,2.97475e-13
-902.2,2.97178e-13
-902.1,2.98289e-13
-902,2.99605e-13
-901.9,2.98538e-13
-901.8,3.00508e-13
-901.7,3.0104e-13
-901.6,3.02453e-13
-901.5,3.04568e-13
-901.4,3.06138e-13
-901.3,3.05936e-13
-901.2,3.07207e-13
-901.1,3.08465e-13
-901,3.08192e-13
-900.9,3.11409e-13
-900.8,3.08881e-13
-900.7,3.12793e-13
-900.6,3.10934e-13
-900.5,3.14889e-13
-900.4,3.12709e-13
-900.3,3.17106e-13
-900.2,3.14808e-13
-900.1,3.1929e-13
-900,3.17482e-13
-899.9,3.21066e-13
-899.8,3.18782e-13
-899.7,3.20457e-13
-899.6,3.20415e-13
-899.5,3.21805e-13
-899.4,3.22609e-13
-899.3,3.24602e-13
-899.2,3.25289e-13
-899.1,3.25968e-13
-899,3.27037e-13
-898.9,3.27583e-13
-898.8,3.28532e-13
-898.7,3.28917e-13
-898.6,3.30462e-13
-898.5,3.30528e-13
-898.4,3.32531e-13
-898.3,3.33092e-13
-898.2,3.34401e-13
-898.1,3.35804e-13
-898,3.34499e-13
-897.9,3.36447e-13
-897.8,3.35774e-13
-897.7,3.37784e-13
-897.6,3.37334e-13
-897.5,3.39597e-13
-897.4,3.3825e-13
-897.3,3.39781e-13
-897.2,3.40758e-13
-897.1,3.41786e-13
-897,3.43224e-13
-896.9,3.45069e-13
-896.8,3.43498e-13
-896.7,3.46105e-13
-896.6,3.45532e-13
-896.5,3.48201e-13
-896.4,3.47963e-13
-896.3,3.48858e-13
-896.2,3.4958e-13
-896.1,3.51047e-13
-896,3.51374e-13
-895.9,3.51321e-13
-895.8,3.52514e-13
-895.7,3.54836e-13
-895.6,3.5379e-13
-895.5,3.55015e-13
-895.4,3.54473e-13
-895.3,3.55177e-13
-895.2,3.55492e-13
-895.1,3.57361e-13
-895,3.58772e-13
-894.9,3.60699e-13
-894.8,3.62776e-13
-894.7,3.6143e-13
-894.6,3.64502e-13
-894.5,3.64951e-13
-894.4,3.6571e-13
-894.3,3.65339e-13
-894.2,3.67989e-13
-894.1,3.68584e-13
-894,3.69327e-13
-893.9,3.68443e-13
-893.8,3.69572e-13
-893.7,3.7061e-13
-893.6,3.72673e-13
-893.5,3.72496e-13
-893.4,3.73736e-13
-893.3,3.74156e-13
-893.2,3.74175e-13
-893.1,3.73262e-13
-893,3.74365e-13
-892.9,3.75437e-13
-892.8,3.7585e-13
-892.7,3.76656e-13
-892.6,3.76716e-13
-892.5,3.77749e-13
-892.4,3.7863e-13
-892.3,3.81787e-13
-892.2,3.80055e-13
-892.1,3.83067e-13
-892,3.83322e-13
-891.9,3.85799e-13
-891.8,3.85731e-13
-891.7,3.86982e-13
-891.6,3.86753e-13
-891.5,3.87767e-13
-891.4,3.8897e-13
-891.3,3.91069e-13
-891.2,3.90117e-13
-891.1,3.91367e-13
-891,3.90764e-13
-890.9,3.93888e-13
