E,T
7.0686,2.57653e+13
7.09699,2.58338e+13
7.12543,2.58745e+13
7.15393,2.58182e+13
7.18249,2.58923e+13
7.21111,2.6003e+13
7.23978,2.60759e+13
7.26851,2.61581e+13
7.2973,2.63701e+13
7.32614,2.6523e+13
7.35504,2.66273e+13
7.384,2.68636e+13
7.41301,2.70993e+13
7.44208,2.74913e+13
7.47121,2.75894e+13
7.50039,2.80436e+13
7.52963,2.83178e+13
7.55893,2.86971e+13
7.58829,2.9059e+13
7.6177,2.94738e+13
7.64717,2.9974e+13
7.67669,3.06739e+13
7.70628,3.10421e+13
7.73591,3.16285e+13
7.76561,3.21542e+13
7.79536,3.28411e+13
7.82517,3.3511e+13
7.85504,3.42383e+13
7.88497,3.50079e+13
7.91495,3.58524e+13
7.94498,3.65415e+13
7.97508,3.74491e+13
8.00523,3.82897e+13
8.03544,3.93186e+13
8.0657,4.02477e+13
8.09603,4.13782e+13
8.12641,4.23514e+13
8.15684,4.35069e+13
8.18733,4.4781e+13
8.21788,4.59459e+13
8.24849,4.72607e+13
8.27915,4.85175e+13
8.30987,5.00193e+13
8.34065,5.12453e+13
8.37149,5.29155e+13
8.40238,5.44904e+13
8.43332,5.5674e+13
8.46433,5.72738e+13
8.49539,5.87222e+13
8.52651,6.02218e+13
8.55769,6.22655e+13
8.58892,6.36129e+13
8.62021,6.53543e+13
8.65155,6.69741e+13
8.68296,6.85006e+13
8.71442,6.96799e+13
8.74593,7.15022e+13
8.77751,7.27223e+13
8.80914,7.34211e+13
8.84083,7.49214e+13
8.87257,7.61477e+13
8.90437,7.68197e+13
8.93623,7.77297e+13
8.96814,7.83258e+13
9.00012,7.96885e+13
9.03214,7.94556e+13
9.06423,8.0471e+13
9.09637,7.93741e+13
9.12857,8.00826e+13
9.16083,7.93979e+13
9.19314,7.86172e+13
9.22551,7.92215e+13
9.25794,7.94812e+13
9.29042,7.69867e+13
9.32296,7.72216e+13
9.35556,7.60697e+13
9.38822,7.44009e+13
9.42093,7.30965e+13
9.4537,7.17502e+13
9.48652,7.03948e+13
9.5194,6.94116e+13
9.55234,6.73098e+13
9.58534,6.61683e+13
9.61839,6.42954e+13
9.6515,6.30348e+13
9.68467,6.12546e+13
9.71789,5.9565e+13
9.75117,5.80368e+13
9.78451,5.67863e+13
9.8179,5.51208e+13
9.85136,5.37258e+13
9.88486,5.22072e+13
9.91843,5.11962e+13
9.95205,4.98487e+13
9.98573,4.82857e+13
10.0195,4.66542e+13
10.0533,4.52777e+13
10.0871,4.44572e+13
10.121,4.32158e+13
10.155,4.18289e+13
10.189,4.09129e+13
10.2231,3.95562e+13
10.2572,3.90679e+13
10.2914,3.75112e+13
10.3256,3.69542e+13
10.3599,3.55736e+13
10.3943,3.48105e+13
10.4287,3.40129e+13
10.4632,3.30611e+13
10.4977,3.22594e+13
10.5323,3.15357e+13
10.567,3.06218e+13
10.6017,3.01344e+13
10.6364,2.93738e+13
10.6712,2.87065e+13
10.7061,2.79777e+13
10.7411,2.75194e+13
10.776,2.68241e+13
10.8111,2.64474e+13
10.8462,2.58942e+13
10.8813,2.5422e+13
10.9166,2.49037e+13
10.9518,2.45965e+13
10.9872,2.40416e+13
11.0225,2.35388e+13
11.058,2.32826e+13
11.0935,2.29436e+13
11.129,2.24845e+13
11.1647,2.2332e+13
11.2003,2.20424e+13
11.236,2.18552e+13
11.2718,2.14651e+13
11.3077,2.12429e+13
11.3436,2.10063e+13
11.3795,2.07478e+13
11.4155,2.06143e+13
11.4516,2.04469e+13
11.4877,2.02116e+13
11.5239,2.00597e+13
11.5601,1.98891e+13
11.5964,1.96554e+13
11.6328,1.96223e+13
11.6692,1.94617e+13
11.7057,1.93383e+13
11.7422,1.92701e+13
11.7788,1.91395e+13
11.8154,1.90606e+13
11.8521,1.88507e+13
11.8889,1.88487e+13
11.9257,1.87654e+13
11.9625,1.87024e+13
11.9995,1.86396e+13
12.0364,1.85474e+13
12.0735,1.84508e+13
12.1106,1.83985e+13
12.1477,1.83171e+13
12.1849,1.8278e+13
12.2222,1.81726e+13
12.2595,1.81649e+13
12.2969,1.8092e+13
12.3343,1.80054e+13
12.3718,1.79721e+13
12.4093,1.79127e+13
12.4469,1.78764e+13
12.4846,1.77562e+13
12.5223,1.77379e+13
12.5601,1.77207e+13
12.5979,1.76222e+13
12.6358,1.76036e+13
12.6738,1.7543e+13
12.7118,1.75034e+13
12.7498,1.74816e+13
12.7879,1.74086e+13
12.8261,1.73881e+13
12.8643,1.73638e+13
12.9026,1.72732e+13
12.941,1.72594e+13
12.9794,1.72851e+13
13.0178,1.72657e+13
13.0563,1.71904e+13
13.0949,1.71369e+13
13.1335,1.71452e+13
13.1722,1.71387e+13
13.211,1.70981e+13
13.2498,1.71105e+13
13.2886,1.70886e+13
13.3275,1.7124e+13
13.3665,1.70906e+13
13.4055,1.70939e+13
13.4446,1.71558e+13
13.4838,1.71943e+13
13.523,1.72361e+13
13.5622,1.72614e+13
13.6015,1.73289e+13
13.6409,1.73905e+13
13.6803,1.75234e+13
13.7198,1.75112e+13
13.7593,1.76338e+13
13.7989,1.77718e+13
13.8386,1.79007e+13
13.8783,1.7986e+13
13.9181,1.8201e+13
13.9579,1.83176e+13
13.9978,1.85489e+13
14.0377,1.87008e+13
14.0777,1.8961e+13
14.1177,1.91766e+13
14.1578,1.93935e+13
14.198,1.97209e+13
14.2382,1.99458e+13
14.2785,2.03123e+13
14.3188,2.05274e+13
14.3592,2.09256e+13
14.3997,2.12371e+13
14.4402,2.17337e+13
14.4807,2.20366e+13
14.5214,2.24853e+13
14.562,2.2906e+13
14.6028,2.34215e+13
14.6436,2.3871e+13
14.6844,2.43016e+13
14.7253,2.4782e+13
14.7663,2.54268e+13
14.8073,2.60126e+13
14.8484,2.64188e+13
14.8895,2.71462e+13
14.9307,2.78238e+13
14.9719,2.83649e+13
15.0132,2.91955e+13
15.0546,2.98291e+13
15.096,3.03713e+13
15.1375,3.12146e+13
15.179,3.19404e+13
15.2206,3.27711e+13
15.2622,3.36131e+13
15.3039,3.44351e+13
15.3457,3.54128e+13
15.3875,3.62627e+13
15.4294,3.73076e+13
15.4713,3.81838e+13
15.5133,3.91027e+13
15.5553,4.04209e+13
15.5974,4.15839e+13
15.6396,4.28338e+13
15.6818,4.41242e+13
15.7241,4.525e+13
15.7664,4.68457e+13
15.8088,4.85489e+13
15.8512,5.0285e+13
15.8937,5.19714e+13
15.9363,5.39382e+13
15.9789,5.56433e+13
16.0215,5.86288e+13
16.0643,6.03451e+13
16.1071,6.34187e+13
16.1499,6.66133e+13
16.1928,6.91924e+13
16.2357,7.30843e+13
16.2787,7.66029e+13
16.3218,8.11061e+13
16.3649,8.59066e+13
16.4081,9.05538e+13
16.4513,9.73242e+13
16.4946,1.03247e+14
16.538,1.0992e+14
16.5814,1.17906e+14
16.6249,1.27048e+14
16.6684,1.37868e+14
16.712,1.49793e+14
16.7556,1.62458e+14
16.7993,1.78353e+14
16.843,1.96871e+14
16.8868,2.18209e+14
16.9307,2.38101e+14
16.9746,2.662e+14
17.0186,2.98764e+14
17.0626,3.38385e+14
17.1067,3.80803e+14
17.1509,4.37688e+14
17.1951,4.99884e+14
17.2393,5.88536e+14
17.2836,6.74776e+14
17.328,8.10893e+14
17.3724,9.4425e+14
17.4169,1.1768e+15
17.4615,1.4066e+15
17.5061,1.74714e+15
17.5507,2.13933e+15
17.5955,2.84167e+15
17.6402,3.57882e+15
17.6851,4.60355e+15
17.7299,6.61334e+15
17.7749,9.18296e+15
17.8199,1.15234e+16
17.8649,1.52774e+16
17.9101,2.06575e+16
17.9552,2.06384e+16
18.0005,2.12097e+16
18.0457,2.07861e+16
18.0911,1.65886e+16
18.1365,1.42268e+16
18.1819,1.18418e+16
18.2274,1.02081e+16
18.273,9.96956e+15
18.3186,8.21335e+15
18.3643,7.6987e+15
18.4101,6.97483e+15
18.4559,7.11509e+15
18.5017,7.13364e+15
18.5476,7.91654e+15
18.5936,7.61774e+15
18.6396,8.24102e+15
18.6857,7.74266e+15
18.7318,9.36667e+15
18.778,1.0148e+16
18.8243,1.19403e+16
18.8706,1.31668e+16
18.9169,1.52139e+16
18.9634,1.95712e+16
19.0098,2.94212e+16
19.0564,3.10706e+16
19.103,9.03172e+16
19.1496,1.3867e+17
19.1963,7.92797e+16
19.2431,3.59479e+16
19.2899,2.43523e+16
19.3368,2.10853e+16
19.3837,9.05295e+15
19.4307,6.84403e+15
19.4778,5.89665e+15
19.5249,4.21247e+15
19.572,2.97828e+15
19.6192,2.07701e+15
19.6665,1.57631e+15
19.7139,1.3975e+15
19.7612,1.12796e+15
19.8087,9.86334e+14
19.8562,7.88344e+14
19.9038,6.62741e+14
19.9514,5.83785e+14
19.999,5.14286e+14
20.0468,4.39355e+14
20.0946,3.78528e+14
20.1424,3.18461e+14
20.1903,2.93784e+14
20.2383,2.53189e+14
20.2863,2.27675e+14
20.3343,2.1601e+14
20.3825,1.8652e+14
20.4307,1.66037e+14
20.4789,1.5427e+14
20.5272,1.39625e+14
20.5756,1.32809e+14
20.624,1.20004e+14
20.6724,1.04991e+14
20.721,9.92965e+13
20.7696,9.28487e+13
20.8182,8.57776e+13
20.8669,8.18737e+13
20.9156,7.67298e+13
20.9645,7.07664e+13
21.0133,6.68497e+13
21.0623,6.42081e+13
21.1112,5.98938e+13
21.1603,5.67479e+13
21.2094,5.3279e+13
21.2585,5.04472e+13
21.3077,4.78124e+13
21.357,4.65177e+13
21.4063,4.426e+13
21.4557,4.28451e+13
21.5051,4.05355e+13
21.5546,3.97354e+13
21.6042,3.7424e+13
21.6538,3.69739e+13
21.7035,3.50121e+13
21.7532,3.51908e+13
21.803,3.35632e+13
21.8528,3.35097e+13
21.9027,3.21154e+13
21.9526,3.18563e+13
22.0026,3.09779e+13
22.0527,3.01712e+13
22.1028,2.98788e+13
22.153,2.94616e+13
22.2032,2.92433e+13
22.2535,2.89287e+13
22.3039,2.88289e+13
22.3543,2.82494e+13
22.4047,2.84734e+13
22.4553,2.79663e+13
22.5058,2.82083e+13
22.5565,2.82478e+13
22.6071,2.78025e+13
22.6579,2.83276e+13
22.7087,2.82174e+13
22.7596,2.85115e+13
22.8105,2.86521e+13
22.8614,2.90011e+13
22.9125,2.9132e+13
22.9636,2.96495e+13
23.0147,2.98591e+13
23.0659,3.04853e+13
23.1172,3.09639e+13
23.1685,3.11524e+13
23.2198,3.18049e+13
23.2713,3.24652e+13
23.3228,3.33538e+13
23.3743,3.38894e+13
23.4259,3.47479e+13
23.4776,3.55136e+13
23.5293,3.66702e+13
23.581,3.73639e+13
23.6329,3.84576e+13
23.6847,3.9398e+13
23.7367,4.03238e+13
23.7887,4.17947e+13
23.8407,4.28467e+13
23.8929,4.43048e+13
23.945,4.5887e+13
23.9972,4.71618e+13
24.0495,4.86918e+13
24.1019,5.05429e+13
24.1543,5.22057e+13
24.2067,5.41612e+13
24.2592,5.55633e+13
24.3118,5.76393e+13
24.3644,5.99282e+13
24.4171,6.19552e+13
24.4698,6.40525e+13
24.5226,6.66757e+13
24.5755,6.89214e+13
24.6284,7.16311e+13
24.6813,7.40754e+13
24.7344,7.66615e+13
