x,x_g,x_ex,k,init,g,ex,E,T
-378.315,8.65001e-29,1.53582e-28,-15.2092,9.89254e-29,2.90906e-29,4.42854e-30,166.67,0
-378.12,4.7736e-29,1.32823e-28,-15.2014,9.34385e-29,9.22108e-31,1.21734e-29,166.498,0
-377.924,9.39221e-29,1.03442e-28,-15.1935,8.81707e-29,1.04513e-29,4.36231e-31,166.326,0
-377.729,8.13333e-29,1.34579e-28,-15.1857,8.34775e-29,4.94247e-29,1.34037e-31,166.154,0
-377.534,6.02648e-29,1.61907e-28,-15.1778,7.90153e-29,3.07749e-29,4.86494e-30,165.982,0
-377.338,9.06585e-29,1.24629e-28,-15.17,7.46141e-29,3.18043e-29,1.31414e-29,165.811,0
-377.143,8.91762e-29,1.06283e-28,-15.1621,6.99118e-29,1.14197e-29,2.2915e-30,165.639,0
-376.947,6.07817e-29,1.68044e-28,-15.1543,6.62879e-29,8.10697e-30,2.34568e-31,165.467,0
-376.752,7.6848e-29,1.70407e-28,-15.1464,6.16156e-29,1.3526e-29,1.50179e-29,165.296,0
-376.557,7.85742e-29,1.01434e-28,-15.1385,5.74159e-29,2.13721e-29,4.47578e-30,165.125,0
-376.361,5.35842e-29,1.41034e-28,-15.1307,5.35483e-29,1.96091e-29,2.28758e-30,164.953,0
-376.166,8.23894e-29,1.72332e-28,-15.1228,5.05099e-29,3.1559e-29,1.00213e-30,164.782,0
-375.971,9.08701e-29,1.28725e-28,-15.115,4.60639e-29,2.84002e-29,3.45226e-30,164.611,0
-375.775,4.74318e-29,1.05406e-28,-15.1071,4.29231e-29,2.86144e-32,9.48038e-30,164.44,0
-375.58,7.75524e-29,1.34372e-28,-15.0993,3.96084e-29,1.21917e-29,1.28608e-30,164.269,0
-375.385,1.07328e-28,1.53386e-28,-15.0914,3.65937e-29,6.62863e-30,2.50621e-29,164.098,0
-375.189,4.69613e-29,1.02923e-28,-15.0836,3.3945e-29,5.23491e-30,4.01666e-30,163.927,0
-374.994,5.08053e-29,1.10212e-28,-15.0757,3.08994e-29,1.11116e-29,5.10625e-30,163.757,0
-374.799,1.09565e-28,1.27736e-28,-15.0679,2.81358e-29,4.14011e-29,1.06938e-29,163.586,0
-374.603,6.98986e-29,1.16452e-28,-15.06,2.55061e-29,1.44371e-30,3.92296e-30,163.416,0
-374.408,4.08545e-29,6.82238e-29,-15.0522,2.28494e-29,1.59282e-29,3.49932e-30,163.245,0
-374.212,9.04578e-29,9.33968e-29,-15.0443,2.04382e-29,4.12929e-30,9.135e-30,163.075,0
-374.017,8.17914e-29,1.12168e-28,-15.0364,1.85207e-29,1.07407e-29,3.54888e-30,162.905,0
-373.822,5.04498e-29,8.21098e-29,-15.0286,1.64129e-29,8.15803e-30,3.56538e-30,162.735,0
-373.626,4.69183e-29,5.26117e-29,-15.0207,1.43018e-29,4.92209e-30,1.36374e-30,162.565,0
-373.431,5.51346e-29,8.05309e-29,-15.0129,1.27013e-29,7.81366e-30,3.68117e-30,162.395,0
-373.236,6.25174e-29,7.66647e-29,-15.005,1.0983e-29,8.28955e-30,4.98755e-32,162.225,0
-373.04,6.08417e-29,4.23626e-29,-14.9972,9.42261e-30,1.22756e-30,1.64842e-31,162.055,0
-372.845,4.34521e-29,3.84544e-29,-14.9893,7.80967e-30,1.27946e-29,4.19197e-30,161.885,0
-372.65,5.03509e-29,8.53565e-29,-14.9815,6.697e-30,3.8846e-29,6.18851e-30,161.716,0
-372.454,7.41048e-29,5.31236e-29,-14.9736,5.62451e-30,7.74948e-30,2.01708e-30,161.546,0
-372.259,3.77932e-29,2.38591e-29,-14.9658,4.54299e-30,2.08992e-29,8.5844e-30,161.377,0
-372.063,2.60871e-29,3.66969e-29,-14.9579,3.60661e-30,1.04325e-29,4.58089e-30,161.207,0
-371.868,6.11511e-29,5.76201e-29,-14.9501,2.82986e-30,9.59369e-30,6.61525e-31,161.038,0
-371.673,5.20497e-29,1.58073e-29,-14.9422,2.28019e-30,2.64694e-30,8.79881e-30,160.869,0
-371.477,2.0689e-29,1.34192e-29,-14.9343,1.78781e-30,7.26994e-30,1.71933e-30,160.7,0
-371.282,5.33209e-29,4.23085e-29,-14.9265,1.27425e-30,1.7623e-29,1.01027e-29,160.531,0
-371.087,6.85163e-29,4.26071e-29,-14.9186,1.03114e-30,4.94958e-30,3.04722e-30,160.362,0
-370.891,3.32955e-29,3.97224e-30,-14.9108,9.68302e-31,1.56826e-29,2.95353e-30,160.193,0
-370.696,2.1253e-29,1.96733e-29,-14.9029,9.686e-31,4.03129e-30,2.33378e-30,160.025,0
-370.501,6.03661e-29,3.12467e-29,-14.8951,1.16474e-30,8.48729e-30,2.81781e-30,159.856,0
-370.305,5.34886e-29,1.652e-29,-14.8872,1.41096e-30,1.54322e-29,8.23235e-30,159.687,0
-370.11,3.26187e-29,7.23109e-30,-14.8794,1.83954e-30,5.04897e-31,1.7701e-30,159.519,0
-369.915,4.56023e-29,2.22969e-29,-14.8715,2.46607e-30,1.35925e-29,7.09056e-31,159.351,0
-369.719,5.65892e-29,3.27149e-29,-14.8637,3.1911e-30,3.49054e-30,5.57945e-31,159.182,0
-369.524,3.9711e-29,5.25855e-30,-14.8558,4.12985e-30,4.55764e-31,4.65352e-30,159.014,0
-369.328,2.83016e-29,9.36305e-30,-14.848,4.98714e-30,3.07303e-29,2.32621e-30,158.846,0
-369.133,3.26224e-29,3.57516e-29,-14.8401,6.32672e-30,1.25411e-29,7.9409e-30,158.678,0
-368.938,3.97345e-29,2.2875e-29,-14.8322,7.57429e-30,1.8293e-29,4.05964e-30,158.51,0
-368.742,3.33388e-29,2.50041e-30,-14.8244,9.18717e-30,1.53307e-30,3.1048e-30,158.342,0
-368.547,2.22845e-29,1.73775e-29,-14.8165,1.0796e-29,2.24569e-29,3.80037e-30,158.175,0
-368.352,3.43803e-29,4.3256e-29,-14.8087,1.25616e-29,1.07002e-30,1.41739e-29,158.007,0
-368.156,4.81545e-29,2.02495e-29,-14.8008,1.47496e-29,2.23108e-29,7.24198e-31,157.839,0
-367.961,2.92582e-29,1.88735e-30,-14.793,1.67458e-29,3.2193e-30,1.23601e-29,157.672,0
-367.766,2.22157e-29,3.62421e-29,-14.7851,1.90832e-29,1.1405e-29,7.54961e-30,157.505,0
-367.57,4.56531e-29,4.97945e-29,-14.7773,2.14585e-29,1.9526e-29,4.62093e-30,157.337,0
