t,T+R,N_0,N_1
714,0.997482,0.766635,0.220889
715,0.997482,0.766635,0.220889
716,0.997482,0.766635,0.220889
717,0.997482,0.766635,0.220889
718,0.997482,0.766635,0.220889
719,0.997482,0.766635,0.220889
720,0.997482,0.766635,0.220889
721,0.997482,0.766635,0.220889
722,0.997482,0.766635,0.220889
723,0.997482,0.766635,0.220889
724,0.997482,0.766635,0.220889
725,0.997482,0.766635,0.220889
726,0.997482,0.766635,0.220889
727,0.997482,0.766635,0.220889
728,0.997482,0.766635,0.220889
729,0.997482,0.766635,0.220889
730,0.997482,0.766635,0.220889
731,0.997482,0.766635,0.220889
732,0.997482,0.766635,0.220889
733,0.997482,0.766635,0.220889
734,0.997482,0.766635,0.220889
735,0.997482,0.766635,0.220889
736,0.997482,0.766635,0.220889
737,0.997482,0.766635,0.220889
738,0.997482,0.766635,0.220889
739,0.997482,0.766635,0.220889
740,0.997482,0.766635,0.220889
741,0.997482,0.766635,0.220889
742,0.997482,0.766635,0.220889
743,0.997482,0.766635,0.220889
744,0.997482,0.766635,0.220889
745,0.997482,0.766635,0.220889
746,0.997482,0.766635,0.220889
747,0.997482,0.766635,0.220889
748,0.997483,0.766635,0.220889
749,0.997483,0.766635,0.220889
750,0.997483,0.766635,0.220889
