t,T+R,N_0,N_1
515,0.995587,0.213426,0.257553
516,0.995587,0.21342,0.257552
517,0.995587,0.213414,0.257551
518,0.995586,0.213409,0.25755
519,0.995586,0.213404,0.257549
520,0.995586,0.213399,0.257548
521,0.995586,0.213394,0.257547
522,0.995585,0.213389,0.257546
523,0.995585,0.213385,0.257544
524,0.995584,0.213381,0.257543
525,0.995584,0.213376,0.257542
526,0.995583,0.213372,0.257541
527,0.995583,0.213368,0.25754
528,0.995582,0.213365,0.257539
529,0.995582,0.213361,0.257537
530,0.995581,0.213357,0.257536
531,0.995581,0.213354,0.257535
532,0.99558,0.213351,0.257534
533,0.995579,0.213347,0.257533
534,0.995579,0.213344,0.257532
535,0.995578,0.213341,0.257531
536,0.995578,0.213338,0.25753
537,0.995577,0.213336,0.257528
538,0.995576,0.213333,0.257527
539,0.995576,0.21333,0.257526
540,0.995575,0.213328,0.257525
541,0.995574,0.213326,0.257524
542,0.995574,0.213323,0.257523
543,0.995573,0.213321,0.257522
544,0.995572,0.213319,0.257521
545,0.995572,0.213317,0.25752
546,0.995571,0.213315,0.257519
547,0.99557,0.213313,0.257519
548,0.99557,0.213311,0.257518
549,0.995569,0.213309,0.257517
550,0.995569,0.213307,0.257516
551,0.995568,0.213306,0.257515
552,0.995567,0.213304,0.257514
553,0.995567,0.213303,0.257513
554,0.995566,0.213301,0.257513
555,0.995566,0.2133,0.257512
556,0.995565,0.213298,0.257511
557,0.995565,0.213297,0.25751
558,0.995564,0.213296,0.25751
559,0.995563,0.213294,0.257509
560,0.995563,0.213293,0.257508
561,0.995562,0.213292,0.257507
562,0.995562,0.213291,0.257507
563,0.995561,0.21329,0.257506
564,0.995561,0.213289,0.257505
565,0.99556,0.213288,0.257505
566,0.99556,0.213287,0.257504
567,0.995559,0.213286,0.257504
568,0.995559,0.213285,0.257503
569,0.995559,0.213284,0.257502
570,0.995558,0.213283,0.257502
571,0.995558,0.213282,0.257501
572,0.995557,0.213282,0.257501
573,0.995557,0.213281,0.2575
574,0.995556,0.21328,0.2575
575,0.995556,0.213279,0.257499
576,0.995556,0.213279,0.257499
577,0.995555,0.213278,0.257498
578,0.995555,0.213278,0.257498
579,0.995554,0.213277,0.257498
580,0.995554,0.213276,0.257497
581,0.995554,0.213276,0.257497
582,0.995553,0.213275,0.257496
583,0.995553,0.213275,0.257496
584,0.995553,0.213274,0.257496
585,0.995552,0.213274,0.257495
586,0.995552,0.213273,0.257495
587,0.995552,0.213273,0.257495
588,0.995552,0.213273,0.257494
589,0.995551,0.213272,0.257494
590,0.995551,0.213272,0.257494
591,0.995551,0.213271,0.257493
592,0.99555,0.213271,0.257493
593,0.99555,0.213271,0.257493
594,0.99555,0.21327,0.257492
595,0.99555,0.21327,0.257492
596,0.995549,0.21327,0.257492
597,0.995549,0.213269,0.257492
598,0.995549,0.213269,0.257491
599,0.995549,0.213269,0.257491
600,0.995548,0.213269,0.257491
601,0.995548,0.213268,0.257491
602,0.995548,0.213268,0.257491
603,0.995548,0.213268,0.25749
604,0.995548,0.213268,0.25749
605,0.995547,0.213267,0.25749
606,0.995547,0.213267,0.25749
607,0.995547,0.213267,0.25749
608,0.995547,0.213267,0.257489
609,0.995547,0.213267,0.257489
610,0.995547,0.213266,0.257489
611,0.995546,0.213266,0.257489
612,0.995546,0.213266,0.257489
613,0.995546,0.213266,0.257489
614,0.995546,0.213266,0.257488
615,0.995546,0.213266,0.257488
616,0.995546,0.213266,0.257488
617,0.995545,0.213265,0.257488
618,0.995545,0.213265,0.257488
619,0.995545,0.213265,0.257488
620,0.995545,0.213265,0.257488
621,0.995545,0.213265,0.257488
622,0.995545,0.213265,0.257487
623,0.995545,0.213265,0.257487
624,0.995545,0.213265,0.257487
625,0.995545,0.213264,0.257487
626,0.995544,0.213264,0.257487
627,0.995544,0.213264,0.257487
628,0.995544,0.213264,0.257487
629,0.995544,0.213264,0.257487
630,0.995544,0.213264,0.257487
631,0.995544,0.213264,0.257487
632,0.995544,0.213264,0.257487
633,0.995544,0.213264,0.257487
634,0.995544,0.213264,0.257486
635,0.995544,0.213264,0.257486
636,0.995543,0.213264,0.257486
637,0.995543,0.213264,0.257486
638,0.995543,0.213263,0.257486
639,0.995543,0.213263,0.257486
640,0.995543,0.213263,0.257486
641,0.995543,0.213263,0.257486
642,0.995543,0.213263,0.257486
643,0.995543,0.213263,0.257486
644,0.995543,0.213263,0.257486
645,0.995543,0.213263,0.257486
646,0.995543,0.213263,0.257486
647,0.995543,0.213263,0.257486
648,0.995543,0.213263,0.257486
649,0.995543,0.213263,0.257486
650,0.995542,0.213263,0.257486
651,0.995542,0.213263,0.257486
652,0.995542,0.213263,0.257486
653,0.995542,0.213263,0.257486
654,0.995542,0.213263,0.257486
655,0.995542,0.213263,0.257485
656,0.995542,0.213263,0.257485
657,0.995542,0.213263,0.257485
658,0.995542,0.213263,0.257485
659,0.995542,0.213263,0.257485
660,0.995542,0.213263,0.257485
661,0.995542,0.213263,0.257485
662,0.995542,0.213263,0.257485
663,0.995542,0.213263,0.257485
664,0.995542,0.213263,0.257485
665,0.995542,0.213263,0.257485
666,0.995542,0.213263,0.257485
667,0.995542,0.213263,0.257485
668,0.995542,0.213263,0.257485
669,0.995542,0.213262,0.257485
670,0.995542,0.213262,0.257485
671,0.995542,0.213262,0.257485
672,0.995542,0.213262,0.257485
673,0.995542,0.213262,0.257485
674,0.995541,0.213262,0.257485
675,0.995541,0.213262,0.257485
676,0.995541,0.213262,0.257485
677,0.995541,0.213262,0.257485
678,0.995541,0.213262,0.257485
679,0.995541,0.213262,0.257485
680,0.995541,0.213262,0.257485
681,0.995541,0.213262,0.257485
682,0.995541,0.213262,0.257485
683,0.995541,0.213262,0.257485
684,0.995541,0.213262,0.257485
685,0.995541,0.213262,0.257485
686,0.995541,0.213262,0.257485
687,0.995541,0.213262,0.257485
688,0.995541,0.213262,0.257485
689,0.995541,0.213262,0.257485
690,0.995541,0.213262,0.257485
691,0.995541,0.213262,0.257485
692,0.995541,0.213262,0.257485
693,0.995541,0.213262,0.257485
694,0.995541,0.213262,0.257485
695,0.995541,0.213262,0.257485
696,0.995541,0.213262,0.257485
697,0.995541,0.213262,0.257485
698,0.995541,0.213262,0.257485
699,0.995541,0.213262,0.257485
700,0.995541,0.213262,0.257485
701,0.995541,0.213262,0.257485
702,0.995541,0.213262,0.257485
703,0.995541,0.213262,0.257485
704,0.995541,0.213262,0.257485
705,0.995541,0.213262,0.257485
706,0.995541,0.213262,0.257485
707,0.995541,0.213262,0.257485
708,0.995541,0.213262,0.257485
709,0.995541,0.213262,0.257485
710,0.995541,0.213262,0.257485
711,0.995541,0.213262,0.257485
712,0.995541,0.213262,0.257485
713,0.995541,0.213262,0.257485
714,0.995541,0.213262,0.257485
715,0.995541,0.213262,0.257485
716,0.995541,0.213262,0.257485
717,0.995541,0.213262,0.257485
718,0.995541,0.213262,0.257485
719,0.995541,0.213262,0.257485
720,0.995541,0.213262,0.257485
721,0.995541,0.213262,0.257485
722,0.995541,0.213262,0.257485
723,0.995541,0.213262,0.257485
724,0.995541,0.213262,0.257485
725,0.995541,0.213262,0.257485
726,0.995541,0.213262,0.257485
727,0.995541,0.213262,0.257485
728,0.995541,0.213262,0.257485
729,0.995541,0.213262,0.257485
730,0.995541,0.213262,0.257485
731,0.995541,0.213262,0.257485
732,0.995541,0.213262,0.257485
733,0.995541,0.213262,0.257485
734,0.995541,0.213262,0.257485
735,0.995541,0.213262,0.257485
736,0.995541,0.213262,0.257485
737,0.995541,0.213262,0.257485
738,0.995541,0.213262,0.257485
739,0.995541,0.213262,0.257485
740,0.995541,0.213262,0.257485
741,0.995541,0.213262,0.257485
742,0.995541,0.213262,0.257485
743,0.995541,0.213262,0.257485
744,0.995541,0.213262,0.257485
745,0.995541,0.213262,0.257485
746,0.995541,0.213262,0.257485
747,0.995541,0.213262,0.257485
748,0.995541,0.213262,0.257485
