t,T+R,N_0
539,1,9.14458e-14
540,1,8.54275e-14
541,1,7.98084e-14
542,1,7.46103e-14
543,1,6.98351e-14
544,1,6.54602e-14
545,1,6.14406e-14
546,1,5.77167e-14
547,1,5.42251e-14
548,1,5.09102e-14
549,1,4.77336e-14
550,1,4.46785e-14
551,1,4.17491e-14
552,1,3.89652e-14
553,1,3.63532e-14
554,1,3.39367e-14
555,1,3.17281e-14
556,1,2.97242e-14
557,1,2.79055e-14
558,1,2.624e-14
559,1,2.469e-14
560,1,2.32195e-14
561,1,2.18014e-14
562,1,2.04218e-14
563,1,1.90808e-14
564,1,1.77904e-14
565,1,1.65694e-14
566,1,1.54368e-14
567,1,1.44064e-14
568,1,1.34822e-14
569,1,1.26573e-14
570,1,1.19152e-14
571,1,1.12338e-14
572,1,1.05901e-14
573,1,9.96502e-15
574,1,9.34749e-15
575,1,8.73552e-15
576,1,8.1356e-15
577,1,7.55998e-15
578,1,7.02268e-15
579,1,6.53538e-15
580,1,6.10419e-15
581,1,5.72803e-15
582,1,5.39892e-15
583,1,5.10396e-15
584,1,4.82846e-15
585,1,4.55927e-15
586,1,4.28759e-15
587,1,4.01051e-15
588,1,3.73107e-15
589,1,3.45683e-15
590,1,3.1975e-15
591,1,2.96216e-15
592,1,2.75681e-15
593,1,2.58291e-15
594,1,2.4371e-15
595,1,2.31207e-15
596,1,2.19854e-15
597,1,2.08741e-15
598,1,1.97188e-15
599,1,1.84881e-15
600,1,1.71912e-15
601,1,1.5872e-15
602,1,1.45945e-15
603,1,1.34252e-15
604,1,1.24154e-15
605,1,1.15886e-15
606,1,1.09355e-15
607,1,1.04176e-15
608,1,9.97735e-16
609,1,9.5529e-16
610,1,9.09298e-16
611,1,8.56801e-16
612,1,7.97544e-16
613,1,7.33801e-16
614,1,6.69603e-16
615,1,6.09591e-16
616,1,5.57794e-16
617,1,5.16642e-16
618,1,4.86421e-16
619,1,4.65305e-16
620,1,4.49887e-16
621,1,4.36084e-16
622,1,4.20149e-16
623,1,3.99539e-16
624,1,3.73438e-16
625,1,3.42819e-16
626,1,3.10066e-16
627,1,2.78275e-16
628,1,2.5043e-16
629,1,2.2866e-16
630,1,2.13756e-16
631,1,2.05044e-16
632,1,2.00624e-16
633,1,1.97894e-16
634,1,1.94216e-16
635,1,1.87553e-16
636,1,1.76919e-16
637,1,1.62544e-16
