t,T+R,N_0
801,1,0.992723
802,1,0.992723
803,1,0.992723
804,1,0.992723
805,1,0.992723
806,1,0.992723
807,1,0.992723
808,1,0.992723
809,1,0.992723
810,1,0.992723
811,1,0.992723
812,1,0.992723
813,1,0.992723
814,1,0.992723
815,1,0.992723
816,1,0.992723
817,1,0.992723
818,1,0.992723
819,1,0.992723
820,1,0.992723
821,1,0.992723
822,1,0.992723
823,1,0.992723
824,1,0.992723
825,1,0.992723
826,1,0.992723
827,1,0.992723
828,1,0.992723
829,1,0.992723
830,1,0.992723
831,1,0.992723
832,1,0.992723
833,1,0.992723
834,1,0.992723
835,1,0.992723
836,1,0.992723
837,1,0.992723
838,1,0.992723
839,1,0.992723
840,1,0.992723
841,1,0.992723
842,1,0.992723
843,1,0.992723
844,1,0.992723
845,1,0.992723
846,1,0.992723
847,1,0.992723
848,1,0.992723
849,1,0.992723
850,1,0.992723
851,1,0.992723
852,1,0.992723
853,1,0.992723
854,1,0.992723
855,1,0.992723
856,1,0.992723
857,1,0.992723
858,1,0.992723
859,1,0.992723
860,1,0.992723
861,1,0.992723
862,1,0.992723
863,1,0.992723
864,1,0.992723
865,1,0.992723
866,1,0.992723
867,1,0.992723
868,1,0.992723
869,1,0.992723
870,1,0.992723
871,1,0.992723
872,1,0.992723
873,1,0.992723
874,1,0.992723
875,1,0.992723
876,1,0.992723
877,1,0.992723
878,1,0.992723
879,1,0.992723
880,1,0.992723
881,1,0.992723
882,1,0.992723
883,1,0.992723
884,1,0.992723
885,1,0.992723
886,1,0.992723
887,1,0.992723
888,1,0.992723
889,1,0.992723
890,1,0.992723
891,1,0.992723
892,1,0.992723
893,1,0.992723
894,1,0.992723
895,1,0.992723
896,1,0.992723
897,1,0.992723
898,1,0.992723
899,1,0.992723
900,1,0.992723
901,1,0.992723
902,1,0.992723
903,1,0.992723
904,1,0.992723
905,1,0.992723
906,1,0.992723
907,1,0.992723
908,1,0.992723
909,1,0.992723
910,1,0.992723
911,1,0.992723
912,1,0.992723
913,1,0.992723
914,1,0.992723
915,1,0.992723
916,1,0.992723
917,1,0.992723
918,1,0.992723
919,1,0.992723
920,1,0.992723
921,1,0.992723
922,1,0.992723
923,1,0.992723
924,1,0.992723
925,1,0.992723
926,1,0.992723
927,1,0.992723
928,1,0.992723
929,1,0.992723
930,1,0.992723
