t,Norm_0,AvgX_0
1261,1,59.6786
1262,1,59.7273
1263,1,59.7761
1264,1,59.8249
1265,1,59.8736
1266,1,59.9224
1267,1,59.9712
1268,1,60.0199
1269,1,60.0687
1270,1,60.1175
1271,1,60.1662
1272,1,60.215
1273,1,60.2638
1274,1,60.3125
1275,1,60.3613
1276,1,60.4101
1277,1,60.4588
1278,1,60.5076
1279,1,60.5564
1280,1,60.6051
1281,1,60.6539
1282,1,60.7027
1283,1,60.7514
1284,1,60.8002
1285,1,60.849
1286,1,60.8977
1287,1,60.9465
1288,1,60.9953
1289,1,61.044
1290,1,61.0928
1291,1,61.1416
1292,1,61.1903
1293,1,61.2391
1294,1,61.2879
1295,1,61.3366
1296,1,61.3854
1297,1,61.4342
1298,1,61.4829
1299,1,61.5317
1300,1,61.5805
1301,1,61.6292
1302,1,61.678
1303,1,61.7268
1304,1,61.7755
1305,1,61.8243
1306,1,61.8731
1307,1,61.9218
1308,1,61.9706
1309,1,62.0194
1310,1,62.0681
1311,1,62.1169
1312,1,62.1657
1313,1,62.2144
1314,1,62.2632
1315,1,62.312
1316,1,62.3607
1317,1,62.4095
1318,1,62.4583
1319,1,62.507
1320,1,62.5558
1321,1,62.6046
1322,1,62.6533
1323,1,62.7021
1324,1,62.7509
1325,1,62.7996
1326,1,62.8484
1327,1,62.8972
1328,1,62.9459
1329,1,62.9947
1330,1,63.0435
1331,1,63.0922
1332,1,63.141
1333,1,63.1898
1334,1,63.2385
1335,1,63.2873
1336,1,63.3361
1337,1,63.3848
1338,1,63.4336
1339,1,63.4824
1340,1,63.5311
1341,1,63.5799
1342,1,63.6287
1343,1,63.6774
1344,1,63.7262
1345,1,63.775
1346,1,63.8237
1347,1,63.8725
1348,1,63.9213
1349,1,63.97
1350,1,64.0188
1351,1,64.0676
1352,1,64.1163
1353,1,64.1651
1354,1,64.2139
1355,1,64.2626
1356,1,64.3114
1357,1,64.3602
1358,1,64.4089
1359,1,64.4577
1360,1,64.5065
1361,1,64.5552
1362,1,64.604
1363,1,64.6528
1364,1,64.7015
1365,1,64.7503
1366,1,64.7991
1367,1,64.8478
1368,1,64.8966
1369,1,64.9454
1370,1,64.9941
1371,1,65.0429
1372,1,65.0917
1373,1,65.1404
1374,1,65.1892
1375,1,65.238
1376,1,65.2867
1377,1,65.3355
1378,1,65.3843
1379,1,65.433
1380,1,65.4818
1381,1,65.5306
1382,1,65.5794
1383,1,65.6281
1384,1,65.6769
1385,1,65.7257
1386,1,65.7744
1387,1,65.8232
1388,1,65.872
1389,1,65.9207
1390,1,65.9695
1391,1,66.0183
1392,1,66.067
1393,1,66.1158
1394,1,66.1646
1395,1,66.2133
1396,1,66.2621
1397,1,66.3109
1398,1,66.3596
1399,1,66.4084
1400,1,66.4572
1401,1,66.5059
1402,1,66.5547
1403,1,66.6035
1404,1,66.6522
1405,1,66.701
1406,1,66.7498
1407,1,66.7985
1408,1,66.8473
1409,1,66.8961
1410,1,66.9448
1411,1,66.9936
1412,1,67.0424
1413,1,67.0911
1414,1,67.1399
1415,1,67.1887
1416,1,67.2374
1417,1,67.2862
1418,1,67.335
1419,1,67.3837
1420,1,67.4325
1421,1,67.4813
1422,1,67.53
1423,1,67.5788
1424,1,67.6276
1425,1,67.6763
1426,1,67.7251
1427,1,67.7739
1428,1,67.8226
1429,1,67.8714
1430,1,67.9202
1431,1,67.9689
1432,1,68.0177
1433,1,68.0665
1434,1,68.1152
1435,1,68.164
1436,1,68.2128
1437,1,68.2615
1438,1,68.3103
1439,1,68.3591
1440,1,68.4078
1441,1,68.4566
1442,1,68.5054
1443,1,68.5541
1444,1,68.6029
1445,1,68.6517
1446,1,68.7004
1447,1,68.7492
1448,1,68.798
1449,1,68.8467
1450,1,68.8955
1451,1,68.9443
1452,1,68.993
1453,1,69.0418
1454,1,69.0906
1455,1,69.1393
1456,1,69.1881
1457,1,69.2369
1458,1,69.2856
1459,1,69.3344
1460,1,69.3832
1461,1,69.4319
1462,1,69.4807
1463,1,69.5295
1464,1,69.5782
1465,1,69.627
1466,1,69.6758
1467,1,69.7245
1468,1,69.7733
1469,1,69.8221
1470,1,69.8708
1471,1,69.9196
1472,1,69.9684
1473,1,70.0171
1474,1,70.0659
1475,1,70.1147
1476,1,70.1634
1477,1,70.2122
1478,1,70.261
1479,1,70.3097
1480,1,70.3585
1481,1,70.4073
1482,1,70.456
1483,1,70.5048
1484,1,70.5536
