t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
167,0.999588,-22.6589,0.000403038,7.87462e-05,8.51676e-06,2.43462e-05,2.98504e-07,1.26685e-06
168,0.999519,-22.2083,0.000469957,0.000145318,1.03186e-05,3.03956e-05,3.72365e-07,1.60744e-06
169,0.999441,-21.7592,0.000545873,0.000230529,1.24455e-05,3.77373e-05,4.62266e-07,2.02889e-06
170,0.999353,-21.3115,0.000631672,0.000337758,1.49449e-05,4.66011e-05,5.71185e-07,2.54781e-06
171,0.999253,-20.8655,0.000728282,0.000470779,1.78699e-05,5.72483e-05,7.02549e-07,3.18361e-06
172,0.999141,-20.4211,0.000836677,0.000633784,2.12785e-05,6.99752e-05,8.60292e-07,3.9589e-06
173,0.999016,-19.9785,0.000957869,0.000831401,2.5235e-05,8.5116e-05,1.04891e-06,4.89995e-06
174,0.998876,-19.5379,0.00109291,0.00106871,2.98093e-05,0.000103046,1.2735e-06,6.03707e-06
175,0.998721,-19.0993,0.00124288,0.00135125,3.50778e-05,0.000124184,1.53986e-06,7.40514e-06
176,0.998548,-18.6628,0.0014089,0.00168504,4.11234e-05,0.000148997,1.85453e-06,9.04407e-06
177,0.998358,-18.2285,0.0015921,0.00207659,4.80357e-05,0.000178002,2.22486e-06,1.09994e-05
178,0.998148,-17.7966,0.00179364,0.00253291,5.59111e-05,0.000211769,2.65907e-06,1.3323e-05
179,0.997917,-17.3671,0.00201471,0.00306147,6.48534e-05,0.000250925,3.16637e-06,1.60733e-05
180,0.997665,-16.9402,0.00225649,0.00367026,7.49733e-05,0.000296158,3.757e-06,1.93164e-05
181,0.997389,-16.516,0.00252017,0.00436775,8.63889e-05,0.000348215,4.44231e-06,2.31267e-05
182,0.997089,-16.0945,0.00280695,0.00516289,9.92255e-05,0.000407911,5.23487e-06,2.75871e-05
183,0.996762,-15.6759,0.00311801,0.00606509,0.000113616,0.000476125,6.14855e-06,3.27906e-05
184,0.996409,-15.2603,0.00345453,0.00708422,0.0001297,0.00055381,7.19856e-06,3.88403e-05
185,0.996026,-14.8477,0.00381766,0.00823058,0.000147625,0.000641986,8.40163e-06,4.58507e-05
186,0.995614,-14.4382,0.00420855,0.00951488,0.000167545,0.000741749,9.77604e-06,5.39484e-05
187,0.995171,-14.032,0.00462829,0.0109482,0.000189623,0.000854268,1.13417e-05,6.32729e-05
188,0.994695,-13.6291,0.00507796,0.0125421,0.000214025,0.000980789,1.31203e-05,7.39774e-05
189,0.994185,-13.2295,0.00555859,0.0143082,0.000240927,0.00112263,1.51355e-05,8.623e-05
190,0.993641,-12.8334,0.00607118,0.0162586,0.00027051,0.0012812,1.74127e-05,0.000100214
191,0.99306,-12.4408,0.00661665,0.0184058,0.00030296,0.00145796,1.99794e-05,0.00011613
192,0.992443,-12.0517,0.00719589,0.0207621,0.000338472,0.00165447,2.28656e-05,0.000134196
193,0.991787,-11.6663,0.00780974,0.0233404,0.000377242,0.00187236,2.61031e-05,0.000154647
194,0.991092,-11.2845,0.00845895,0.0261535,0.000419475,0.00211332,2.97263e-05,0.000177739
195,0.990357,-10.9064,0.00914423,0.0292144,0.000465378,0.00237913,3.37723e-05,0.000203748
196,0.98958,-10.532,0.00986619,0.032536,0.000515163,0.00267164,3.82805e-05,0.000232969
197,0.988762,-10.1614,0.0106254,0.0361313,0.000569046,0.00299276,4.32931e-05,0.000265723
198,0.987902,-9.79464,0.0114224,0.0400132,0.000627246,0.00334446,4.88552e-05,0.00030235
199,0.986998,-9.43163,0.0122575,0.0441947,0.000689985,0.00372879,5.5015e-05,0.000343217
200,0.98605,-9.07244,0.0131311,0.0486884,0.000757487,0.00414784,6.18236e-05,0.000388714
201,0.985057,-8.71707,0.0140434,0.0535068,0.000829978,0.00460376,6.93353e-05,0.000439256
202,0.98402,-8.36551,0.0149947,0.0586622,0.000907685,0.00509876,7.7608e-05,0.000495286
203,0.982937,-8.01777,0.015985,0.0641665,0.000990837,0.00563508,8.6703e-05,0.000557272
204,0.981809,-7.67384,0.0170143,0.0700315,0.00107966,0.006215,9.6685e-05,0.000625711
205,0.980635,-7.3337,0.0180826,0.0762684,0.00117439,0.00684085,0.000107623,0.000701128
206,0.979415,-6.99733,0.0191898,0.0828881,0.00127525,0.00751495,0.000119589,0.000784076
207,0.978149,-6.66472,0.0203356,0.089901,0.00138246,0.00823968,0.000132661,0.000875138
208,0.976837,-6.33583,0.0215198,0.097317,0.00149625,0.00901741,0.000146919,0.000974926
209,0.975479,-6.01064,0.022742,0.105145,0.00161685,0.00985051,0.000162449,0.00108408
210,0.974074,-5.68911,0.0240018,0.113395,0.00174447,0.0107414,0.000179341,0.00120328
211,0.972624,-5.3712,0.0252987,0.122074,0.00187933,0.0116923,0.000197691,0.00133322
212,0.971129,-5.05689,0.0266322,0.131189,0.00202165,0.0127057,0.000217597,0.00147463
213,0.969588,-4.74612,0.0280015,0.140749,0.00217163,0.0137839,0.000239165,0.00162827
214,0.968002,-4.43885,0.0294061,0.150757,0.00232948,0.0149292,0.000262507,0.00179494
215,0.966372,-4.13504,0.0308453,0.161221,0.0024954,0.0161437,0.000287737,0.00197545
216,0.964697,-3.83465,0.0323181,0.172144,0.00266959,0.0174296,0.000314979,0.00217064
217,0.96298,-3.53762,0.0338238,0.18353,0.00285222,0.018789,0.00034436,0.00238139
218,0.961219,-3.24391,0.0353614,0.195381,0.00304349,0.020224,0.000376015,0.00260859
219,0.959416,-2.95347,0.0369301,0.207701,0.00324357,0.0217363,0.000410085,0.00285316
220,0.957572,-2.66626,0.0385289,0.220489,0.00345261,0.023328,0.000446717,0.00311603
221,0.955686,-2.38221,0.0401566,0.233745,0.0036708,0.0250005,0.000486066,0.00339816
222,0.953761,-2.10129,0.0418124,0.247469,0.00389826,0.0267556,0.000528293,0.00370053
223,0.951796,-1.82345,0.043495,0.261659,0.00413514,0.0285945,0.000573567,0.0040241
224,0.949793,-1.54864,0.0452033,0.276311,0.00438158,0.0305185,0.000622063,0.00436987
225,0.947752,-1.27682,0.0469362,0.291422,0.00463768,0.0325288,0.000673966,0.00473882
226,0.945675,-1.00794,0.0486924,0.306987,0.00490356,0.0346261,0.000729465,0.00513195
227,0.943561,-0.741963,0.0504708,0.322999,0.0051793,0.0368112,0.000788761,0.00555022
228,0.941413,-0.478848,0.0522701,0.339451,0.00546498,0.0390845,0.000852057,0.00599461
229,0.939231,-0.218558,0.054089,0.356335,0.00576068,0.0414463,0.000919569,0.00646605
230,0.937016,0.0389428,0.0559263,0.373641,0.00606643,0.0438966,0.000991516,0.00696545
231,0.934769,0.293687,0.0577805,0.391358,0.00638227,0.046435,0.00106813,0.00749369
232,0.932492,0.545704,0.0596504,0.409476,0.00670821,0.049061,0.00114963,0.0080516
233,0.930185,0.795022,0.0615346,0.427979,0.00704424,0.0517738,0.00123627,0.00863993
234,0.92785,1.04166,0.0634318,0.446855,0.00739033,0.0545722,0.0013283,0.00925939
235,0.925487,1.28565,0.0653404,0.466087,0.00774644,0.0574548,0.00142596,0.00991061
236,0.923099,1.527,0.0672591,0.485659,0.00811248,0.0604197,0.0015295,0.0105941
237,0.920686,1.76573,0.0691864,0.505554,0.00848836,0.0634649,0.00163918,0.0113103
238,0.91825,2.00184,0.0711209,0.525751,0.00887395,0.066588,0.00175527,0.0120596
239,0.915792,2.23535,0.073061,0.546231,0.00926908,0.0697859,0.00187801,0.012842
240,0.913314,2.46625,0.0750052,0.566972,0.00967359,0.0730557,0.00200766,0.0136577
241,0.910816,2.69455,0.076952,0.587951,0.0100872,0.0763937,0.00214448,0.0145066
242,0.908302,2.92025,0.0788997,0.609145,0.0105098,0.0797961,0.00228871,0.0153884
243,0.905772,3.14333,0.0808468,0.630529,0.0109409,0.0832585,0.00244058,0.0163026
