E,T,R0,R1,R2,R,N_R0,N_R1,N_R2,E/V0
0.116324,0.0170024,0.588269,0,0,0.588269,0.97191,0,0,0.00116324
0.117305,0.0165973,0.597347,0,0,0.597347,0.972966,0,0,0.00117305
0.118291,0.0162022,0.60704,0,0,0.60704,0.974003,0,0,0.00118291
0.119281,0.015817,0.617327,0,0,0.617327,0.975018,0,0,0.00119281
0.120275,0.0154413,0.628187,0,0,0.628187,0.976009,0,0,0.00120275
0.121273,0.0150749,0.639595,0,0,0.639595,0.976973,0,0,0.00121273
0.122275,0.0147176,0.651528,0,0,0.651528,0.97791,0,0,0.00122275
0.123282,0.0143691,0.663957,0,0,0.663957,0.978817,0,0,0.00123282
0.124292,0.0140292,0.676856,0,0,0.676856,0.979694,0,0,0.00124292
0.125307,0.0136977,0.690193,0,0,0.690193,0.98054,0,0,0.00125307
0.126326,0.0133744,0.70394,0,0,0.70394,0.981355,0,0,0.00126326
0.127349,0.0130591,0.718064,0,0,0.718064,0.982138,0,0,0.00127349
0.128376,0.0127516,0.732533,0,0,0.732533,0.98289,0,0,0.00128376
0.129407,0.0124516,0.747312,0,0,0.747312,0.983611,0,0,0.00129407
0.130442,0.012159,0.762367,0,0,0.762367,0.984301,0,0,0.00130442
0.131481,0.0118736,0.777663,0,0,0.777663,0.984961,0,0,0.00131481
0.132525,0.0115952,0.793164,0,0,0.793164,0.985592,0,0,0.00132525
