t,T+R,N_0,N_1,N_2,N_3
174,1.50836,2.70453e-26,5.48584e-28,3.10895e-28,1.21731e-27
175,1.5119,2.57992e-26,7.16885e-28,7.44289e-28,1.72594e-27
176,1.51434,2.47536e-26,5.48669e-28,7.87988e-28,2.78677e-27
177,1.51578,2.40654e-26,1.36492e-28,1.14722e-27,2.77239e-27
178,1.51636,2.06745e-26,1.38262e-27,1.41843e-27,3.5263e-27
179,1.5162,1.87074e-26,1.32302e-27,1.18703e-27,3.97276e-27
180,1.51544,1.91221e-26,1.36372e-27,1.16999e-27,4.30702e-27
181,1.51422,1.86368e-26,2.36238e-27,1.20724e-27,4.45934e-27
182,1.51265,1.3994e-26,2.25434e-27,1.19316e-27,4.81881e-27
183,1.51083,1.33296e-26,2.44902e-27,9.46366e-28,5.47957e-27
184,1.5088,9.5411e-27,3.69432e-27,7.07424e-28,5.28434e-27
185,1.50663,8.04801e-27,5.12714e-27,3.57656e-28,4.83932e-27
186,1.5043,3.14622e-27,5.08761e-27,4.40766e-28,4.73865e-27
187,1.50181,7.02644e-28,4.89519e-27,1.98739e-28,4.33982e-27
188,1.49911,-8.13875e-28,6.04792e-27,9.00555e-29,4.58802e-27
189,1.49615,2.78527e-27,6.50674e-27,6.96516e-29,3.84983e-27
190,1.49286,6.07473e-27,9.64605e-27,4.34108e-28,2.59321e-27
191,1.48916,1.38384e-28,1.65808e-26,1.14309e-28,2.04563e-27
192,1.48498,2.79299e-27,1.92404e-26,1.6546e-28,2.17643e-27
193,1.48023,5.77108e-29,1.75752e-26,2.64534e-28,1.4726e-27
194,1.47485,4.79809e-27,2.30426e-26,1.46347e-28,1.10032e-27
195,1.46879,9.13268e-27,2.43957e-26,1.70245e-28,1.37118e-27
196,1.462,8.34348e-27,3.26688e-26,2.75637e-28,9.24596e-28
197,1.45446,6.02798e-27,4.08406e-26,-6.09306e-30,3.67164e-28
198,1.44616,2.15139e-27,3.82162e-26,-5.26766e-30,4.33511e-28
199,1.43713,4.49469e-27,2.89819e-26,-2.28876e-29,8.32321e-28
200,1.42742,6.72848e-27,3.48616e-26,-1.30584e-29,1.41411e-27
201,1.4171,3.85396e-27,5.28196e-26,1.64292e-29,1.74366e-27
202,1.40629,1.71406e-27,4.03566e-26,9.11757e-29,1.58288e-27
203,1.39516,8.34143e-28,3.60385e-26,1.79543e-28,2.78064e-27
204,1.3839,3.05717e-27,3.19565e-26,4.56814e-28,3.72995e-27
205,1.37275,2.1391e-27,4.22019e-26,4.97342e-28,5.9965e-27
206,1.36198,1.4168e-27,4.44487e-26,6.68369e-28,6.46488e-27
207,1.35191,7.3507e-28,4.11401e-26,7.17815e-28,6.76534e-27
208,1.34288,1.91859e-27,4.34912e-26,1.15773e-27,9.43394e-27
209,1.33523,1.49114e-27,3.86692e-26,1.288e-27,1.29955e-26
210,1.32933,2.33765e-27,3.70306e-26,1.02015e-27,1.56928e-26
211,1.32553,1.73659e-27,4.42373e-26,1.08942e-27,1.8435e-26
212,1.32413,1.40438e-27,4.03421e-26,1.06442e-27,1.68981e-26
213,1.32542,1.85094e-27,3.86144e-26,1.11704e-27,2.1079e-26
214,1.32963,1.20983e-27,3.5515e-26,7.53585e-28,2.24678e-26
215,1.33692,2.48037e-27,3.90292e-26,4.13949e-28,2.14348e-26
216,1.34736,1.72643e-27,3.62572e-26,1.00598e-27,1.7782e-26
217,1.36097,1.75863e-27,3.38379e-26,8.12301e-28,1.69219e-26
218,1.37768,2.83105e-27,2.53017e-26,6.54172e-28,1.95607e-26
219,1.39735,3.87987e-27,2.56585e-26,1.91567e-28,1.76723e-26
220,1.41977,4.14242e-27,2.38682e-26,3.36512e-28,1.50453e-26
221,1.4447,3.59449e-27,2.53366e-26,3.63534e-28,1.28576e-26
