E,T,R0,R1,R2,R3,R4,R5,R6,R7,R,N_R0,N_R1,N_R2,N_R3,N_R4,N_R5,N_R6,N_R7,E/V0
0.086666,3.77631,0.00425335,0,0,0,0,0,0,0,0.00425335,0.00112506,0,0,0,0,0,0,0,0.00086666
0.0953275,4.07615,0.00326961,0,0,0,0,0,0,0,0.00326961,0.000801489,0,0,0,0,0,0,0,0.000953275
0.104401,4.3982,0.00251249,0,0,0,0,0,0,0,0.00251249,0.000570927,0,0,0,0,0,0,0,0.00104401
0.113888,4.74399,0.00192999,0,0,0,0,0,0,0,0.00192999,0.000406663,0,0,0,0,0,0,0,0.00113888
0.123786,5.11511,0.00148201,0,0,0,0,0,0,0,0.00148201,0.000289648,0,0,0,0,0,0,0,0.00123786
0.134098,5.51328,0.0011376,0,0,0,0,0,0,0,0.0011376,0.000206296,0,0,0,0,0,0,0,0.00134098
0.144821,5.94029,0.000872913,0,0,0,0,0,0,0,0.000872913,0.000146926,0,0,0,0,0,0,0,0.00144821
0.155958,6.39805,0.000669566,0,0,0,0,0,0,0,0.000669566,0.000104641,0,0,0,0,0,0,0,0.00155958
0.167506,6.88861,0.000513403,0,0,0,0,0,0,0,0.000513403,7.45237e-05,0,0,0,0,0,0,0,0.00167506
0.179467,7.41409,0.000393521,0,0,0,0,0,0,0,0.000393521,5.30747e-05,0,0,0,0,0,0,0,0.00179467
0.191841,7.97678,0.000301525,0,0,0,0,0,0,0,0.000301525,3.77989e-05,0,0,0,0,0,0,0,0.00191841
0.204627,8.57907,0.000230951,0,0,0,0,0,0,0,0.000230951,2.69196e-05,0,0,0,0,0,0,0,0.00204627
0.217825,9.2235,0.000176831,0,0,0,0,0,0,0,0.000176831,1.91714e-05,0,0,0,0,0,0,0,0.00217825
0.231436,9.91275,0.000135344,0,0,0,0,0,0,0,0.000135344,1.36533e-05,0,0,0,0,0,0,0,0.00231436
0.245459,10.6497,0.000103553,0,0,0,0,0,0,0,0.000103553,9.72349e-06,0,0,0,0,0,0,0,0.00245459
0.259895,11.4372,7.92012e-05,0,0,0,0,0,0,0,7.92012e-05,6.92482e-06,0,0,0,0,0,0,0,0.00259895
0.274743,12.2786,6.05542e-05,0,0,0,0,0,0,0,6.05542e-05,4.93167e-06,0,0,0,0,0,0,0,0.00274743
0.290004,13.1771,4.62805e-05,0,0,0,0,0,0,0,4.62805e-05,3.51219e-06,0,0,0,0,0,0,0,0.00290004
0.305677,14.1362,3.53584e-05,0,0,0,0,0,0,0,3.53584e-05,2.50127e-06,0,0,0,0,0,0,0,0.00305677
0.321762,15.1596,2.70042e-05,0,0,0,0,0,0,0,2.70042e-05,1.78132e-06,0,0,0,0,0,0,0,0.00321762
0.33826,16.2513,2.06164e-05,0,0,0,0,0,0,0,2.06164e-05,1.2686e-06,0,0,0,0,0,0,0,0.0033826
0.355171,17.4153,1.57341e-05,0,0,0,0,0,0,0,1.57341e-05,9.03463e-07,0,0,0,0,0,0,0,0.00355171
0.372494,18.6559,1.20036e-05,0,0,0,0,0,0,0,1.20036e-05,6.43422e-07,0,0,0,0,0,0,0,0.00372494
0.390229,19.9777,9.15428e-06,0,0,0,0,0,0,0,9.15428e-06,4.58225e-07,0,0,0,0,0,0,0,0.00390229
0.408377,21.3854,6.97878e-06,0,0,0,0,0,0,0,6.97878e-06,3.26334e-07,0,0,0,0,0,0,0,0.00408377
0.426937,22.884,5.31837e-06,0,0,0,0,0,0,0,5.31837e-06,2.32406e-07,0,0,0,0,0,0,0,0.00426937
0.44591,24.4787,4.05154e-06,0,0,0,0,0,0,0,4.05154e-06,1.65513e-07,0,0,0,0,0,0,0,0.0044591
0.465295,26.1752,3.08531e-06,0,0,0,0,0,0,0,3.08531e-06,1.17871e-07,0,0,0,0,0,0,0,0.00465295
0.485092,27.9791,2.34866e-06,0,0,0,0,0,0,0,2.34866e-06,8.39434e-08,0,0,0,0,0,0,0,0.00485092
0.505303,29.8965,1.78725e-06,0,0,0,0,0,0,0,1.78725e-06,5.97812e-08,0,0,0,0,0,0,0,0.00505303
0.525925,31.9337,1.3596e-06,0,0,0,0,0,0,0,1.3596e-06,4.25755e-08,0,0,0,0,0,0,0,0.00525925
0.54696,34.0975,1.03389e-06,0,0,0,0,0,0,0,1.03389e-06,3.03217e-08,0,0,0,0,0,0,0,0.0054696
0.568407,36.3947,7.85915e-07,0,0,0,0,0,0,0,7.85915e-07,2.15942e-08,0,0,0,0,0,0,0,0.00568407
0.590267,38.8326,5.97187e-07,0,0,0,0,0,0,0,5.97187e-07,1.53785e-08,0,0,0,0,0,0,0,0.00590267
0.612539,41.4189,4.53621e-07,0,0,0,0,0,0,0,4.53621e-07,1.0952e-08,0,0,0,0,0,0,0,0.00612539
0.635224,44.1615,3.4445e-07,0,0,0,0,0,0,0,3.4445e-07,7.79978e-09,0,0,0,0,0,0,0,0.00635224
0.658321,47.0686,2.61457e-07,0,0,0,0,0,0,0,2.61457e-07,5.55482e-09,0,0,0,0,0,0,0,0.00658321
0.681831,50.149,1.98377e-07,0,0,0,0,0,0,0,1.98377e-07,3.95576e-09,0,0,0,0,0,0,0,0.00681831
0.705753,53.4116,1.50468e-07,0,0,0,0,0,0,0,1.50468e-07,2.81714e-09,0,0,0,0,0,0,0,0.00705753
0.730088,56.866,1.14094e-07,0,0,0,0,0,0,0,1.14094e-07,2.00637e-09,0,0,0,0,0,0,0,0.00730088
0.754835,60.5218,8.64885e-08,0,0,0,0,0,0,0,8.64885e-08,1.42905e-09,0,0,0,0,0,0,0,0.00754835
0.779994,64.3895,6.55297e-08,0,0,0,0,0,0,0,6.55297e-08,1.01771e-09,0,0,0,0,0,0,0,0.00779994
0.805566,68.4795,4.96255e-08,0,0,0,0,0,0,0,4.96255e-08,7.24676e-10,0,0,0,0,0,0,0,0.00805566
0.83155,72.803,3.75686e-08,0,0,0,0,0,0,0,3.75686e-08,5.16031e-10,0,0,0,0,0,0,0,0.0083155
0.857947,77.3715,2.84367e-08,0,0,0,0,0,0,0,2.84367e-08,3.67535e-10,0,0,0,0,0,0,0,0.00857947
0.884756,82.197,2.15178e-08,0,0,0,0,0,0,0,2.15178e-08,2.61783e-10,0,0,0,0,0,0,0,0.00884756
0.911978,87.2919,1.62764e-08,0,0,0,0,0,0,0,1.62764e-08,1.8646e-10,0,0,0,0,0,0,0,0.00911978
0.939612,92.669,1.23039e-08,0,0,0,0,0,0,0,1.23039e-08,1.32772e-10,0,0,0,0,0,0,0,0.00939612
0.967659,98.3418,9.29759e-09,0,0,0,0,0,0,0,9.29759e-09,9.45436e-11,0,0,0,0,0,0,0,0.00967659
0.996118,104.324,7.02335e-09,0,0,0,0,0,0,0,7.02335e-09,6.73223e-11,0,0,0,0,0,0,0,0.00996118
1.02499,110.631,5.30475e-09,0,0,0,0,0,0,0,5.30475e-09,4.79501e-11,0,0,0,0,0,0,0,0.0102499
1.05427,117.276,4.00571e-09,0,0,0,0,0,0,0,4.00571e-09,3.41564e-11,0,0,0,0,0,0,0,0.0105427
1.08397,124.275,3.02345e-09,0,0,0,0,0,0,0,3.02345e-09,2.43287e-11,0,0,0,0,0,0,0,0.0108397
1.11408,131.644,2.28096e-09,0,0,0,0,0,0,0,2.28096e-09,1.73267e-11,0,0,0,0,0,0,0,0.0111408
1.1446,139.4,1.71982e-09,0,0,0,0,0,0,0,1.71982e-09,1.23373e-11,0,0,0,0,0,0,0,0.011446
1.17553,147.56,1.296e-09,0,0,0,0,0,0,0,1.296e-09,8.78285e-12,0,0,0,0,0,0,0,0.0117553
1.20688,156.141,9.76576e-10,0,0,0,0,0,0,0,9.76576e-10,6.25445e-12,0,0,0,0,0,0,0,0.0120688
1.23864,165.161,7.35905e-10,0,0,0,0,0,0,0,7.35905e-10,4.45568e-12,0,0,0,0,0,0,0,0.0123864
1.27081,174.639,5.54366e-10,0,0,0,0,0,0,0,5.54366e-10,3.17435e-12,0,0,0,0,0,0,0,0.0127081
1.30339,184.594,4.1723e-10,0,0,0,0,0,0,0,4.1723e-10,2.26025e-12,0,0,0,0,0,0,0,0.0130339
1.33639,195.047,3.13874e-10,0,0,0,0,0,0,0,3.13874e-10,1.60922e-12,0,0,0,0,0,0,0,0.0133639
1.3698,206.016,2.36125e-10,0,0,0,0,0,0,0,2.36125e-10,1.14615e-12,0,0,0,0,0,0,0,0.013698
1.40362,217.524,1.77599e-10,0,0,0,0,0,0,0,1.77599e-10,8.16455e-13,0,0,0,0,0,0,0,0.0140362
1.43785,229.592,1.33534e-10,0,0,0,0,0,0,0,1.33534e-10,5.81614e-13,0,0,0,0,0,0,0,0.0143785
1.4725,242.241,1.00312e-10,0,0,0,0,0,0,0,1.00312e-10,4.14098e-13,0,0,0,0,0,0,0,0.014725
1.50756,255.495,7.534e-11,0,0,0,0,0,0,0,7.534e-11,2.94878e-13,0,0,0,0,0,0,0,0.0150756
1.54303,269.377,5.65314e-11,0,0,0,0,0,0,0,5.65314e-11,2.09859e-13,0,0,0,0,0,0,0,0.0154303
1.57891,283.911,4.24221e-11,0,0,0,0,0,0,0,4.24221e-11,1.49421e-13,0,0,0,0,0,0,0,0.0157891
1.6152,299.12,3.18304e-11,0,0,0,0,0,0,0,3.18304e-11,1.06413e-13,0,0,0,0,0,0,0,0.016152
1.65191,315.031,2.39217e-11,0,0,0,0,0,0,0,2.39217e-11,7.59345e-14,0,0,0,0,0,0,0,0.0165191
1.68903,331.667,1.7955e-11,0,0,0,0,0,0,0,1.7955e-11,5.41356e-14,0,0,0,0,0,0,0,0.0168903
1.72657,349.056,1.34302e-11,0,0,0,0,0,0,0,1.34302e-11,3.84758e-14,0,0,0,0,0,0,0,0.0172657
1.76451,367.225,1.00287e-11,0,0,0,0,0,0,0,1.00287e-11,2.73095e-14,0,0,0,0,0,0,0,0.0176451
1.80287,386.199,7.50345e-12,0,0,0,0,0,0,0,7.50345e-12,1.9429e-14,0,0,0,0,0,0,0,0.0180287
1.84164,406.006,5.64136e-12,0,0,0,0,0,0,0,5.64136e-12,1.38948e-14,0,0,0,0,0,0,0,0.0184164
