t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
90,1.00631,1.17819e-27,1.5672e-28,1.22402e-29,1.02419e-28,1.03516e-30,5.56771e-30,4.96911e-32,1.63637e-30
91,1.00643,1.18969e-27,1.85194e-28,1.32103e-29,9.1354e-29,1.04342e-30,4.27781e-30,-6.40247e-33,1.24661e-30
92,1.00653,1.25395e-27,2.0115e-28,9.90396e-30,9.30007e-29,1.35978e-30,4.61408e-30,5.37437e-33,1.48987e-30
93,1.00662,1.27451e-27,2.13545e-28,8.21674e-30,1.06378e-28,1.09258e-30,5.18582e-30,-9.86456e-34,8.13024e-31
94,1.0067,1.23396e-27,2.1979e-28,5.83398e-30,9.72093e-29,8.53513e-31,5.49934e-30,1.14776e-32,5.20541e-31
95,1.00675,1.19686e-27,2.26633e-28,1.13294e-30,8.33167e-29,7.58989e-31,6.79943e-30,3.72856e-32,4.20004e-31
96,1.00679,1.16143e-27,2.52582e-28,4.21747e-30,8.91523e-29,4.41374e-31,4.64593e-30,2.06387e-32,4.99294e-31
97,1.00681,1.24088e-27,2.77888e-28,2.37467e-30,7.73037e-29,3.57684e-31,5.67693e-30,2.01929e-32,7.15229e-31
98,1.00682,1.26192e-27,3.24808e-28,5.6143e-30,6.93359e-29,6.75701e-31,3.77274e-30,-1.55885e-32,6.24377e-31
99,1.00682,1.17555e-27,2.57547e-28,4.74249e-30,6.67395e-29,5.84359e-31,4.83118e-30,4.13981e-33,1.73218e-30
100,1.00682,1.34846e-27,3.59392e-28,1.80938e-30,6.76641e-29,7.30179e-31,3.40335e-30,5.4576e-32,2.59171e-30
101,1.00682,1.28355e-27,3.54272e-28,2.65968e-30,4.93117e-29,1.59884e-30,2.56815e-30,2.35755e-32,3.06919e-30
102,1.00682,1.33081e-27,4.67611e-28,1.9183e-30,4.06429e-29,1.20808e-30,2.38871e-30,1.35657e-33,2.70896e-30
103,1.00684,1.11682e-27,4.00416e-28,2.18194e-30,4.81117e-29,6.30694e-31,2.71514e-30,-2.2847e-33,4.14519e-30
104,1.00688,1.24428e-27,4.4717e-28,-1.012e-31,4.53472e-29,8.77565e-31,2.53774e-30,8.71967e-33,4.89878e-30
105,1.00694,1.12285e-27,4.72223e-28,-2.33698e-31,3.0205e-29,1.35242e-30,2.50349e-30,-1.45686e-33,4.81552e-30
106,1.00703,1.52723e-27,5.0968e-28,-1.33753e-31,2.4632e-29,3.35416e-31,3.23146e-30,3.51867e-33,6.24511e-30
107,1.00716,1.14129e-27,5.11327e-28,-5.28561e-31,2.6495e-29,1.14373e-30,4.55863e-30,8.21512e-33,7.1296e-30
108,1.00732,1.13888e-27,5.33883e-28,2.18173e-30,2.96832e-29,1.24924e-30,4.30911e-30,1.52222e-34,6.66893e-30
109,1.00751,1.01314e-27,6.52837e-28,6.68481e-30,3.6796e-29,1.32839e-30,7.89832e-30,-2.83615e-33,8.16494e-30
110,1.00772,1.10531e-27,6.33557e-28,1.00234e-29,2.08799e-29,1.08688e-30,1.28528e-29,-8.20866e-33,7.68895e-30
111,1.00796,9.35707e-28,6.51493e-28,9.38467e-30,3.25144e-29,1.19643e-30,1.48855e-29,2.31976e-33,7.98619e-30
112,1.00821,8.74046e-28,7.08967e-28,1.68924e-29,4.49258e-29,9.61128e-31,1.86887e-29,1.15558e-32,8.72174e-30
113,1.00848,9.26393e-28,7.69724e-28,2.22608e-29,3.77976e-29,4.56691e-31,2.58027e-29,3.0298e-33,9.67382e-30
114,1.00875,8.0678e-28,7.38719e-28,3.16795e-29,3.98982e-29,1.0171e-30,3.03045e-29,-7.56585e-34,8.58597e-30
115,1.00903,8.20491e-28,7.86017e-28,3.22744e-29,3.65735e-29,6.02839e-31,3.62209e-29,2.45823e-33,7.6923e-30
116,1.00932,8.17343e-28,8.36694e-28,3.8168e-29,3.47156e-29,8.84749e-31,3.60902e-29,3.22303e-33,7.55657e-30
117,1.00961,6.43032e-28,9.44884e-28,5.02191e-29,4.99543e-29,3.38862e-31,4.2972e-29,3.27244e-32,9.70362e-30
118,1.0099,6.7039e-28,9.09113e-28,5.17776e-29,5.26966e-29,4.58486e-31,4.56581e-29,-6.94212e-33,7.28289e-30
119,1.0102,6.38569e-28,9.77698e-28,4.74394e-29,5.07795e-29,8.27642e-31,5.71583e-29,1.81743e-33,7.14221e-30
120,1.01049,5.94451e-28,8.63905e-28,5.96213e-29,4.93274e-29,7.7491e-32,6.18466e-29,8.83264e-33,7.21815e-30
121,1.01077,5.52327e-28,1.01556e-27,4.36794e-29,4.36712e-29,3.33583e-31,5.85899e-29,4.42926e-32,5.81514e-30
122,1.01105,5.29391e-28,9.69454e-28,4.79815e-29,4.71054e-29,2.48597e-31,6.31557e-29,3.49329e-32,5.55398e-30
123,1.01132,4.9953e-28,9.56599e-28,4.32357e-29,6.11653e-29,2.66392e-31,6.69895e-29,-4.3398e-33,5.33628e-30
124,1.0116,3.73354e-28,9.24724e-28,3.52955e-29,2.67484e-29,4.74848e-31,7.4059e-29,1.29725e-34,3.50281e-30
125,1.01187,3.23555e-28,8.5749e-28,4.03808e-29,3.79202e-29,2.8534e-31,7.12675e-29,1.68913e-32,4.6363e-30
126,1.01213,2.80007e-28,1.02412e-27,2.44125e-29,4.48336e-29,7.43367e-31,7.16742e-29,4.64346e-33,3.9596e-30
