E,T,R0,R1,R2,R3,R,N_R0,N_R1,N_R2,N_R3,E/V0
6.71886,8488.61,1.49696e-21,2.89627e-19,3.79012e-18,1.32692e-11,1.32692e-11,1.76349e-25,3.41195e-23,4.46495e-22,1.56317e-15,0.0671886
6.79351,8675.3,3.45552e-21,4.63808e-20,2.3665e-18,6.86203e-12,6.86204e-12,3.98317e-25,5.3463e-24,2.72785e-22,7.90985e-16,0.0679351
6.86858,8864.22,4.56855e-20,8.79088e-20,1.52068e-18,3.6435e-12,3.64351e-12,5.15392e-24,9.91726e-24,1.71552e-22,4.11035e-16,0.0686858
6.94406,9054.44,6.32822e-20,3.70337e-20,8.60712e-19,1.97339e-12,1.97339e-12,6.98907e-24,4.09011e-24,9.50596e-23,2.17947e-16,0.0694406
7.01995,9245.55,1.95866e-20,-1.04788e-20,5.28135e-19,1.04186e-12,1.04186e-12,2.11849e-24,-1.13339e-24,5.71232e-23,1.12687e-16,0.0701995
7.09625,9437.43,3.12465e-20,7.76547e-20,5.96588e-19,5.90007e-13,5.90008e-13,3.31091e-24,8.22837e-24,6.32151e-23,6.25178e-17,0.0709625
7.17297,9629.97,1.65457e-19,2.5254e-20,3.68013e-19,3.20076e-13,3.20077e-13,1.71815e-23,2.62244e-24,3.82154e-23,3.32375e-17,0.0717297
7.25009,9823.58,1.591e-19,8.4497e-20,1.1372e-19,1.87694e-13,1.87694e-13,1.61958e-23,8.60145e-24,1.15762e-23,1.91064e-17,0.0725009
7.32763,10018.8,1.55994e-20,1.05256e-19,6.92605e-20,1.05115e-13,1.05115e-13,1.55702e-24,1.05059e-23,6.91309e-24,1.04918e-17,0.0732763
7.40559,10214.3,9.81224e-20,1.17668e-19,1.13256e-19,6.26814e-14,6.26818e-14,9.6064e-24,1.152e-23,1.1088e-23,6.13665e-18,0.0740559
7.48395,10410,1.66096e-19,4.52364e-20,7.74109e-20,3.62017e-14,3.6202e-14,1.59554e-23,4.34547e-24,7.4362e-24,3.47759e-18,0.0748395
7.56273,10605.8,4.56039e-20,2.51492e-20,5.16835e-20,2.08954e-14,2.08955e-14,4.2999e-24,2.37127e-24,4.87313e-24,1.97019e-18,0.0756273
7.64192,10801.6,1.57927e-20,7.96026e-20,1.24824e-20,1.22945e-14,1.22946e-14,1.46208e-24,7.36955e-24,1.15561e-24,1.13822e-18,0.0764192
7.72152,10997.9,1.19586e-19,-9.81725e-22,1.64364e-20,7.22379e-15,7.22393e-15,1.08736e-23,-8.9265e-26,1.49451e-24,6.56836e-19,0.0772152
7.80154,11195,6.13746e-20,2.23452e-20,2.5523e-20,4.2341e-15,4.23421e-15,5.48234e-24,1.99601e-24,2.27987e-24,3.78215e-19,0.0780154
7.88197,11391.6,4.0289e-21,7.9596e-21,1.44596e-20,2.73406e-15,2.73408e-15,3.53672e-25,6.98724e-25,1.26932e-24,2.40006e-19,0.0788197
7.96281,11587.7,1.0406e-19,2.3158e-20,1.12839e-20,1.63345e-15,1.63359e-15,8.98015e-24,1.99849e-24,9.73784e-25,1.40964e-19,0.0796281
8.04406,11783.1,1.08143e-19,1.4961e-20,9.40527e-21,1.00597e-15,1.0061e-15,9.17776e-24,1.2697e-24,7.982e-25,8.5374e-20,0.0804406
8.12572,11977.6,1.47519e-20,2.83211e-20,-1.99121e-21,6.1014e-16,6.10181e-16,1.23162e-24,2.3645e-24,-1.66244e-25,5.094e-20,0.0812572
8.2078,12171.1,4.72913e-20,5.26195e-20,3.80404e-22,3.46472e-16,3.46572e-16,3.88554e-24,4.32331e-24,3.12546e-26,2.84667e-20,0.082078
8.29029,12365.5,9.56018e-20,5.66847e-22,1.16829e-21,2.24901e-16,2.24998e-16,7.73135e-24,4.58411e-26,9.448e-26,1.81878e-20,0.0829029
8.37319,12558.5,3.2914e-20,3.14635e-20,2.31171e-21,1.36917e-16,1.36983e-16,2.62085e-24,2.50535e-24,1.84075e-25,1.09023e-20,0.0837319
8.45651,12750.2,5.67494e-21,8.57042e-22,4.02239e-21,8.7152e-17,8.71625e-17,4.45087e-25,6.72181e-26,3.15477e-25,6.83536e-21,0.0845651
8.54024,12940.2,1.91943e-20,3.11448e-20,1.1158e-21,5.42362e-17,5.42877e-17,1.48331e-24,2.40682e-24,8.62275e-26,4.1913e-21,0.0854024
8.62438,13128.5,8.35366e-21,8.68198e-20,3.63997e-21,3.40599e-17,3.41587e-17,6.363e-25,6.61308e-24,2.77257e-25,2.59435e-21,0.0862438
8.70893,13314.9,1.28957e-22,2.15769e-23,3.40844e-21,2.20515e-17,2.2055e-17,9.68517e-27,1.62051e-27,2.55987e-25,1.65615e-21,0.0870893
8.79389,13499.3,4.54663e-21,5.13975e-20,-7.49768e-23,1.25058e-17,1.25616e-17,3.36804e-25,3.80741e-24,-5.55411e-27,9.26399e-22,0.0879389
8.87927,13683.6,1.96267e-21,3.7518e-20,1.54815e-21,8.266e-18,8.30703e-18,1.43432e-25,2.74182e-24,1.13139e-25,6.0408e-22,0.0887927
8.96506,13865.6,3.03204e-21,4.13763e-22,3.83852e-22,5.52938e-18,5.53321e-18,2.18674e-25,2.98411e-26,2.76839e-26,3.98785e-22,0.0896506
9.05126,14045,1.09952e-20,3.02495e-21,1.12453e-21,3.40146e-18,3.41661e-18,7.82857e-25,2.15376e-25,8.00665e-26,2.42184e-22,0.0905126
9.13788,14221.8,9.7747e-21,1.65009e-21,1.58889e-21,2.12721e-18,2.14022e-18,6.87306e-25,1.16026e-25,1.11722e-25,1.49574e-22,0.0913788
