t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
119,0.234655,12.895,0.608201,33.4226,0.00709788,0.390051,0.100769,5.5376,0.0492763,2.70789
120,0.245139,13.5831,0.59868,33.1728,0.00867619,0.480747,0.0989966,5.48539,0.0485078,2.68781
121,0.256548,14.3324,0.588352,32.8691,0.0104958,0.586361,0.0969951,5.41877,0.0476094,2.65976
122,0.2688,15.1396,0.577275,32.5137,0.0125478,0.706727,0.0947763,5.33807,0.0466012,2.62471
123,0.281807,16.0007,0.565513,32.1093,0.0148223,0.8416,0.0923527,5.2437,0.0455053,2.58375
124,0.295476,16.9117,0.553132,31.6587,0.0173086,0.990661,0.0897379,5.13617,0.044345,2.5381
125,0.309712,17.8677,0.540202,31.1649,0.0199947,1.15352,0.0869466,5.01606,0.0431451,2.4891
126,0.324413,18.8637,0.526794,30.6316,0.022868,1.32971,0.083994,4.88402,0.0419312,2.43818
127,0.339476,19.8943,0.512983,30.0624,0.0259151,1.5187,0.0808965,4.74078,0.0407296,2.38688
128,0.354796,20.9538,0.498844,29.4611,0.0291217,1.71989,0.0776709,4.58714,0.0395673,2.3368
129,0.370266,22.0361,0.484455,28.832,0.0324729,1.9326,0.0743346,4.42397,0.0384717,2.28961
130,0.385779,23.1351,0.469892,28.1793,0.0359534,2.15611,0.0709053,4.25217,0.0374698,2.24705
131,0.40123,24.2443,0.455233,27.5074,0.0395471,2.38963,0.0674012,4.07271,0.0365889,2.21088
132,0.416511,25.3572,0.440555,26.8211,0.0432377,2.63231,0.0638405,3.88662,0.0358554,2.18288
133,0.43152,26.4673,0.425935,26.1248,0.0470084,2.88327,0.0602416,3.69493,0.0352954,2.16485
134,0.446155,27.5679,0.411446,25.4233,0.0508423,3.14154,0.0566228,3.49872,0.0349336,2.15855
135,0.460319,28.6525,0.397163,24.7213,0.0547221,3.40616,0.0530021,3.2991,0.034794,2.16575
136,0.473919,29.7145,0.383154,24.0235,0.0586306,3.67611,0.0493973,3.09718,0.0348988,2.18813
137,0.486866,30.7475,0.369489,23.3347,0.0625506,3.95031,0.045826,2.89409,0.0352687,2.22736
138,0.499077,31.7454,0.356231,22.6592,0.0664648,4.22771,0.0423048,2.69094,0.0359227,2.28498
139,0.510475,32.7023,0.343441,22.0017,0.0703561,4.50719,0.0388502,2.48884,0.0368775,2.36247
140,0.52099,33.6125,0.331177,21.3664,0.0742078,4.78763,0.0354777,2.2889,0.0381479,2.46117
141,0.530559,34.4707,0.31949,20.7574,0.0780032,5.06791,0.0322021,2.09219,0.039746,2.58232
142,0.539127,35.272,0.308428,20.1787,0.0817264,5.3469,0.0290371,1.89973,0.0416818,2.727
143,0.546647,36.012,0.298034,19.6339,0.0853616,5.62345,0.0259957,1.71254,0.0439623,2.89615
144,0.55308,36.6866,0.288345,19.1264,0.0888936,5.89645,0.0230897,1.53158,0.0465919,3.09051
145,0.558396,37.2924,0.279394,18.6593,0.0923078,6.16477,0.0203299,1.35773,0.0495723,3.31068
146,0.562575,37.8265,0.271206,18.2354,0.0955905,6.42733,0.0177259,1.19185,0.0529022,3.55705
147,0.565605,38.2865,0.263804,17.8572,0.0987283,6.68304,0.0152859,1.03472,0.0565774,3.82979
148,0.567483,38.6707,0.2572,17.5267,0.101709,6.93087,0.0130172,0.887047,0.0605908,4.12891
149,0.568217,38.978,0.251405,17.2456,0.10452,7.16979,0.0109256,0.749463,0.0649324,4.45416
150,0.567822,39.2079,0.246421,17.0153,0.107152,7.39883,0.00901567,0.622529,0.0695892,4.80511
