t,T+R,N_0,N_1,N_2,N_3,N_4
169,1.06852,1.95855e-28,4.12317e-28,2.07084e-28,1.89344e-28,1.07454e-28
170,1.06903,1.6716e-28,3.54564e-28,1.97912e-28,1.90972e-28,9.78089e-29
171,1.06961,1.64361e-28,3.14085e-28,1.75704e-28,2.04501e-28,1.24704e-28
172,1.07026,1.61268e-28,3.27962e-28,2.07221e-28,1.55771e-28,1.53765e-28
173,1.07097,1.13281e-28,3.42986e-28,2.095e-28,1.8147e-28,1.69614e-28
174,1.07176,1.0809e-28,3.3962e-28,1.92565e-28,1.62852e-28,1.64767e-28
175,1.07262,1.11779e-28,3.22745e-28,2.27477e-28,1.80562e-28,1.63459e-28
176,1.07357,9.33969e-29,2.24252e-28,2.24141e-28,1.68747e-28,1.66444e-28
177,1.07459,5.86101e-29,2.75922e-28,1.97756e-28,1.85057e-28,1.68659e-28
178,1.07569,4.83267e-29,2.8101e-28,1.87619e-28,1.83993e-28,1.58213e-28
179,1.07688,4.82356e-29,1.94592e-28,1.78163e-28,1.58465e-28,1.59881e-28
180,1.07814,2.32469e-29,2.24601e-28,1.68274e-28,1.25185e-28,1.6015e-28
181,1.07949,1.99824e-29,2.54834e-28,1.79378e-28,1.52808e-28,1.44227e-28
182,1.08091,2.18401e-29,2.94466e-28,1.72167e-28,1.50308e-28,1.73057e-28
183,1.08241,1.59018e-29,3.03779e-28,1.58384e-28,1.31932e-28,1.63808e-28
184,1.08398,5.33918e-30,3.94914e-28,1.79582e-28,1.1485e-28,1.62625e-28
185,1.08562,7.01375e-32,3.46541e-28,1.3532e-28,1.05825e-28,1.70928e-28
186,1.08732,7.55959e-30,5.11898e-28,1.71676e-28,1.29752e-28,1.84171e-28
187,1.08909,1.00224e-29,5.11963e-28,1.30228e-28,9.71665e-29,1.91813e-28
188,1.09091,4.00325e-30,6.23581e-28,1.1348e-28,8.18114e-29,1.53572e-28
189,1.09279,-1.89859e-32,4.52874e-28,1.04797e-28,7.9198e-29,1.48267e-28
190,1.0947,-6.53586e-30,4.45821e-28,7.36199e-29,9.11328e-29,1.43488e-28
191,1.09666,-1.22651e-30,6.16991e-28,9.78201e-29,4.49895e-29,1.56013e-28
192,1.09864,5.25741e-30,5.63864e-28,1.07769e-28,2.91695e-29,1.40857e-28
193,1.10066,7.27008e-30,7.59976e-28,1.10515e-28,1.7763e-29,9.97738e-29
194,1.10269,-2.99133e-30,6.2512e-28,7.7979e-29,1.54023e-29,8.57798e-29
195,1.10473,4.48238e-30,5.02384e-28,7.93086e-29,1.49448e-29,8.79789e-29
196,1.10677,4.03311e-29,5.3235e-28,1.05294e-28,-2.02017e-30,1.19641e-28
197,1.10881,1.8432e-29,7.44808e-28,1.26845e-28,-8.00573e-30,1.04726e-28
198,1.11084,-1.12958e-30,6.92588e-28,9.821e-29,-1.41121e-29,8.03249e-29
199,1.11286,5.90512e-29,3.07967e-28,6.67559e-29,3.72892e-30,5.87733e-29
200,1.11484,7.76768e-29,4.11256e-28,5.36581e-29,3.8741e-30,7.93615e-29
201,1.1168,1.01339e-28,4.46363e-28,8.1909e-29,-1.48183e-30,8.11249e-29
202,1.11872,9.48111e-29,5.87445e-28,7.28537e-29,-3.09069e-30,8.50282e-29
203,1.1206,5.86177e-29,5.18629e-28,5.67184e-29,3.64037e-31,7.82496e-29
204,1.12243,1.25803e-28,4.61362e-28,4.18033e-29,6.40431e-31,5.74083e-29
205,1.1242,2.14947e-28,4.79085e-28,3.88102e-29,6.54734e-31,6.09707e-29
206,1.12592,2.14962e-28,5.72432e-28,3.74734e-29,9.54754e-30,6.27921e-29
207,1.12757,2.67501e-28,6.78924e-28,3.49117e-29,8.6799e-30,6.13842e-29
208,1.12915,2.52018e-28,6.7337e-28,2.51429e-29,1.79999e-29,3.59228e-29
209,1.13067,4.40841e-28,6.44898e-28,2.90625e-29,1.00313e-29,2.97815e-29
210,1.13211,5.05101e-28,6.77452e-28,3.74348e-29,2.10844e-29,3.17803e-29
211,1.13347,6.3175e-28,7.41922e-28,2.12413e-29,3.37653e-29,2.42951e-29
212,1.13476,5.70793e-28,7.30933e-28,1.0439e-29,3.47271e-29,2.56112e-29
213,1.13596,6.71265e-28,6.77758e-28,2.2519e-29,7.0632e-29,6.06594e-30
214,1.13709,9.4009e-28,6.79032e-28,2.82763e-29,5.63077e-29,8.56416e-30
215,1.13814,1.18178e-27,7.32401e-28,2.13801e-29,5.95185e-29,8.94677e-30
216,1.13911,1.00242e-27,7.48033e-28,1.33346e-29,9.12341e-29,3.45179e-30
217,1.14001,9.2397e-28,6.10313e-28,2.6716e-29,9.33938e-29,8.2357e-30
218,1.14083,1.19768e-27,6.38432e-28,2.62496e-29,1.24996e-28,6.14256e-30
219,1.14157,1.2963e-27,7.45916e-28,3.23323e-29,1.21716e-28,1.76694e-29
220,1.14225,1.18084e-27,6.13746e-28,3.21274e-29,1.13008e-28,1.9157e-29
221,1.14286,8.82563e-28,5.6795e-28,3.21305e-29,1.32336e-28,2.86709e-29
222,1.14341,9.61434e-28,5.44504e-28,3.81896e-29,1.44713e-28,3.3986e-29
223,1.1439,1.10313e-27,5.39847e-28,5.08645e-29,1.42138e-28,5.07533e-29
224,1.14433,1.07014e-27,5.53409e-28,5.41815e-29,1.05509e-28,6.07814e-29
