t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9
4700,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
4800,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
4900,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
5000,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
5100,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
5200,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
5300,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
5400,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
5500,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
5600,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
5700,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
5800,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
5900,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
6000,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
6100,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
6200,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
6300,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
6400,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
6500,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
6600,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
6700,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
6800,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
6900,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
7000,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
7100,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
7200,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
7300,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
7400,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
7500,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
7600,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
7700,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
7800,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
7900,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
8000,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
8100,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
8200,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
8300,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
8400,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
