t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9
5800,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
5900,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
6000,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
6100,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
6200,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
6300,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
6400,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
6500,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
6600,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
6700,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
6800,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
6900,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
7000,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
7100,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
7200,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
7300,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
7400,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
7500,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
7600,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
7700,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
7800,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
7900,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
8000,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
8100,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
8200,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
8300,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
8400,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
