t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
180,0.687173,56.7303,0.0493498,4.07412,0.20642,17.0412,0.000678716,0.056032,0.0563783,4.65437
181,0.684833,56.8436,0.0378564,3.14222,0.216622,17.9804,0.000542174,0.0450024,0.060146,4.99234
182,0.681961,56.9103,0.0278143,2.32113,0.226387,18.8922,0.000517007,0.0431448,0.0633212,5.28422
183,0.678449,56.9207,0.0196443,1.64813,0.235499,19.7579,0.000594648,0.04989,0.0658132,5.52162
184,0.6742,56.8657,0.0137391,1.15883,0.243708,20.5557,0.000737308,0.0621885,0.0676154,5.70304
185,0.669128,56.7369,0.0104492,0.886007,0.250741,21.2609,0.000893709,0.0757797,0.0687879,5.83268
186,0.663162,56.5273,0.0100672,0.858119,0.256322,21.8486,0.00101782,0.0867578,0.0694308,5.91821
187,0.656252,56.2313,0.0128121,1.09781,0.260199,22.2953,0.00108314,0.0928097,0.0696538,5.96832
188,0.648368,55.8451,0.0188137,1.62046,0.262178,22.5819,0.00108796,0.0937079,0.0695521,5.99065
189,0.639504,55.367,0.0281015,2.43297,0.262152,22.6966,0.0010513,0.0910191,0.0691911,5.99043
190,0.629682,54.7974,0.0405981,3.53301,0.260114,22.6362,0.00100361,0.0873383,0.0686024,5.97005
191,0.618945,54.139,0.0561196,4.90877,0.256171,22.4072,0.000977603,0.0855107,0.0677869,5.9293
192,0.607366,53.3968,0.074382,6.53932,0.250525,22.025,0.00100322,0.0881988,0.0667238,5.86604
193,0.595039,52.5781,0.0950137,8.39549,0.243458,21.5121,0.00110753,0.097862,0.065382,5.77721
194,0.582078,51.692,0.117573,10.4411,0.235298,20.8959,0.00131651,0.116914,0.0637348,5.66003
195,0.568616,50.7495,0.141565,12.6348,0.226389,20.2055,0.00165474,0.147687,0.0617746,5.51345
196,0.554798,49.7631,0.166466,14.9313,0.217066,19.4699,0.00213984,0.191934,0.0595295,5.33955
197,0.54078,48.7462,0.191736,17.2832,0.207636,18.7164,0.00277244,0.249909,0.0570747,5.14474
198,0.526722,47.7131,0.216836,19.6421,0.198379,17.9701,0.0035259,0.319393,0.0545373,4.94026
199,0.512786,46.6785,0.241237,21.9596,0.189548,17.2544,0.00434163,0.395215,0.0520874,4.74147
200,0.499132,45.6572,0.26443,24.1883,0.181387,16.5921,0.00513477,0.469694,0.0499161,4.56598
201,0.485915,44.6639,0.28593,26.2819,0.174142,16.0066,0.00581052,0.534086,0.048203,4.43068
202,0.473282,43.7127,0.30528,28.1959,0.16807,15.523,0.00628693,0.580666,0.0470814,4.34847
203,0.461371,42.8172,0.322056,29.8882,0.163446,15.1685,0.00651624,0.604735,0.0466106,4.32566
204,0.450308,41.9901,0.335874,31.3194,0.160556,14.9715,0.00649679,0.605809,0.0467648,4.3607
205,0.440204,41.243,0.3464,32.4544,0.159682,14.9607,0.00627124,0.587556,0.0474435,4.44501
206,0.431157,40.5863,0.353356,33.2626,0.161075,15.1625,0.00591186,0.556503,0.0485004,4.56551
207,0.423247,40.0291,0.356541,33.7203,0.164929,15.5984,0.00549883,0.520058,0.0497832,4.70831
208,0.416538,39.5788,0.355837,33.8111,0.171351,16.2815,0.00509981,0.484577,0.0511744,4.86252
209,0.411074,39.2414,0.351221,33.5279,0.180327,17.2142,0.00475749,0.454154,0.0526205,5.0232
210,0.406879,39.0209,0.342778,32.8734,0.19171,18.3855,0.00448801,0.430413,0.0541447,5.19264
211,0.403959,38.9193,0.330699,31.8611,0.205213,19.7712,0.00428797,0.413123,0.0558411,5.38
212,0.402297,38.9369,0.315279,30.5147,0.220426,21.3342,0.00414457,0.401138,0.0578534,5.59941
213,0.40186,39.072,0.296908,28.8677,0.236844,23.0278,0.00404329,0.39312,0.0603445,5.86716
214,0.402595,39.3211,0.276059,26.9624,0.253912,24.7993,0.00396999,0.387745,0.0634638,6.19845
215,0.404433,39.6789,0.253266,24.8479,0.271077,26.5954,0.00390852,0.383465,0.0673155,6.60432
216,0.407291,40.1388,0.229102,22.5782,0.287838,28.3667,0.00383747,0.378186,0.0719315,7.08891
217,0.411075,40.6929,0.204164,20.2105,0.303779,30.0715,0.00373075,0.369312,0.0772519,7.64727
218,0.415684,41.3322,0.179045,17.8027,0.318593,31.6783,0.00356363,0.354338,0.083114,8.26418
219,0.421014,42.0475,0.154321,15.4124,0.332087,33.1662,0.00332278,0.331853,0.0892548,8.91405
220,0.426959,42.8291,0.130539,13.0947,0.344158,34.5231,0.00301532,0.302473,0.0953281,9.56254
221,0.433419,43.6677,0.108201,10.9014,0.354769,35.7436,0.00267144,0.269152,0.100939,10.1698
222,0.4403,44.5545,0.0877578,8.88031,0.363911,36.8246,0.00233764,0.236548,0.105693,10.6952
223,0.447521,45.4818,0.069604,7.07389,0.371567,37.7625,0.00206188,0.209549,0.109246,11.1028
224,0.455012,46.4429,0.054071,5.519,0.37768,38.5496,0.0018763,0.191513,0.111361,11.3665
225,0.462721,47.4328,0.0414218,4.24609,0.382141,39.1726,0.00178467,0.182944,0.111932,11.474
226,0.470612,48.4481,0.031846,3.27845,0.384779,39.6119,0.00176038,0.181226,0.111003,11.4274
227,0.478665,49.487,0.0254542,2.63159,0.385379,39.8426,0.00175624,0.18157,0.108745,11.2427
228,0.486881,50.5497,0.0222732,2.31248,0.383698,39.837,0.00172223,0.178808,0.105425,10.9457
229,0.495273,51.638,0.0222428,2.31907,0.379506,39.5679,0.00162389,0.16931,0.101354,10.5673
230,0.503871,52.755,0.0252144,2.63993,0.372622,39.0133,0.00145384,0.152216,0.0968384,10.1389
231,0.512715,53.9053,0.0309528,3.25428,0.362955,38.1599,0.00123219,0.129549,0.0921456,9.68791
232,0.521854,55.0943,0.039142,4.13238,0.350532,37.0071,0.000996743,0.10523,0.0874761,9.23522
233,0.531341,56.3282,0.0493948,5.23641,0.335521,35.569,0.000787942,0.0835307,0.0829546,8.79412
234,0.541235,57.6134,0.0612659,6.52164,0.318232,33.8752,0.000635758,0.0676753,0.0786313,8.37015
235,0.55159,58.9565,0.0742684,7.93816,0.299098,31.969,0.000553555,0.0591666,0.0744909,7.96194
236,0.562457,60.3635,0.0878914,9.4326,0.278645,29.9045,0.000540302,0.0579858,0.0704662,7.56251
237,0.573881,61.8399,0.101619,10.9502,0.257456,27.7427,0.000588089,0.0633709,0.0664559,7.16111
238,0.585899,63.3904,0.114948,12.4366,0.236117,25.5462,0.000689591,0.0746091,0.0623463,6.74544
239,0.598536,65.0183,0.127404,13.8398,0.215183,23.3751,0.000840833,0.0913388,0.0580359,6.30438
240,0.611804,66.726,0.138554,15.1113,0.195142,21.2831,0.00103782,0.113189,0.0534617,5.83077
241,0.625702,68.5141,0.14802,16.2081,0.17639,19.3146,0.00126953,0.139013,0.0486192,5.32378
242,0.640213,70.3815,0.155482,17.0928,0.159219,17.5037,0.00151234,0.166258,0.0435739,4.79028
243,0.655304,72.3255,0.160691,17.7353,0.143817,15.873,0.00173042,0.190985,0.0384582,4.24461
244,0.670923,74.3409,0.163468,18.1129,0.130271,14.4345,0.00188375,0.208727,0.0334542,3.70685
245,0.687,76.4206,0.163711,18.2109,0.118582,13.1908,0.00194108,0.215922,0.0287663,3.19991
246,0.703443,78.555,0.161395,18.0234,0.108679,12.1364,0.00189203,0.211288,0.0245911,2.74614
247,0.72014,80.732,0.156574,17.5528,0.100442,11.2602,0.00175237,0.196451,0.0210916,2.36449
248,0.736959,82.937,0.149378,16.8109,0.0937233,10.5476,0.00155913,0.175463,0.018381,2.06859
