t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5
112,0.435764,22.5523,0.425407,22.0163,0.00517187,0.267662,0.106997,5.53748,3.41523e-05,0.0017675,0.0266255,1.37796
113,0.402192,20.9988,0.453491,23.6771,0.00508061,0.265263,0.111384,5.81546,3.41383e-05,0.00178239,0.0278182,1.45241
114,0.36903,19.4361,0.481078,25.3375,0.00475504,0.250439,0.116051,6.11218,3.19491e-05,0.0016827,0.0290547,1.53026
115,0.336472,17.8752,0.507887,26.9817,0.00427028,0.226861,0.121037,6.43015,3.13523e-05,0.0016656,0.0303027,1.60984
116,0.304715,16.3274,0.533616,28.5925,0.00376378,0.201673,0.126312,6.76814,3.55751e-05,0.0019062,0.0315576,1.69094
117,0.273954,14.8044,0.557954,30.1516,0.00342049,0.184842,0.13178,7.12136,4.6121e-05,0.00249236,0.0328445,1.7749
118,0.244385,13.3181,0.580591,31.6401,0.00344966,0.187994,0.137312,7.48301,6.34233e-05,0.00345634,0.0341994,1.86375
119,0.216194,11.8805,0.60123,33.0395,0.00405569,0.222873,0.142789,7.84674,8.80099e-05,0.00483642,0.0356426,1.95867
120,0.189562,10.5036,0.619605,34.3322,0.00540791,0.299652,0.148146,8.20873,0.000121394,0.00672643,0.0371581,2.05893
121,0.164658,9.19887,0.635488,35.5024,0.0076145,0.425395,0.153378,8.56866,0.000166392,0.00929571,0.0386951,2.16176
122,0.141639,7.9775,0.648707,36.537,0.0107044,0.6029,0.158534,8.92906,0.00022591,0.0127239,0.0401897,2.2636
123,0.120643,6.85002,0.659156,37.4263,0.0146185,0.830025,0.163683,9.2938,0.00029988,0.0170269,0.0415992,2.36196
124,0.101794,5.8262,0.666795,38.1642,0.01921,1.09949,0.168892,9.66658,0.000382706,0.0219043,0.0429266,2.45692
125,0.0851929,4.91489,0.671659,38.7489,0.0242515,1.3991,0.174209,10.0503,0.000464569,0.0268016,0.044223,2.55128
126,0.0709225,4.12395,0.673852,39.1826,0.0294501,1.71244,0.179675,10.4476,0.000536592,0.0312013,0.0455636,2.6494
127,0.059044,3.46016,0.673539,39.4714,0.034469,2.01999,0.185338,10.8614,0.000595694,0.0349095,0.0470141,2.75517
128,0.0495981,2.9292,0.670936,39.6246,0.0389583,2.30083,0.191256,11.2954,0.00064519,0.0381041,0.0486058,2.8706
129,0.0426054,2.53563,0.6663,39.6543,0.0425909,2.53477,0.197483,11.753,0.000691035,0.0411264,0.0503305,2.99538
130,0.0380678,2.28291,0.65991,39.5746,0.0450993,2.70459,0.204033,12.2358,0.000736542,0.0441702,0.0521535,3.12763
131,0.0359699,2.17348,0.65206,39.4007,0.0463067,2.79808,0.210854,12.7408,0.000778433,0.0470368,0.0540312,3.26483
132,0.0362812,2.20881,0.64304,39.1483,0.0461462,2.80939,0.217804,13.26,0.000806481,0.0490987,0.0559216,3.40451
133,0.0389579,2.38949,0.633126,38.8329,0.0446658,2.73958,0.224662,13.7797,0.000808036,0.049561,0.0577796,3.54392
134,0.0439454,2.71539,0.622573,38.4688,0.0420204,2.59644,0.231142,14.2823,0.000775797,0.0479365,0.0595434,3.67919
