t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6
143,0.538368,35.4666,0.241897,15.9357,0.155186,10.2233,0.00744625,0.490544,0.0454882,2.99667,0.000100566,0.00662509,0.0115138,0.758504
144,0.556313,36.9011,0.215936,14.3234,0.161124,10.6876,0.00750031,0.497507,0.0471027,3.1244,0.000102141,0.00677516,0.0119222,0.79082
145,0.574036,38.337,0.189706,12.6695,0.167471,11.1845,0.00729825,0.487413,0.04899,3.27179,0.00010081,0.0067326,0.0123979,0.82799
146,0.591362,39.7621,0.163761,11.011,0.17395,11.6961,0.00680956,0.457862,0.0510936,3.43544,9.54414e-05,0.00641731,0.0129288,0.869309
147,0.608124,41.1647,0.138616,9.38307,0.18033,12.2068,0.00605382,0.409791,0.0533015,3.60804,8.64179e-05,0.00584973,0.0134886,0.913058
148,0.624168,42.5334,0.114739,7.81878,0.186427,12.7039,0.00510035,0.347559,0.0554558,3.77899,7.52304e-05,0.00512651,0.0140352,0.956416
149,0.639353,43.8577,0.092548,6.34852,0.19209,13.1768,0.00405506,0.278165,0.0573718,3.93553,6.29434e-05,0.00431773,0.0145194,0.995985
150,0.653556,45.1278,0.0724103,4.99991,0.197189,13.6158,0.00303611,0.209642,0.0588657,4.06466,5.02047e-05,0.00346662,0.014893,1.02836
151,0.666667,46.3348,0.0546415,3.7977,0.201603,14.0119,0.00214599,0.149151,0.0597884,4.15542,3.82444e-05,0.00265807,0.0151158,1.05058
152,0.678597,47.4709,0.0395064,2.76365,0.205205,14.355,0.0014505,0.101469,0.0600487,4.20068,2.84871e-05,0.0019928,0.0151639,1.06078
153,0.689276,48.5297,0.0272169,1.91625,0.207855,14.6344,0.000969911,0.0682883,0.0596253,4.19802,2.13552e-05,0.00150355,0.0150354,1.0586
154,0.698653,49.5057,0.0179289,1.27042,0.209403,14.838,0.000682627,0.0483701,0.0585696,4.15017,1.63412e-05,0.00115792,0.0147466,1.04493
155,0.706702,50.3954,0.0117357,0.836882,0.209691,14.9532,0.000539108,0.0384441,0.0569943,4.0643,1.292e-05,0.000921335,0.014325,1.02153
156,0.713416,51.1965,0.00866152,0.621571,0.208578,14.968,0.000481208,0.0345326,0.0550448,3.95015,1.07698e-05,0.000772866,0.0138081,0.990902
157,0.718814,51.9085,0.00865325,0.624886,0.205953,14.8727,0.000459478,0.0331808,0.0528709,3.81802,9.47948e-06,0.000684552,0.0132393,0.956064
158,0.722938,52.5327,0.0115747,0.841081,0.20177,14.6617,0.000442721,0.0321706,0.0506082,3.67747,8.60139e-06,0.000625024,0.0126575,0.919764
159,0.725852,53.0719,0.0172034,1.25786,0.196063,14.3355,0.000418635,0.0306092,0.0483668,3.53643,7.87363e-06,0.000575694,0.0120881,0.88384
160,0.72764,53.5309,0.0252321,1.85627,0.188969,13.902,0.000387967,0.0285419,0.0462191,3.40024,7.2489e-06,0.000533287,0.0115451,0.849346
161,0.728406,53.9158,0.0352759,2.61109,0.180724,13.377,0.000356458,0.0263846,0.0441931,3.27113,6.7529e-06,0.000499842,0.0110368,0.816934
162,0.728271,54.2341,0.0468853,3.49154,0.171663,12.7837,0.000329201,0.0245155,0.042281,3.14865,6.32031e-06,0.000470671,0.0105644,0.786726
163,0.727364,54.4943,0.059564,4.46256,0.162185,12.151,0.000310072,0.0232307,0.0404538,3.03081,5.79398e-06,0.000434087,0.0101175,0.758004
164,0.725824,54.7059,0.0727909,5.48631,0.152725,11.511,0.00030548,0.0230242,0.0386705,2.91463,5.13073e-06,0.000386708,0.00967907,0.72952
165,0.723792,54.8787,0.0860435,6.52392,0.143711,10.8964,0.000329133,0.0249552,0.0368839,2.79658,4.46873e-06,0.000338824,0.00923544,0.700242
166,0.721409,55.0228,0.0988214,7.53724,0.135528,10.3369,0.000403634,0.0307857,0.0350547,2.67367,4.01365e-06,0.000306126,0.00877973,0.669642
167,0.718807,55.1478,0.110666,8.49045,0.128484,9.85749,0.000556025,0.0426589,0.0331733,2.5451,4.08501e-06,0.000313407,0.00830903,0.63748
