t,Norm_0,AvgX_0,Norm_1,AvgX_1
417,0.0686897,12.4748,0.93131,169.137
418,0.051966,9.45735,0.948034,172.534
419,0.0382845,6.98195,0.961716,175.388
420,0.0277364,5.06881,0.972264,177.68
421,0.0203923,3.73439,0.979608,179.393
422,0.016301,2.99133,0.983699,180.514
423,0.01549,2.84836,0.98451,181.035
424,0.0179647,3.31018,0.982035,180.95
425,0.0237085,4.37746,0.976292,180.26
426,0.032683,6.0468,0.967317,178.967
427,0.0448284,8.31073,0.955172,177.079
428,0.0600637,11.1578,0.939936,174.608
429,0.078287,14.5724,0.921713,171.568
430,0.0993768,18.5353,0.900623,167.98
431,0.123192,23.0234,0.876808,163.867
432,0.149574,28.0099,0.850426,159.254
433,0.178347,33.4646,0.821653,154.173
434,0.209318,39.3541,0.790682,148.657
435,0.242281,45.6419,0.757719,142.742
436,0.277016,52.2885,0.722984,136.468
437,0.313291,59.2521,0.686709,129.876
438,0.350863,66.4885,0.649137,123.011
439,0.389482,73.9514,0.610518,115.92
440,0.428891,81.5929,0.571109,108.649
441,0.468825,89.3638,0.531175,101.248
442,0.509019,97.2135,0.490981,93.7687
443,0.549204,105.091,0.450796,86.2607
444,0.589111,112.945,0.410889,78.776
445,0.628476,120.724,0.371524,71.366
446,0.667034,128.376,0.332966,64.0821
447,0.704528,135.851,0.295472,56.9747
448,0.740709,143.1,0.259291,50.0934
449,0.775334,150.074,0.224666,43.4866
450,0.808172,156.727,0.191828,37.2007
451,0.839004,163.013,0.160996,31.2804
452,0.867625,168.892,0.132375,25.768
453,0.893843,174.322,0.106157,20.7032
454,0.917484,179.267,0.0825161,16.1228
455,0.938389,183.694,0.0616112,12.0607
456,0.956419,187.572,0.0435814,8.54713
457,0.971453,190.874,0.0285469,5.60898
458,0.983392,193.577,0.0166083,3.26928
459,0.992155,195.662,0.00784515,1.54713
460,0.997684,197.114,0.00231598,0.457571
461,0.999942,197.922,5.76997e-05,0.0114207
462,0.998915,198.08,0.00108539,0.215227
463,0.994608,197.585,0.00539218,1.07119
464,0.987051,196.44,0.0129493,2.57714
465,0.976294,194.651,0.0237064,4.72652
466,0.962408,192.229,0.0375916,7.50844
467,0.945488,189.189,0.0545121,10.9077
468,0.925645,185.551,0.0743552,14.9049
469,0.903012,181.338,0.0969882,19.4766
470,0.87774,176.577,0.12226,24.5954
471,0.849998,171.301,0.150002,30.2301
472,0.81997,165.542,0.18003,36.3458
473,0.787859,159.34,0.212141,42.9045
474,0.753877,152.736,0.246123,49.8649
475,0.718251,145.774,0.281749,57.183
476,0.68122,138.501,0.31878,64.812
477,0.643031,130.965,0.356969,72.7032
478,0.603938,123.217,0.396062,80.8057
479,0.564203,115.31,0.435797,89.067
480,0.524091,107.298,0.475909,97.4335
481,0.483869,99.234,0.516131,105.851
482,0.443806,91.1743,0.556194,114.263
483,0.404169,83.174,0.595831,122.616
484,0.365224,75.288,0.634776,130.854
485,0.32723,67.5709,0.67277,138.923
486,0.29044,60.076,0.70956,146.769
487,0.2551,52.8557,0.7449,154.34
488,0.221447,45.9605,0.778553,161.586
489,0.189705,39.4388,0.810295,168.457
490,0.160085,33.3369,0.839915,174.908
491,0.132786,27.6983,0.867214,180.896
492,0.107989,22.5635,0.892011,186.379
493,0.0858603,17.9698,0.91414,191.321
494,0.0665476,13.951,0.933452,195.688
495,0.0501798,10.537,0.94982,199.449
496,0.0368661,7.75414,0.963134,202.578
497,0.0266953,5.62413,0.973305,205.055
498,0.0197354,4.16465,0.980265,206.86
499,0.0160327,3.38884,0.983967,207.981
500,0.0156121,3.30532,0.984388,208.41
501,0.0184764,3.91809,0.981524,208.141
502,0.0246063,5.22647,0.975394,207.177
503,0.0339611,7.22511,0.966039,205.522
504,0.0464781,9.90403,0.953522,203.186
505,0.062074,13.2486,0.937926,200.184
506,0.0806446,17.2398,0.919355,196.535
507,0.102066,21.854,0.897934,192.263
508,0.126195,27.0635,0.873805,187.394
509,0.15287,32.8364,0.84713,181.962
510,0.181915,39.137,0.818085,176.002
511,0.213134,45.9258,0.786866,169.553
512,0.246319,53.1601,0.753681,162.658
513,0.281249,60.794,0.718751,155.363
514,0.31769,68.7787,0.68231,147.717
515,0.3554,77.0628,0.6446,139.771
516,0.394127,85.5931,0.605873,131.578
517,0.433611,94.3142,0.566389,123.194
518,0.473591,103.169,0.526409,114.676
519,0.513797,112.101,0.486203,106.08
520,0.553963,121.05,0.446037,97.4666
521,0.593821,129.959,0.406179,88.8933
522,0.633103,138.768,0.366897,80.4191
523,0.671548,147.419,0.328452,72.1023
524,0.708899,155.855,0.291101,64
525,0.744907,164.02,0.255093,56.1685
526,0.779332,171.859,0.220668,48.662
527,0.811943,179.321,0.188057,41.5331
528,0.842523,186.354,0.157477,34.8316
529,0.870869,192.912,0.129131,28.6048
530,0.896789,198.951,0.103211,22.8971
531,0.920113,204.429,0.0798871,17.7492
532,0.940683,209.31,0.0593167,13.1985
533,0.958363,213.56,0.0416367,9.27825
534,0.973035,217.149,0.0269651,6.01774
535,0.9846,220.054,0.0153999,3.44182
536,0.992982,222.253,0.00701824,1.57085
537,0.998124,223.731,0.00187607,0.420524
538,0.999992,224.477,7.72846e-06,0.00173487
539,0.998574,224.485,0.00142569,0.320502
540,0.99388,223.754,0.00612048,1.37791
