E,T,R0,R,E/V0,N_R0
0.092249,0.03207,0.589058,0.589058,0.00092249,0.9483681302
0.0931234,0.0312889,0.581337,0.581337,0.000931234,0.9489265798
0.0940019,0.0305273,0.574085,0.574085,0.000940019,0.9495092971
0.0948846,0.0297847,0.567328,0.567328,0.000948846,0.9501187967
0.0957714,0.0290607,0.561094,0.561094,0.000957714,0.9507574878
0.0966622,0.0283549,0.555407,0.555407,0.000966622,0.9514272857
0.0975573,0.0276667,0.550291,0.550291,0.000975573,0.9521302338
0.0984564,0.0269957,0.545768,0.545768,0.000984564,0.9528676486
0.0993597,0.0263415,0.541858,0.541858,0.000993597,0.9536404027
0.100267,0.0257036,0.53858,0.53858,0.00100267,0.9544491458
0.101179,0.0250817,0.53595,0.53595,0.00101179,0.9552936135
0.102094,0.0244753,0.533984,0.533984,0.00102094,0.9561735296
0.103014,0.0238841,0.532693,0.532693,0.00103014,0.9570875266
0.103938,0.0233077,0.532091,0.532091,0.00103938,0.9580342914
0.104866,0.0227456,0.532185,0.532185,0.00104866,0.9590118116
0.105798,0.0221976,0.532984,0.532984,0.00105798,0.9600174069
0.106734,0.0216632,0.534491,0.534491,0.00106734,0.9610482129
0.107675,0.0211421,0.536711,0.536711,0.00107675,0.9621009545
0.108619,0.0206341,0.539644,0.539644,0.00108619,0.9631716821
0.109568,0.0201387,0.543291,0.543291,0.00109568,0.9642569428
0.110521,0.0196556,0.547646,0.547646,0.00110521,0.9653524686
0.111477,0.0191846,0.552707,0.552707,0.00111477,0.9664541322
0.112438,0.0187253,0.558466,0.558466,0.00112438,0.9675578963
0.113404,0.0182774,0.564913,0.564913,0.00113404,0.968659635
0.114373,0.0178406,0.572038,0.572038,0.00114373,0.9697554717
0.115346,0.0174147,0.579828,0.579828,0.00115346,0.9708415021
0.116324,0.0169994,0.588268,0.588268,0.00116324,0.9719142316
0.117305,0.0165943,0.597342,0.597342,0.00117305,0.9729706486
0.118291,0.0161994,0.60703,0.60703,0.00118291,0.9740073238
0.119281,0.0158142,0.617313,0.617313,0.00119281,0.9750220809
0.120275,0.0154386,0.628169,0.628169,0.00120275,0.9760124026
0.121273,0.0150722,0.639573,0.639573,0.00121273,0.9769765363
0.122275,0.0147149,0.651502,0.651502,0.00122275,0.9779127488
0.123282,0.0143665,0.663927,0.663927,0.00123282,0.9788196408
0.124292,0.0140267,0.676822,0.676822,0.00124292,0.9796964227
0.125307,0.0136952,0.690156,0.690156,0.00125307,0.9805424783
0.126326,0.013372,0.703899,0.703899,0.00126326,0.9813571161
0.127349,0.0130567,0.71802,0.71802,0.00127349,0.9821404512
0.128376,0.0127492,0.732485,0.732485,0.00128376,0.9828923579
0.129407,0.0124493,0.747261,0.747261,0.00129407,0.9836130957
0.130442,0.0121567,0.762313,0.762313,0.00130442,0.9843031948
0.131481,0.0118713,0.777607,0.777607,0.00131481,0.9849631079
0.132525,0.011593,0.793105,0.793105,0.00132525,0.985593353
0.133572,0.0113215,0.808772,0.808772,0.00133572,0.9861948668
0.134624,0.0110566,0.824572,0.824572,0.00134624,0.9867685237
0.13568,0.0107983,0.840466,0.840466,0.0013568,0.9873149855
0.13674,0.0105463,0.856419,0.856419,0.0013674,0.987835384
0.137804,0.0103004,0.872392,0.872392,0.00137804,0.9883307027
0.138872,0.0100606,0.888349,0.888349,0.00138872,0.988801767
0.139945,0.00982658,0.904252,0.904252,0.00139945,0.9892497426
0.141021,0.00959831,0.920066,0.920066,0.00141021,0.9896755099
0.142102,0.00937561,0.935754,0.935754,0.00142102,0.9900800801
0.143187,0.00915834,0.95128,0.95128,0.00143187,0.9904644165
0.144275,0.00894637,0.966609,0.966609,0.00144275,0.9908294595
0.145368,0.00873955,0.981708,0.981708,0.00145368,0.9911761607
0.146466,0.00853775,0.996542,0.996542,0.00146466,0.9915054004
0.147567,0.00834086,1.01108,1.01108,0.00147567,0.9918180407
0.148672,0.00814875,1.02529,1.02529,0.00148672,0.9921149173
0.149782,0.00796129,1.03914,1.03914,0.00149782,0.9923968292
0.150895,0.00777838,1.05261,1.05261,0.00150895,0.9926645933
0.152013,0.00759989,1.06566,1.06566,0.00152013,0.9929188726
0.153135,0.00742571,1.07827,1.07827,0.00153135,0.9931604132
0.154261,0.00725575,1.09041,1.09041,0.00154261,0.9933898366
0.155391,0.00708988,1.10207,1.10207,0.00155391,0.9936078828
0.156525,0.00692801,1.11322,1.11322,0.00156525,0.9938150941
0.157664,0.00677004,1.12383,1.12383,0.00157664,0.9940119938
