E,T,R0,R1,R2,R3,R,N_R0,N_R1,N_R2,N_R3,E/V0
1.43785,361.915,2.10279e-10,0,0,0,2.10279e-10,5.81016e-13,0,0,0,0.0143785
1.4725,381.855,1.58225e-10,0,0,0,1.58225e-10,4.14358e-13,0,0,0,0.014725
1.50756,402.748,1.18944e-10,0,0,0,1.18944e-10,2.9533e-13,0,0,0,0.0150756
1.54303,424.631,8.92167e-11,0,0,0,8.92167e-11,2.10104e-13,0,0,0,0.0154303
1.57891,447.541,6.67938e-11,0,0,0,6.67938e-11,1.49246e-13,0,0,0,0.0157891
1.6152,471.516,5.00603e-11,0,0,0,5.00603e-11,1.06169e-13,0,0,0,0.016152
1.65191,496.596,3.76521e-11,0,0,0,3.76521e-11,7.58204e-14,0,0,0,0.0165191
1.68903,522.821,2.83374e-11,0,0,0,2.83374e-11,5.42009e-14,0,0,0,0.0168903
1.72657,550.233,2.12293e-11,0,0,0,2.12293e-11,3.85825e-14,0,0,0,0.0172657
1.76451,578.872,1.58378e-11,0,0,0,1.58378e-11,2.73597e-14,0,0,0,0.0176451
1.80287,608.781,1.18203e-11,0,0,0,1.18203e-11,1.94164e-14,0,0,0,0.0180287
1.84164,640.005,8.88665e-12,0,0,0,8.88665e-12,1.38853e-14,0,0,0,0.0184164
1.88082,672.587,6.68565e-12,0,0,0,6.68565e-12,9.9402e-15,0,0,0,0.0188082
1.92042,706.572,4.99645e-12,0,0,0,4.99645e-12,7.0714e-15,0,0,0,0.0192042
1.96043,742.006,3.71651e-12,0,0,0,3.71651e-12,5.00874e-15,0,0,0,0.0196043
2.00085,778.935,2.77118e-12,0.000154309,0,0,0.000154309,3.55765e-15,1.98103e-07,0,0,0.0200085
2.04168,817.409,2.07869e-12,1.70484e-05,0,0,1.70484e-05,2.54302e-15,2.08566e-08,0,0,0.0204168
2.08292,857.474,1.55872e-12,5.632e-06,0,0,5.63201e-06,1.81781e-15,6.56814e-09,0,0,0.0208292
2.12458,899.179,1.16111e-12,2.34154e-06,0,0,2.34154e-06,1.2913e-15,2.60409e-09,0,0,0.0212458
2.16665,942.573,8.59945e-13,1.04016e-06,0,0,1.04016e-06,9.12338e-16,1.10353e-09,0,0,0.0216665
2.20913,987.707,6.42208e-13,5.28599e-07,0,0,5.286e-07,6.50201e-16,5.35178e-10,0,0,0.0220913
2.25203,1034.63,4.83266e-13,2.74014e-07,0,0,2.74014e-07,4.67091e-16,2.64842e-10,0,0,0.0225203
2.29533,1083.39,3.63429e-13,1.48866e-07,0,0,1.48866e-07,3.35454e-16,1.37407e-10,0,0,0.0229533
