t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
115,1.13745,2.23982e-26,1.45605e-26,8.91806e-26,1.24672e-26,3.50452e-26,2.36557e-26,6.01344e-27,3.17182e-26
116,1.11971,2.57315e-26,1.51386e-26,8.25755e-26,1.18997e-26,3.38694e-26,2.53883e-26,7.07794e-27,3.15273e-26
117,1.10208,2.63831e-26,2.10201e-26,8.41124e-26,1.31496e-26,3.29675e-26,2.06859e-26,5.37109e-27,3.15651e-26
118,1.08458,2.58805e-26,1.99842e-26,8.44026e-26,1.13598e-26,2.9607e-26,2.09342e-26,4.79445e-27,3.08413e-26
119,1.06721,2.83883e-26,2.11044e-26,7.9045e-26,1.29954e-26,2.50101e-26,2.15743e-26,4.66247e-27,2.70835e-26
120,1.04998,2.93381e-26,2.45846e-26,7.63823e-26,1.25121e-26,2.95072e-26,1.90336e-26,3.61271e-27,2.74357e-26
121,1.03291,2.79137e-26,2.37827e-26,7.72919e-26,1.56363e-26,2.85279e-26,2.14156e-26,3.85559e-27,2.83326e-26
122,1.01599,2.79589e-26,2.64449e-26,6.87554e-26,1.39356e-26,2.81202e-26,2.13592e-26,4.00033e-27,2.9203e-26
123,0.999231,2.78538e-26,2.33192e-26,6.33035e-26,1.60786e-26,2.8848e-26,1.91526e-26,2.62951e-27,2.52819e-26
124,0.982629,2.7081e-26,2.43429e-26,5.54573e-26,1.57407e-26,3.1258e-26,1.8497e-26,2.16865e-27,2.28422e-26
125,0.966184,2.88915e-26,2.74669e-26,6.30646e-26,1.37914e-26,2.73228e-26,1.66515e-26,2.15596e-27,2.30647e-26
126,0.949892,3.19319e-26,3.2601e-26,6.2415e-26,1.32563e-26,2.5921e-26,1.71998e-26,3.1647e-27,2.20766e-26
127,0.933748,3.01829e-26,3.2197e-26,5.93872e-26,1.1151e-26,2.81625e-26,1.56204e-26,2.78504e-27,2.11854e-26
128,0.917747,3.07565e-26,3.52288e-26,4.51498e-26,1.11188e-26,2.4205e-26,1.43106e-26,2.83164e-27,2.17436e-26
129,0.901883,3.34624e-26,4.20997e-26,5.50343e-26,1.25258e-26,2.51691e-26,1.47263e-26,2.27389e-27,1.86707e-26
130,0.886147,3.45409e-26,3.9993e-26,4.61237e-26,1.13513e-26,2.04219e-26,1.49402e-26,3.15187e-27,1.57896e-26
131,0.870532,3.61787e-26,4.01691e-26,4.24628e-26,1.27576e-26,1.98549e-26,1.58567e-26,2.71653e-27,1.60848e-26
132,0.855032,3.52249e-26,4.27834e-26,4.5848e-26,1.2473e-26,1.90833e-26,1.58549e-26,3.90118e-27,1.95417e-26
133,0.839639,4.08203e-26,4.45007e-26,4.39814e-26,1.02282e-26,1.80408e-26,1.48693e-26,3.43049e-27,1.71938e-26
134,0.824345,4.48585e-26,4.39099e-26,3.78272e-26,9.83818e-27,1.81784e-26,1.36982e-26,4.09663e-27,1.69476e-26
135,0.809147,3.99521e-26,4.92564e-26,3.84613e-26,9.26869e-27,1.91645e-26,1.39888e-26,4.74273e-27,1.57291e-26
136,0.794037,4.44087e-26,5.05329e-26,2.54216e-26,6.7009e-27,1.48167e-26,1.2003e-26,4.90741e-27,1.63693e-26
137,0.779014,4.5859e-26,4.68221e-26,2.83527e-26,7.98015e-27,1.56619e-26,1.52272e-26,6.61255e-27,1.90676e-26
138,0.764073,4.95731e-26,4.44992e-26,2.77364e-26,6.45399e-27,1.99176e-26,1.53728e-26,6.98387e-27,1.44738e-26
139,0.749214,4.31568e-26,4.6269e-26,2.9635e-26,6.58368e-27,1.64889e-26,1.72429e-26,6.32319e-27,1.43823e-26
140,0.734438,4.36741e-26,4.84773e-26,2.72158e-26,7.66725e-27,1.80906e-26,1.72122e-26,6.49787e-27,1.46466e-26
141,0.719747,4.61739e-26,4.46097e-26,1.86275e-26,6.67052e-27,1.54125e-26,1.70521e-26,5.89321e-27,1.39751e-26
142,0.705144,4.85455e-26,4.87791e-26,2.35239e-26,5.99099e-27,1.57367e-26,1.80744e-26,6.41023e-27,1.26804e-26
143,0.690635,5.62243e-26,4.69232e-26,2.03753e-26,4.72477e-27,1.28471e-26,1.70201e-26,6.80515e-27,1.26914e-26
144,0.676229,5.64526e-26,4.67519e-26,1.61079e-26,5.01551e-27,1.75966e-26,1.54407e-26,6.50653e-27,1.6646e-26
145,0.661932,6.16918e-26,5.1019e-26,1.98941e-26,1.92559e-27,1.44655e-26,1.48469e-26,5.54051e-27,1.80069e-26
146,0.647756,5.75153e-26,5.44325e-26,1.84198e-26,2.66885e-27,1.20255e-26,1.42912e-26,4.82973e-27,1.60279e-26
147,0.633712,6.31729e-26,5.29832e-26,1.26209e-26,2.65012e-27,1.11016e-26,1.3499e-26,4.51668e-27,1.64941e-26
148,0.619813,6.8345e-26,5.30876e-26,1.5339e-26,3.67042e-27,1.27659e-26,1.15671e-26,4.96512e-27,2.2399e-26
149,0.606073,6.28334e-26,5.14952e-26,1.38119e-26,3.54733e-27,1.375e-26,1.09929e-26,4.78642e-27,1.73627e-26
150,0.592505,6.18013e-26,4.63091e-26,1.52681e-26,3.60113e-27,1.1595e-26,1.0872e-26,3.65273e-27,1.78128e-26
151,0.579126,7.22771e-26,4.77943e-26,1.24976e-26,5.09122e-27,1.07497e-26,8.41971e-27,2.72453e-27,1.57999e-26
152,0.565948,6.75252e-26,4.8076e-26,1.23913e-26,4.5824e-27,1.11219e-26,5.92631e-27,2.47332e-27,1.44252e-26
153,0.552988,6.41299e-26,4.0775e-26,1.24612e-26,4.22772e-27,1.41115e-26,3.92073e-27,2.68685e-27,1.22466e-26
154,0.54026,7.10848e-26,4.63795e-26,1.3662e-26,4.59012e-27,1.09675e-26,4.84365e-27,1.79606e-27,1.0124e-26
155,0.527777,7.22072e-26,3.93652e-26,1.38938e-26,5.47448e-27,1.1307e-26,4.84096e-27,2.38587e-27,1.06899e-26
156,0.515553,7.77746e-26,4.75918e-26,1.29026e-26,6.59815e-27,8.70004e-27,4.16827e-27,2.81108e-27,7.99539e-27
157,0.503601,7.38603e-26,4.98947e-26,1.31058e-26,6.16438e-27,1.06494e-26,5.32536e-27,2.21441e-27,6.50876e-27
158,0.491931,8.34635e-26,4.52489e-26,1.45964e-26,8.0941e-27,1.17043e-26,4.84773e-27,2.17131e-27,6.89434e-27
159,0.480553,8.54692e-26,4.79812e-26,1.32227e-26,9.12954e-27,1.06965e-26,3.32047e-27,2.39074e-27,5.99693e-27
160,0.469475,8.41201e-26,4.19622e-26,1.6292e-26,1.1209e-26,8.93491e-27,3.94542e-27,3.34403e-27,4.96273e-27
161,0.458705,8.58474e-26,4.79112e-26,1.11641e-26,8.34995e-27,8.91514e-27,2.26695e-27,2.31431e-27,4.67139e-27
162,0.448249,8.51715e-26,4.28923e-26,1.61336e-26,9.45188e-27,1.12729e-26,2.26951e-27,2.62823e-27,5.18288e-27
163,0.438109,9.64716e-26,3.50321e-26,1.52343e-26,8.54817e-27,1.02887e-26,1.55563e-27,2.66443e-27,3.58907e-27
164,0.428289,8.6797e-26,3.34413e-26,1.49033e-26,1.05917e-26,1.16344e-26,1.93914e-27,2.46917e-27,2.52571e-27
165,0.418788,8.2891e-26,3.16663e-26,1.4661e-26,7.01621e-27,8.51643e-27,8.63558e-28,3.04179e-27,2.19647e-27
