t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
84,0.87711,2.61165e-28,1.58694e-28,1.82671e-28,4.38581e-29,2.00851e-28,2.94653e-28,7.26555e-29,2.95908e-28
85,0.876768,2.71005e-28,1.21543e-28,1.92368e-28,3.22053e-29,2.12611e-28,3.08581e-28,6.90108e-29,2.99053e-28
86,0.8766,2.4442e-28,1.16576e-28,1.82579e-28,2.84491e-29,2.11508e-28,3.22272e-28,5.90407e-29,3.09923e-28
87,0.876605,2.61353e-28,1.27776e-28,1.75631e-28,2.34922e-29,2.21031e-28,3.51224e-28,4.96683e-29,3.17949e-28
88,0.876783,2.60864e-28,1.10255e-28,1.79985e-28,2.9452e-29,2.21449e-28,3.2229e-28,3.37335e-29,2.95358e-28
89,0.877133,2.58125e-28,9.14678e-29,1.82755e-28,2.02963e-29,2.1313e-28,3.33937e-28,2.37905e-29,2.9034e-28
90,0.877653,2.50037e-28,8.46413e-29,2.09631e-28,2.30518e-29,2.18846e-28,3.14051e-28,1.57949e-29,2.44753e-28
91,0.878342,2.64902e-28,7.88785e-29,2.08533e-28,1.93189e-29,2.34987e-28,3.3691e-28,1.69456e-29,2.62716e-28
92,0.879197,2.25941e-28,9.95156e-29,2.06499e-28,1.82586e-29,2.57032e-28,3.15425e-28,1.59775e-29,2.30258e-28
93,0.880213,2.38645e-28,7.10047e-29,2.16589e-28,2.09275e-29,2.34294e-28,2.89979e-28,1.61767e-29,2.40231e-28
94,0.881389,2.3691e-28,6.65453e-29,2.12136e-28,3.05486e-29,2.47859e-28,2.57449e-28,2.15864e-29,1.63928e-28
95,0.882718,2.45392e-28,6.82277e-29,2.11803e-28,3.83172e-29,2.59049e-28,2.21588e-28,1.64398e-29,1.8263e-28
96,0.884196,2.37663e-28,5.10153e-29,2.1371e-28,3.36111e-29,2.72133e-28,2.49782e-28,3.42505e-29,1.65455e-28
97,0.885818,2.45073e-28,6.62556e-29,2.11454e-28,3.21459e-29,2.79246e-28,2.19749e-28,5.35506e-29,1.72289e-28
98,0.887578,2.38199e-28,4.48247e-29,2.24482e-28,3.99325e-29,2.62877e-28,2.10621e-28,7.28406e-29,1.48333e-28
99,0.889468,2.45945e-28,4.43783e-29,1.89502e-28,5.52725e-29,2.58396e-28,1.85918e-28,7.65677e-29,1.34428e-28
100,0.891483,2.49072e-28,4.23727e-29,2.08993e-28,6.93038e-29,2.74502e-28,2.0226e-28,8.53646e-29,1.35069e-28
101,0.893615,2.24511e-28,4.50617e-29,1.9963e-28,5.40313e-29,2.81503e-28,2.1663e-28,1.2402e-28,1.47387e-28
102,0.895857,2.4334e-28,3.42478e-29,2.02249e-28,5.1864e-29,2.7067e-28,2.36609e-28,1.28597e-28,1.98287e-28
103,0.8982,2.41547e-28,2.54389e-29,1.9138e-28,7.80716e-29,3.00144e-28,2.5948e-28,1.47818e-28,2.0794e-28
104,0.900638,2.39758e-28,2.55947e-29,2.25486e-28,7.89672e-29,2.81141e-28,2.5751e-28,1.497e-28,2.13842e-28
105,0.903162,2.41321e-28,2.27411e-29,2.33023e-28,8.33274e-29,2.78988e-28,2.75523e-28,1.60604e-28,2.35301e-28
106,0.905764,2.40763e-28,2.42295e-29,2.19545e-28,8.8168e-29,2.35785e-28,3.28198e-28,1.6435e-28,2.40267e-28
107,0.908437,2.4929e-28,1.71277e-29,2.20573e-28,8.3026e-29,2.30342e-28,3.77688e-28,1.38515e-28,2.72839e-28
108,0.911172,2.54772e-28,1.0638e-29,2.2538e-28,9.11852e-29,2.26017e-28,3.6646e-28,1.28414e-28,2.88115e-28
