t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6
157,1.09009,5.08552e-28,1.7357e-28,1.33171e-28,1.65648e-28,3.29642e-29,1.94468e-29,3.68617e-28
158,1.09078,5.99082e-28,1.39068e-28,1.75827e-28,1.68142e-28,2.57543e-29,2.4208e-29,3.82428e-28
159,1.09145,5.66159e-28,1.75152e-28,1.50911e-28,1.56568e-28,3.07489e-29,2.27479e-29,3.62931e-28
160,1.09208,5.64651e-28,2.16025e-28,1.58835e-28,1.58376e-28,4.29161e-29,1.71557e-29,3.54415e-28
161,1.09269,5.93462e-28,2.18423e-28,1.62912e-28,1.50459e-28,5.58021e-29,4.17613e-29,3.41488e-28
162,1.09327,5.13169e-28,1.62936e-28,2.35762e-28,1.67531e-28,6.05504e-29,3.28635e-29,3.54887e-28
163,1.09383,5.38102e-28,1.39689e-28,2.11522e-28,1.30795e-28,8.03351e-29,3.50841e-29,3.65663e-28
164,1.09436,5.40398e-28,2.30623e-28,1.83572e-28,1.32385e-28,6.89318e-29,2.99369e-29,3.79229e-28
165,1.09487,5.93001e-28,2.08477e-28,2.12259e-28,1.3748e-28,1.04271e-28,3.58422e-29,3.53813e-28
166,1.09535,5.35549e-28,1.83535e-28,2.12119e-28,1.25506e-28,1.07083e-28,4.56854e-29,3.4912e-28
167,1.09582,5.70025e-28,2.411e-28,2.24876e-28,1.02761e-28,1.42526e-28,4.20651e-29,3.73003e-28
168,1.09627,6.22794e-28,2.43735e-28,2.25721e-28,9.32803e-29,1.63857e-28,3.46757e-29,3.69682e-28
169,1.0967,5.81496e-28,2.09839e-28,2.0509e-28,8.70519e-29,1.6e-28,3.28556e-29,3.52964e-28
170,1.09712,6.52855e-28,2.66749e-28,1.78057e-28,8.49585e-29,1.82172e-28,2.72575e-29,3.90471e-28
171,1.09752,6.34554e-28,3.36013e-28,2.01934e-28,7.46221e-29,2.02573e-28,2.57225e-29,3.87163e-28
172,1.09791,5.62878e-28,3.29674e-28,1.72037e-28,4.78865e-29,2.29404e-28,3.18778e-29,3.85236e-28
173,1.09829,6.73328e-28,3.39398e-28,1.7983e-28,3.94503e-29,2.45911e-28,1.60966e-29,3.64631e-28
174,1.09865,6.55955e-28,3.53524e-28,1.8499e-28,4.43656e-29,2.35319e-28,1.98961e-29,3.69082e-28
175,1.09901,5.9783e-28,3.95067e-28,2.14133e-28,3.51194e-29,2.63727e-28,1.59765e-29,3.68833e-28
176,1.09937,5.64543e-28,3.88268e-28,1.69423e-28,2.936e-29,2.69857e-28,9.67525e-30,3.76733e-28
177,1.09971,5.50059e-28,3.85851e-28,1.70588e-28,2.15147e-29,3.07304e-28,1.13674e-29,3.59161e-28
178,1.10006,5.27119e-28,4.45587e-28,1.63325e-28,2.39332e-29,3.00718e-28,1.19349e-29,3.96871e-28
