t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_L0,Norm_L1
295,0.469368,62.2516,0.265316,35.1884,0.265316,35.1884,0.469368,0.530632
296,0.497537,66.197,0.251231,33.4262,0.251231,33.4262,0.497537,0.502462
297,0.525766,70.174,0.237117,31.648,0.237117,31.648,0.525766,0.474234
298,0.553959,74.1698,0.22302,29.8603,0.22302,29.8603,0.553959,0.44604
299,0.58202,78.1714,0.20899,28.0695,0.20899,28.0695,0.58202,0.41798
300,0.609855,82.1659,0.195072,26.2822,0.195072,26.2822,0.609855,0.390144
301,0.637369,86.1402,0.181316,24.5048,0.181316,24.5048,0.637369,0.362632
302,0.664468,90.0812,0.167766,22.7439,0.167766,22.7439,0.664468,0.335532
303,0.691061,93.9759,0.154469,21.006,0.154469,21.006,0.691061,0.308938
304,0.717058,97.8113,0.141471,19.2976,0.141471,19.2976,0.717058,0.282942
305,0.74237,101.575,0.128815,17.6251,0.128815,17.6251,0.74237,0.25763
306,0.766912,105.253,0.116544,15.9948,0.116544,15.9948,0.766912,0.233088
307,0.790601,108.834,0.1047,14.413,0.1047,14.413,0.790601,0.2094
308,0.813356,112.306,0.0933222,12.8857,0.0933222,12.8857,0.813356,0.1866444
309,0.835099,115.657,0.0824503,11.419,0.0824503,11.419,0.835099,0.1649006
310,0.855759,118.875,0.0721207,10.0184,0.0721207,10.0184,0.855759,0.1442414
311,0.875263,121.949,0.0623683,8.68968,0.0623683,8.68968,0.875263,0.1247366
312,0.893547,124.868,0.0532264,7.43811,0.0532264,7.43811,0.893547,0.1064528
313,0.910548,127.623,0.0447258,6.2688,0.0447258,6.2688,0.910548,0.0894516
314,0.926209,130.203,0.0368955,5.18663,0.0368955,5.18663,0.926209,0.073791
315,0.940476,132.599,0.0297619,4.19617,0.0297619,4.19617,0.940476,0.0595238
316,0.953302,134.803,0.0233492,3.30173,0.0233492,3.30173,0.953302,0.0466984
