t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
129,0.424915,25.2885,0.29881,17.7834,0.178573,10.6276,0.0509664,3.03322,0.0467361,2.78146
130,0.420511,25.2179,0.295683,17.732,0.182998,10.9743,0.0545881,3.27363,0.0462208,2.77185
131,0.419113,25.3249,0.291015,17.5846,0.186406,11.2636,0.0579661,3.5026,0.0455002,2.74935
132,0.420728,25.614,0.284879,17.3435,0.188755,11.4914,0.0610631,3.71753,0.0445755,2.71376
133,0.42532,26.0871,0.277365,17.0122,0.190016,11.6546,0.0638473,3.91608,0.043452,2.66513
134,0.43281,26.7433,0.268585,16.5959,0.190174,11.7508,0.0662918,4.09617,0.042139,2.60377
135,0.443076,27.5792,0.25867,16.1009,0.189229,11.7785,0.0683754,4.25601,0.0406501,2.53026
136,0.455956,28.5882,0.247766,15.5348,0.187192,11.7369,0.0700823,4.39412,0.0390025,2.44543
137,0.471253,29.7615,0.236035,14.9065,0.184093,11.6262,0.0714025,4.50935,0.0372171,2.35041
138,0.488731,31.0873,0.223651,14.226,0.179969,11.4475,0.0723315,4.60088,0.0353183,2.24654
139,0.508125,32.5518,0.210798,13.5042,0.174873,11.2028,0.0728704,4.66826,0.0333332,2.13541
140,0.529144,34.1386,0.197667,12.7528,0.168871,10.895,0.0730254,4.71135,0.0312919,2.01884
141,0.551471,35.8294,0.184457,11.9842,0.162039,10.5277,0.0728079,4.73037,0.0292262,1.89884
142,0.574771,37.604,0.171364,11.2114,0.15446,10.1055,0.0722338,4.72585,0.02717,1.77758
143,0.598698,39.441,0.158589,10.4475,0.146232,9.63346,0.0713233,4.69864,0.0251583,1.65738
144,0.622893,41.3175,0.146325,9.70597,0.137455,9.11758,0.0701006,4.64988,0.0232264,1.54064
145,0.646997,43.2097,0.134762,9.00005,0.128238,8.56435,0.0685931,4.58098,0.02141,1.42987
146,0.670652,45.0934,0.124079,8.34281,0.118694,7.98077,0.0668308,4.49358,0.0197443,1.32757
147,0.693507,46.9443,0.114444,7.74684,0.10894,7.37429,0.0648463,4.38952,0.0182632,1.23626
148,0.715221,48.7382,0.106012,7.2241,0.0990943,6.7527,0.0626735,4.27083,0.0169991,1.15839
149,0.735474,50.4513,0.0989214,6.78571,0.0892752,6.12401,0.0603475,4.13966,0.0159823,1.09634
150,0.753964,52.0609,0.0932921,6.44179,0.0796,5.49635,0.0579039,3.99824,0.0152402,1.05233
151,0.770417,53.5457,0.0892242,6.20127,0.0701831,4.87788,0.0553782,3.8489,0.0147973,1.02845
152,0.78459,54.8856,0.0867962,6.07179,0.0611347,4.27665,0.052805,3.69395,0.0146744,1.02654
153,0.79627,56.0628,0.0860641,6.05949,0.0525595,3.70054,0.0502181,3.53569,0.0148881,1.04823
154,0.805285,57.0615,0.0870603,6.16899,0.0445548,3.1571,0.0476494,3.37638,0.015451,1.09484
155,0.811498,57.8685,0.0897927,6.40318,0.0372102,2.65349,0.0451284,3.21814,0.0163709,1.16742
