t,T+R,N_0,N_1,N_2,N_3,N_4
151,1.07222,3.97264e-28,4.35758e-28,6.73021e-28,9.49662e-29,6.42216e-29
152,1.07405,3.45336e-28,4.73707e-28,7.09309e-28,1.27984e-28,9.21813e-29
153,1.07575,4.78511e-28,5.96495e-28,7.47963e-28,1.39728e-28,9.67059e-29
154,1.07733,5.09691e-28,7.44758e-28,7.94289e-28,1.39828e-28,1.20423e-28
155,1.07878,4.88207e-28,8.05901e-28,7.57522e-28,1.79032e-28,1.43655e-28
156,1.0801,5.64533e-28,8.57451e-28,7.52539e-28,1.79886e-28,1.50722e-28
157,1.08127,5.58187e-28,1.00706e-27,7.84326e-28,1.698e-28,1.51567e-28
158,1.0823,6.43979e-28,1.08201e-27,8.05969e-28,1.89207e-28,2.11803e-28
159,1.0832,6.28612e-28,1.17094e-27,7.97335e-28,2.13547e-28,2.11254e-28
160,1.08396,6.24138e-28,1.23599e-27,8.05286e-28,2.20956e-28,2.42694e-28
161,1.0846,7.30879e-28,1.35102e-27,7.68704e-28,2.59599e-28,2.55381e-28
162,1.08513,6.67626e-28,1.46335e-27,7.96601e-28,2.67924e-28,2.75927e-28
163,1.08554,6.70692e-28,1.44091e-27,7.58483e-28,3.05828e-28,3.31157e-28
164,1.08586,7.06187e-28,1.57306e-27,7.10896e-28,3.15321e-28,3.51993e-28
165,1.08609,6.51628e-28,1.65404e-27,7.24975e-28,3.06386e-28,3.81397e-28
166,1.08626,7.1695e-28,1.49736e-27,6.617e-28,3.44578e-28,4.0058e-28
167,1.08637,6.63034e-28,1.58112e-27,5.76376e-28,3.51583e-28,4.36205e-28
168,1.08645,6.12522e-28,1.4817e-27,5.65253e-28,3.77818e-28,5.02297e-28
169,1.0865,5.96017e-28,1.46764e-27,5.61014e-28,3.55054e-28,5.08398e-28
170,1.08654,5.55628e-28,1.52805e-27,5.06992e-28,3.89871e-28,5.62642e-28
