t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
144,0.722991,47.9571,0.214896,14.2544,0.0153168,1.01599,0.0467962,3.10407
145,0.701682,46.8618,0.231626,15.4691,0.020002,1.33583,0.0466902,3.1182
146,0.679342,45.6777,0.248521,16.7101,0.0253598,1.70515,0.0467772,3.14521
147,0.656166,44.4167,0.265449,17.9686,0.0313431,2.12165,0.0470423,3.18435
148,0.632355,43.0913,0.282276,19.2355,0.0379003,2.58268,0.0474686,3.23471
149,0.608118,41.7151,0.298869,20.5015,0.0449754,3.08518,0.0480379,3.29526
150,0.583665,40.3019,0.315095,21.7572,0.052509,3.62573,0.0487307,3.36484
151,0.55921,38.8663,0.330825,22.9931,0.060438,4.20057,0.0495266,3.4422
152,0.534966,37.4233,0.345933,24.1996,0.0686971,4.80568,0.0504044,3.52602
153,0.511143,35.9879,0.360296,25.3673,0.0772186,5.43671,0.0513427,3.61487
154,0.487948,34.5754,0.373799,26.4869,0.085933,6.08911,0.0523197,3.70731
155,0.465584,33.2011,0.386332,27.5496,0.0947702,6.75813,0.0533137,3.80184
156,0.444244,31.88,0.397793,28.5466,0.103659,7.43885,0.0543033,3.89694
157,0.424113,30.6269,0.40809,29.4698,0.11253,8.12622,0.0552677,3.99111
158,0.405363,29.4559,0.417138,30.3116,0.121311,8.81514,0.056187,4.08285
159,0.388158,28.3809,0.424865,31.0647,0.129935,9.50044,0.0570422,4.17074
160,0.372644,27.4146,0.431207,31.723,0.138334,10.177,0.0578156,4.25337
161,0.358952,26.5693,0.436113,32.2806,0.146444,10.8396,0.058491,4.32944
162,0.3472,25.8559,0.439544,32.7327,0.154202,11.4834,0.0590538,4.39772
163,0.337486,25.2845,0.441473,33.0753,0.16155,12.1034,0.0594914,4.45711
164,0.329889,24.864,0.441887,33.3054,0.168432,12.6949,0.0597928,4.50664
165,0.32447,24.6017,0.440782,33.4206,0.174798,13.2534,0.0599495,4.54544
166,0.321272,24.5039,0.438172,33.42,0.1806,13.7746,0.059955,4.57285
167,0.320317,24.5751,0.434081,33.3032,0.185798,14.2546,0.059805,4.58832
168,0.321605,24.8187,0.428544,33.0712,0.190353,14.6898,0.0594976,4.5915
169,0.32512,25.2361,0.421612,32.7259,0.194235,15.0767,0.0590332,4.58221
170,0.330822,25.8274,0.413346,32.27,0.197418,15.4125,0.0584148,4.56047
171,0.338654,26.591,0.403818,31.7077,0.199881,15.6946,0.0576475,4.52646
172,0.348539,27.5237,0.393113,31.0437,0.201609,15.9208,0.0567386,4.48058
173,0.360382,28.6208,0.381325,30.284,0.202594,16.0896,0.0556979,4.4234
174,0.374072,29.8759,0.368558,29.4355,0.202833,16.1996,0.054537,4.35569
175,0.389479,31.2812,0.354923,28.5058,0.202328,16.25,0.0532697,4.27837
176,0.40646,32.8273,0.340541,27.5034,0.201087,16.2406,0.0519116,4.19258
177,0.424856,34.5035,0.325538,26.4377,0.199125,16.1714,0.05048,4.09959
178,0.444497,36.2978,0.310048,25.3186,0.196461,16.0431,0.0489936,4.00083
179,0.465202,38.1969,0.294206,24.1567,0.193119,15.8567,0.0474725,3.89788
180,0.48678,40.1867,0.278154,22.9633,0.189128,15.6137,0.0459378,3.79244
181,0.509033,42.2516,0.262033,21.7497,0.184522,15.316,0.0444116,3.68632
