E,T,R0,R1,R,N_R0,N_R1,E/V0
1856.33,5.7042,3.37773,1.26935,4.64709,0.326311,0.122628,18.5633
1856.46,2.02051,7.63418,-0.770918,6.86326,0.85934,-0.0867782,18.5646
1856.58,7.56454,2.96779,1.06655,4.03434,0.255868,0.0919529,18.5658
1856.7,9.28596,4.89964,0.204123,5.10376,0.340496,0.0141853,18.567
1856.83,11.2446,6.22024,0.0578048,6.27805,0.354983,0.00329887,18.5683
1856.95,7.36205,6.44465,0.0491482,6.49379,0.465121,0.00354711,18.5695
1857.08,7.71785,7.62569,0.0499344,7.67563,0.495385,0.00324387,18.5708
1857.2,2.55734,1.77052,3.36285,5.13337,0.230215,0.437262,18.572
1857.32,1.56036,6.75962,-0.940345,5.81927,0.915983,-0.127424,18.5732
1857.45,16.0407,5.67848,0.595415,6.27389,0.254474,0.0266828,18.5745
1857.57,0.64732,12.8387,0.00543097,12.8441,0.951617,0.000402549,18.5757
1857.69,8.616,1.23043,2.5481,3.77853,0.0992723,0.205582,18.5769
1857.82,3.92482,2.0949,-0.578419,1.51648,0.385,-0.106302,18.5782
1857.94,7.63352,5.40379,0.0361564,5.43994,0.41334,0.00276564,18.5794
1858.07,3.1704,8.80412,0.0554628,8.85958,0.731848,0.00461038,18.5807
1858.19,5.57191,1.07925,0.280894,1.36015,0.15569,0.0405211,18.5819
1858.31,1.66625,4.43317,7.8316,12.2648,0.318223,0.56217,18.5831
1858.44,3.67598,0.0869267,-3.44744,-3.36051,0.275549,-10.928,18.5844
1858.56,2.69897,1.26324,4.39449,5.65773,0.151165,0.525864,18.5856
1858.69,5.18276,3.64109,-2.03039,1.6107,0.53597,-0.298874,18.5869
1858.81,1.21324,0.523363,1.75135,2.27472,0.150049,0.502114,18.5881
1858.93,5.47871,0.183757,0.402325,0.586082,0.030299,0.0663377,18.5893
1859.06,1.7618,1.07794,0.199502,1.27744,0.354674,0.065642,18.5906
1859.18,3.38096,3.4703,0.614253,4.08455,0.464844,0.0822786,18.5918
1859.3,2.27486,0.235906,0.785958,1.02186,0.0715578,0.238406,18.593
1859.43,3.15114,0.816613,-0.47263,0.343983,0.233644,-0.135226,18.5943
1859.55,4.89642,3.87926,0.146836,4.02609,0.434772,0.0164569,18.5955
1859.68,3.7762,0.550824,0.205637,0.756462,0.121523,0.045368,18.5968
1859.8,5.58171,1.48667,0.260643,1.74731,0.202847,0.0355631,18.598
