E,T,R0,R1,R2,R3,R,N_R0,N_R1,N_R2,N_R3,E/V0
0.0304434,0.298663,0.212236,0,0,0,0.212236,0.415417,0,0,0,0.000304434
0.0309466,0.291546,0.227807,0,0,0,0.227807,0.438637,0,0,0,0.000309466
0.0314539,0.284587,0.243828,0,0,0,0.243828,0.461432,0,0,0,0.000314539
0.0319654,0.277785,0.260264,0,0,0,0.260264,0.483718,0,0,0,0.000319654
0.0324809,0.271136,0.277084,0,0,0,0.277084,0.505425,0,0,0,0.000324809
0.0330006,0.264636,0.294253,0,0,0,0.294253,0.526496,0,0,0,0.000330006
0.0335244,0.258284,0.311737,0,0,0,0.311737,0.546887,0,0,0,0.000335244
0.0340524,0.252076,0.329502,0,0,0,0.329502,0.566565,0,0,0,0.000340524
0.0345844,0.24601,0.347512,0,0,0,0.347512,0.585508,0,0,0,0.000345844
0.0351206,0.240082,0.365732,0,0,0,0.365732,0.603703,0,0,0,0.000351206
0.0356609,0.23429,0.384126,0,0,0,0.384126,0.621145,0,0,0,0.000356609
0.0362054,0.228631,0.402659,0,0,0,0.402659,0.637836,0,0,0,0.000362054
0.0367539,0.223102,0.421295,0,0,0,0.421295,0.653782,0,0,0,0.000367539
0.0373066,0.217701,0.439998,0,0,0,0.439998,0.668996,0,0,0,0.000373066
0.0378634,0.212425,0.458731,0,0,0,0.458731,0.683493,0,0,0,0.000378634
0.0384243,0.207272,0.477459,0,0,0,0.477459,0.697294,0,0,0,0.000384243
0.0389894,0.202239,0.496146,0,0,0,0.496146,0.710419,0,0,0,0.000389894
0.0395586,0.197323,0.514756,0,0,0,0.514756,0.722892,0,0,0,0.000395586
0.0401319,0.192521,0.533255,0,0,0,0.533255,0.734737,0,0,0,0.000401319
0.0407093,0.187833,0.551607,0,0,0,0.551607,0.745979,0,0,0,0.000407093
0.0412909,0.183255,0.569777,0,0,0,0.569777,0.756644,0,0,0,0.000412909
0.0418765,0.178784,0.587732,0,0,0,0.587732,0.766758,0,0,0,0.000418765
0.0424663,0.174419,0.605438,0,0,0,0.605438,0.776345,0,0,0,0.000424663
0.0430603,0.170157,0.622862,0,0,0,0.622862,0.785431,0,0,0,0.000430603
0.0436583,0.165996,0.639973,0,0,0,0.639973,0.794041,0,0,0,0.000436583
0.0442605,0.161934,0.656737,0,0,0,0.656737,0.802199,0,0,0,0.000442605
0.0448668,0.157969,0.673126,0,0,0,0.673126,0.809927,0,0,0,0.000448668
0.0454772,0.154098,0.689108,0,0,0,0.689108,0.817247,0,0,0,0.000454772
0.0460918,0.15032,0.704656,0,0,0,0.704656,0.824183,0,0,0,0.000460918
0.0467105,0.146632,0.719742,0,0,0,0.719742,0.830752,0,0,0,0.000467105
